record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,102,0.5542,20,20,consumed
1,114,3.036,20,20,consumed
2,115,-2.6518,20,20,consumed
3,118,-1.8997,20,20,consumed
4,119,-1.6676,20,20,consumed
5,126,0.7325,20,20,consumed
6,128,2.4987,21,21,consumed
7,122,-0.3165,21,21,consumed
8,101,1.2012,21,24,expired
9,127,2.5392,21,21,consumed
10,130,0.051,22,25,expired
11,99,1.7873,22,22,consumed
12,108,-2.8476,22,22,consumed
13,86,-2.8351,24,24,consumed
14,91,0.6819,25,25,consumed
15,105,-1.7674,26,26,consumed
16,107,-2.8806,27,27,consumed
17,129,-0.6174,30,30,consumed
18,92,-2.6518,30,30,consumed
19,141,-2.2516,31,31,consumed
20,51,2.4575,32,32,consumed
21,48,1.7492,33,33,consumed
22,146,-1.034,34,34,consumed
23,147,0.1052,34,34,consumed
24,148,1.7178,35,35,consumed
25,150,1.4071,36,36,consumed
26,144,1.565,37,37,consumed
27,145,-0.1433,37,,
28,134,-0.9479,38,38,consumed
29,140,1.7422,39,39,consumed
