record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,112,20,67,0.093331,1,3,contested,36|88,0.2040|0.3373
1,133,21,36,0.133337,1,2,contested,67,0.2440
2,31,21,89,0.009735,1,4,contested,73|43|66,0.0618|0.1750|0.2883
3,101,23,36,0.110624,2,1,uncontested,,
4,126,25,87,0.144139,1,3,contested,22|72,0.2819|0.3313
5,49,27,65,0.040166,1,3,contested,94|30,0.1256|0.2062
6,108,27,96,0.010696,1,5,contested,22|90|87|49,0.0494|0.1774|0.1872|0.3719
7,32,28,66,0.108703,1,3,contested,31|89,0.1637|0.3873
8,102,29,92,0.031898,1,4,contested,49|91|90,0.1081|0.1993|0.3026
9,137,30,49,0.139979,1,3,contested,91|90,0.1674|0.3345
10,109,30,89,0.071514,2,3,contested,43|66,0.1132|0.3501
11,46,31,66,0.272363,2,1,uncontested,,
12,135,31,49,0.307403,2,1,uncontested,,
13,144,32,5,0.061031,1,1,uncontested,,
15,143,32,98,0.057004,1,1,uncontested,,
16,146,36,30,0.00135,1,3,contested,65|32,0.1674|0.2887
17,139,36,65,0.16579,2,2,contested,30,0.3318
18,148,36,65,0.076583,3,2,contested,30,0.2426
19,145,37,5,0.264876,2,1,uncontested,,
