record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,89,20,61,0.002454,1,5,contested,50|25|78|65,0.2229|0.2321|0.2808|0.3841
1,107,20,19,0.034081,1,4,contested,69|74|37,0.0939|0.2303|0.2716
2,101,20,20,0.296609,1,2,contested,24,0.3549
3,103,20,37,0.083518,1,3,contested,69|19,0.0942|0.1540
4,90,21,19,0.059786,2,4,contested,80|37|74,0.1473|0.1777|0.3242
5,83,21,50,0.220434,1,4,contested,25|78|65,0.2296|0.2784|0.3817
6,66,22,40,0.185197,1,1,uncontested,,
7,25,23,80,0.087475,1,3,contested,37|74,0.2375|0.2644
8,105,25,80,0.176925,2,1,uncontested,,
9,113,25,20,0.285159,2,2,contested,24,0.3663
11,116,28,37,0.081111,2,2,contested,80,0.2439
12,61,28,16,0.069702,1,4,contested,77|24|85,0.1281|0.2804|0.3502
10,115,29,88,0.036943,1,2,contested,87,0.0596
13,50,31,80,0.324971,3,1,uncontested,,
14,125,32,91,0.032539,1,3,contested,20|24,0.2774|0.3741
15,117,32,24,0.06978,1,4,contested,77|16|91,0.2221|0.2805|0.3368
16,126,32,82,0.233316,1,2,contested,89,0.3652
18,124,33,88,0.215072,2,4,contested,87|16|77,0.2378|0.3303|0.3887
19,68,34,25,0.009176,1,5,contested,78|95|65|79,0.0579|0.1535|0.1612|0.3214
20,123,35,20,0.244843,3,1,uncontested,,
21,109,35,16,0.058412,2,3,contested,24|99,0.1523|0.3206
22,131,37,98,0.100784,1,4,contested,16|88|87,0.2622|0.2832|0.3059
23,133,39,95,0.009186,1,7,contested,65|78|25|79|102|97,0.0169|0.0864|0.1352|0.1771|0.3062|0.3913
