record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,96,20,21,0.059566,1,2,contested,69,0.0755
1,97,20,71,0.040069,1,2,contested,1,0.2793
2,102,20,71,0.101481,2,2,contested,1,0.1377
3,103,20,0,0.288464,1,1,uncontested,,
4,95,20,71,0.209313,3,1,uncontested,,
5,104,21,21,0.015944,2,1,uncontested,,
6,101,22,26,0.150236,1,2,contested,34,0.2558
8,94,23,1,0.239209,1,1,uncontested,,
9,35,24,73,0.003321,1,1,uncontested,,
11,112,28,79,0.056673,1,5,contested,34|26|35|74,0.1093|0.2149|0.2398|0.3113
12,110,28,75,0.354387,1,1,uncontested,,
13,0,30,45,0.171691,1,1,uncontested,,
15,107,33,83,0.063767,1,1,uncontested,,
16,113,33,34,0.165956,1,4,contested,35|74|26,0.1832|0.2546|0.2715
17,116,33,45,0.207341,2,2,contested,86,0.2509
19,115,37,90,0.247135,1,1,uncontested,,
18,123,39,92,0.150632,1,1,uncontested,,
