record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,124,-1.8709,20,20,consumed
1,115,1.4321,20,20,consumed
2,116,-1.9155,20,20,consumed
3,119,2.6096,20,20,consumed
4,74,-0.3584,21,21,consumed
5,114,-2.2611,21,21,consumed
6,117,2.8289,21,21,consumed
7,120,-2.0202,21,21,consumed
8,121,1.1842,21,21,consumed
9,127,-0.6434,21,21,consumed
10,104,1.0137,22,25,expired
11,91,-0.756,22,22,consumed
12,112,1.2871,22,25,expired
13,122,-2.009,23,23,consumed
14,52,0.3662,24,24,consumed
15,109,-0.0799,24,24,consumed
16,125,-1.7009,27,27,consumed
17,132,3.1414,28,28,consumed
18,136,2.9264,29,29,consumed
19,131,-1.3376,29,29,consumed
20,135,0.7657,29,32,expired
21,139,-2.0782,31,31,consumed
22,133,-2.5884,31,31,consumed
23,129,0.2496,32,32,consumed
24,134,-0.4844,34,34,consumed
25,143,-2.3107,34,34,consumed
26,145,-0.8921,37,37,consumed
27,140,-2.4509,37,37,consumed
28,148,-2.0544,37,37,consumed
29,147,2.5276,39,39,consumed
