record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,110,20,84,0.023684,1,3,contested,55|27,0.3189|0.3919
1,134,20,84,0.07519,2,2,contested,55,0.2200
3,124,21,55,0.295213,1,2,contested,96,0.3886
4,146,22,27,0.145002,1,1,uncontested,,
5,148,23,55,0.093343,2,2,contested,80,0.1103
6,108,24,24,0.37151,1,1,uncontested,,
7,135,24,36,0.161754,1,2,contested,57,0.3396
8,133,25,49,0.020831,1,4,contested,83|28|79,0.1293|0.1590|0.2422
9,149,25,9,0.139552,1,4,contested,44|79|0,0.3298|0.3311|0.3805
10,107,26,99,0.36857,1,2,contested,98,0.3817
11,85,27,36,0.177811,2,1,uncontested,,
12,71,27,83,0.108519,1,3,contested,28|79,0.1382|0.2213
13,151,28,24,0.149303,2,2,contested,100,0.2872
14,0,29,44,0.050741,1,2,contested,77,0.3334
15,154,29,55,0.247587,3,1,uncontested,,
16,27,29,100,0.137902,1,1,uncontested,,
17,116,30,44,0.384116,2,1,uncontested,,
18,123,31,28,0.029657,1,3,contested,79|9,0.1128|0.3044
19,153,32,103,0.148507,1,2,contested,36,0.3663
20,160,34,36,0.159041,3,2,contested,111,0.3323
21,159,34,105,0.018345,1,2,contested,44,0.1246
22,164,35,9,0.000985,2,3,contested,79|28,0.1925|0.2757
23,165,35,104,0.200934,1,3,contested,106|80,0.2516|0.3152
24,158,36,104,0.050625,2,3,contested,80|55,0.0637|0.2673
25,168,39,104,0.317037,3,1,uncontested,,
26,169,39,104,0.37818,4,1,uncontested,,
27,171,39,28,0.202517,2,2,contested,79,0.2857
