seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
10000,1,408,10.9432,371,10.5772,352,9.6884,368,10.2579,354,9.4117,350,9.5372
10000,2,391,11.5822,381,11.6124,379,10.0759,405,11.8796,375,9.739,359,9.9899
10000,3,397,11.0581,424,11.33,370,10.3418,399,11.2039,346,9.3846,359,10.1031
10000,4,374,9.9677,405,10.4831,378,9.6517,384,10.1639,409,11.842,395,10.4104
10000,5,400,10.5253,389,10.8695,382,10.0269,372,9.7014,369,9.6046,357,9.6045
10000,6,379,10.8769,400,11.219,355,11.0464,396,11.006,385,10.8909,405,11.3402
10000,7,424,12.2586,402,11.8751,344,9.8422,398,11.2444,362,10.079,374,10.1307
10000,8,447,12.1912,434,12.1886,373,10.4614,396,10.5908,402,10.8445,370,10.0811
10000,9,400,11.7069,375,10.7121,364,9.6519,364,10.8875,391,10.9848,370,9.3936
10000,10,409,11.7044,386,11.8648,388,10.3195,367,10.1252,379,10.6625,416,11.5436
10000,11,414,11.664,432,11.6788,397,10.4861,367,9.9103,312,8.2406,365,9.1067
10000,12,369,10.1366,430,12.3267,392,10.5695,379,10.4934,402,10.7383,392,10.357
10000,13,405,10.7018,405,10.9692,347,9.3594,379,10.1235,394,10.7015,378,10.0936
10000,14,408,11.1958,447,12.6326,361,10.0545,409,10.797,375,10.0731,424,11.4072
10000,15,379,10.4537,391,10.3024,373,10.3738,413,11.4844,326,8.7521,375,9.7876
10000,16,392,10.9477,368,10.0006,390,10.7787,398,11.0813,354,9.5985,372,9.8175
10000,17,362,9.5637,367,10.3413,348,9.3029,376,10.5298,356,9.8496,403,10.8951
10000,18,393,10.342,428,11.7619,372,11.1816,380,10.44,365,10.0194,363,10.219
10000,19,360,9.6432,390,10.7422,388,10.0597,368,9.7699,344,9.0082,366,9.5796
10000,20,375,10.3403,411,11.3308,411,11.5094,374,10.7672,391,10.8405,355,9.6514
10000,21,430,11.4757,387,10.8142,378,10.3722,373,9.9864,368,10.1576,377,11.0225
10000,22,402,11.8267,404,11.2035,346,10.2931,408,12.8396,364,10.2443,363,9.8244
10000,23,415,10.6489,379,10.9224,358,9.7737,386,10.7923,359,10.0641,351,9.0356
10000,24,396,10.6288,393,10.3683,374,10.8395,391,9.8868,351,10.072,344,9.1302
10000,25,387,10.7316,395,11.2908,349,10.0697,353,9.6036,346,9.6223,358,10.2657
