window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
124,4865,3116,0,0,3,1.9934,2,15.8,3120,0,4.65,1.0131,3092.6,13,1.0,68,4,5,1311,0.001142,0.0284,29.7767,123,58.5,0.0147,0.006,0,0,0,0,0.052133,0.015625,48,0.7003,7.6815,0.4332,25,6,37,812,1226,501,0.0007,0.9993,621.1,3.9,0.0525,0.016588,0.005921,2.8013,1.1801,0
125,4865,3090,0,0,0,1.9656,1,15.8,7,3083,4.55,0.9992,3092.4,7,1.0,68,0,0,1280,0.001024,0.0337,17.4129,124,59.5,0.0152,0.0063,0,0,0,0,0.057831,0.015625,45,0.7298,7.7177,0.4319,25,6,37,788,1236,522,0.0006,0.9994,604.6,4.0,0.0525,0,0.005357,0.0,0.9,0
126,4863,3057,1,3,0,1.9481,1,15.9,0,3057,4.5,0.9896,3089.0,0,1.0,66,1,3,1287,0.000719,0.0281,0.0,125,62.2,0.0161,0.0058,0,0,0,0,0.05102,0.015625,45,0.6937,7.7432,0.431,25,4,37,797,1212,479,0.0017,0.9983,550.5,4.1,0.0523,0.005102,0.005333,0.9567,0.9957,0
127,4863,3126,0,0,3,1.8526,1,15.8,3149,0,4.65,1.0181,3094.9,2,1.0,65,2,3,1288,0.000746,0.03,2.5641,126,64.0,0.0159,0.0063,0,0,0,0,0.0525,0.015625,44,0.7024,7.7682,0.4303,24,4,37,833,1232,490,0.0008,0.9992,570.3,4.2,0.0529,0.0075,0.00554,1.3539,1.0354,0
128,4863,3062,1,3,1,1.8812,1,15.9,3,3059,4.51,0.9904,3091.8,3,1.0,65,1,1,1279,0.00079,0.0316,7.5758,127,65.0,0.016,0.0061,0,0,0,0,0.048544,0.015625,45,0.6781,7.7852,0.4294,23,4,38,836,1174,483,0.0008,0.9992,609.8,4.0,0.0526,0.004854,0.005474,0.8868,0.9887,0
129,4862,3024,1,5,3,1.9191,1,15.9,9,3015,4.52,0.9801,3085.3,9,1.0,66,2,1,1300,0.000812,0.0407,23.7389,128,65.0,0.0152,0.0075,1,0,0,0,0.061047,0.015625,44,0.744,7.8055,0.4285,23,4,39,789,1181,466,0.0007,0.9993,615.7,4.2,0.0519,0.002907,0.00523,0.5559,0.9556,0
130,4861,3098,0,0,3,1.924,2,16.0,3097,0,4.6,1.0072,3087.7,13,1.0,68,5,3,1314,0.000767,0.0319,33.3333,129,64.0,0.0151,0.0053,0,0,0,0,0.056373,0.015625,44,0.7228,7.8251,0.4275,24,5,39,790,1235,525,0.0007,0.9993,563.2,3.9,0.0518,0.004902,0.005199,0.9429,0.9943,0
131,4859,3110,1,3,3,1.9411,1,16.1,3132,0,4.6,1.0153,3092.6,8,1.0,69,1,0,1311,0.000919,0.0268,22.0386,130,64.1,0.014,0.0064,0,0,0,0,0.0563,0.015625,44,0.7225,7.8493,0.4267,24,5,40,771,1199,541,0.0008,0.9992,587.7,4.1,0.0518,0,0.004703,0.0,0.9,0
132,4859,3130,3,5,3,1.9373,1,16.1,3133,0,4.68,1.0162,3097.9,15,1.0,69,3,3,1340,0.000764,0.0263,36.7647,131,63.4,0.015,0.0054,2,1,0,0,0.054893,0.015625,43,0.7154,7.8803,0.426,26,4,39,842,1215,511,0.0013,0.9987,663.4,3.9,0.0516,0.00716,0.004937,1.4501,1.045,0
133,4858,3116,2,3,3,1.9695,2,16.0,3120,0,4.64,1.0091,3100.9,9,1.0,69,2,2,1350,0.000968,0.0317,18.8235,132,64.3,0.0149,0.0059,0,0,0,0,0.068027,0.015625,44,0.7703,7.912,0.4251,26,3,40,787,1225,484,0.001,0.999,657.2,4.1,0.0516,0.006803,0.005115,1.3299,1.033,0
