window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,5985,17,5,0,1.9995,0,18.2,0,0,6.57,1.0,5985.0,590,1.0,365,558,193,2068,0.000983,0.0071,416.5488,0,0.0,0.0071,0.0012,1,0,0,0,0.033659,0.015625,64,0.5358,0.0337,0.2209,123,151,91,2085,1400,1372,1.0,0.0,0,0,0,0.002172,0.002172,1.0,1.0,1
2,5000,4004,4,5,0,1.9995,0,17.1,464,3515,5.48,0.8602,4677.0,489,1.0,358,33,40,2192,0.001056,0.0098,388.8446,1,0.9,0.0075,0.0012,2,0,0,0,0.031136,0.015625,64,0.4982,0.0596,0.2128,133,138,87,1295,1295,725,1.0,0.0,0,0,0,0.009158,0.006829,1.341,1.0,1
3,5000,3602,2,3,0,1.9994,0,16.9,306,3296,5.11,0.8733,4151.0,306,1.0,306,6,58,2125,0.001078,0.0123,279.4521,2,1.9,0.0089,0.0015,0,0,0,0,0.033189,0.015625,64,0.5292,0.0928,0.2087,125,107,74,1030,1300,634,1.0,0.0,0,0,0,0.024531,0.01568,1.5645,1.0,1
4,5000,3470,2,5,0,1.9994,0,16.8,119,3354,4.9,0.8968,3883.8,116,1.0,237,9,78,1917,0.0012,0.0136,142.6799,3,2.8,0.0097,0.0021,1,0,0,0,0.052192,0.015625,64,0.7006,0.145,0.219,104,68,65,1001,1246,582,1.0,0.0,0,0,0,0.048017,0.028615,1.678,1.0,1
5,5000,3287,3,3,0,1.9994,0,16.8,30,3255,4.66,0.893,3686.5,32,1.0,219,7,25,1697,0.001374,0.0162,48.8959,4,3.7,0.0081,0.003,0,0,0,0,0.048673,0.015625,62,0.679,0.1937,0.2376,97,61,61,888,1238,567,1.0,0.0,0,0,0,0.00295,0.02006,0.1471,1.0,1
6,5000,3186,1,3,0,1.9993,2,16.7,19,3168,4.59,0.8993,3543.8,18,1.0,202,5,22,1622,0.001333,0.0159,30.6122,5,4.6,0.0106,0.0029,0,1,0,0,0.044515,0.015625,61,0.649,0.2382,0.2542,90,53,59,821,1250,522,1.0,0.0,0,0,0,0.006359,0.016145,0.3939,1.0,1
7,5000,3227,1,5,0,1.9911,2,16.7,11,3216,4.63,0.9314,3464.6,11,1.0,178,1,25,1484,0.001495,0.0212,20.3327,6,5.6,0.0159,0.0035,1,0,0,0,0.042403,0.015625,58,0.6315,0.2788,0.2639,80,44,54,848,1304,502,1.0,0.0,0,0,0,0.001767,0.012551,0.1408,1.0,1
8,5000,3183,0,0,3,1.9921,2,16.6,4,3179,4.59,0.9356,3402.0,4,1.0,160,0,18,1384,0.001542,0.0214,8.0645,7,6.6,0.0155,0.0038,0,0,0,0,0.040777,0.015625,57,0.6168,0.3138,0.273,74,37,49,810,1259,529,1.0,0.0,0,0,0,0.0,0.009762,0.0,1.0,1
9,5000,3262,1,5,0,1.9924,1,16.4,8,3254,4.58,0.9668,3374.0,8,1.0,144,1,17,1310,0.001604,0.0274,17.316,8,7.5,0.0164,0.0043,1,0,0,0,0.050526,0.015625,56,0.6908,0.3643,0.2777,67,32,45,805,1309,542,1.0,0.0,0,0,0,0.002105,0.00823,0.2558,1.0,1
10,5000,3230,1,4,1,1.9952,1,16.5,4,3226,4.63,0.9648,3347.8,4,1.0,134,1,11,1248,0.001679,0.0317,9.434,9,8.5,0.0222,0.005,0,0,0,0,0.049774,0.015625,55,0.6861,0.3892,0.2818,64,29,41,847,1286,513,1.0,0.0,0,0,0,0.002262,0.007145,0.3166,1.0,1
