window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,perstep_scans,perstep_contacts,perstep_boosts,perstep_boosted_pairs,perstep_total_boosts_cum
176,4813,2953,1,0,1,4,0.4,1,0,0,0,0,0,0,0,3,1.8796,-0.003,1,37.3,2,0.0,0.0,0.1944,0,0,23,21,44,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,2896
177,4811,2868,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.887,0.0074,1,37.7,2,0.0,0.0,0.1944,0,0,27,22,49,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,140,25,10,2921
178,4810,2898,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8323,-0.0547,1,37.2,2,0.0,0.0,0.2188,0,0,23,22,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,2921
179,4807,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8736,0.0413,1,37.1,2,0.0,0.0,0.25,0,0,22,18,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,2921
180,4806,2874,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.839,-0.0345,1,37.9,2,0.0,0.0,0.25,0,0,22,18,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,2921
181,4804,2927,1,0,1,4,1.125,1,0,0,0,0,0,0,0,1,1.8834,0.0443,1,37.0,2,0.0,0.0,0.2188,0,0,22,18,40,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,2921
182,4803,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8776,-0.0057,1,37.5,2,0.0,0.0,0.25,0,0,22,19,41,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,120,16,7,2937
183,4803,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.877,-0.0006,1,36.7,2,0.0,0.0,0.25,0,0,22,19,41,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,2937
184,4803,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8834,0.0063,1,36.8,2,0.0,0.0,0.4375,0,0,12,10,22,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,2937
185,4803,2915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8062,-0.0771,1,38.2,1,0.0,0.0,0.0,0,0,5,4,9,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,2937
