window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,perstep_scans,perstep_contacts,perstep_boosts,perstep_boosted_pairs,perstep_total_boosts_cum
1,5000,6191,12,0,12,5,0.8889,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,15.6,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,12,0,0.0,0,0,0,10,0,0,0,0
2,5000,3690,2,0,2,5,1.0667,2,0,0,0,0,0,0,0,0,1.9985,0.0,0,16.9,2,0.0,0.0,0.2051,0,0,31,33,64,0.0,0,0,0,0,2,1,0,1,1,0,0.0,0,0,0,10,1304,184,88,184
3,5000,3397,1,0,1,4,0.4286,1,0,0,0,0,0,0,0,0,1.9985,0.0,0,18.1,2,0.0,0.0,0.1905,0,0,36,39,75,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,230,54,19,238
4,5000,3405,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9986,0.0001,0,20.3,2,0.0,0.0,0.1905,0,0,40,48,88,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,160,40,13,278
5,5000,3273,1,0,1,5,0.4571,1,0,0,0,0,0,0,0,0,1.9986,-0.0,1,21.3,2,0.0,0.0,0.1778,0,0,40,48,88,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,278
6,5000,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9987,0.0001,1,23.5,2,0.0,0.0,0.1778,0,0,45,50,95,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,80,17,6,295
7,5000,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9947,-0.004,1,25.1,2,0.0,0.0,0.1778,0,0,45,50,95,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,295
8,5000,3046,1,0,1,3,0.1818,1,0,0,0,0,0,0,0,0,1.994,-0.0007,1,27.2,2,0.0,0.0,0.1667,0,0,45,50,95,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,295
9,5000,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9966,0.0026,1,27.2,2,0.0,0.0,0.1667,0,0,51,55,106,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,120,17,7,312
10,5000,3097,2,0,2,4,0.4,1,0,0,0,0,0,0,0,0,1.9926,-0.004,1,28.8,2,0.0,0.0,0.1481,0,0,51,55,106,0.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,10,0,0,0,312
