seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
314,1,0.0005,103,77,11,0,7,0,0,0,8,93,10,103,0,51,52,103,0,0,11,2.2989
314,2,0.0005,70,62,2,0,6,0,0,0,0,66,4,67,3,35,35,70,0,0,10,1.7406
314,3,0.0005,18,15,1,0,2,0,0,0,0,17,1,18,0,14,4,16,1,1,6,1.7917
314,4,0.0005,18,17,0,0,1,0,0,0,0,18,0,18,0,6,12,18,0,0,3,1.1942
314,5,0.0005,22,19,0,0,2,0,0,0,1,19,3,21,1,14,8,22,0,0,5,1.5678
314,6,0.0005,10,10,0,0,0,0,0,0,0,10,0,10,0,3,7,10,0,0,2,0.8813
314,7,0.0005,16,12,1,0,3,0,0,0,0,14,2,16,0,8,8,15,0,1,6,2.18
314,8,0.0005,16,16,0,0,0,0,0,0,0,16,0,16,0,5,11,16,0,0,2,0.896
314,9,0.0005,17,13,3,0,1,0,0,0,0,16,1,17,0,8,9,17,0,0,5,1.9015
314,10,0.0005,20,14,6,0,0,0,0,0,0,20,0,20,0,13,7,19,1,0,5,2.0414
314,11,0.0005,24,12,3,0,7,0,0,0,2,19,5,21,3,14,10,24,0,0,11,3.0016
314,12,0.0005,17,11,4,0,2,0,0,0,0,17,0,17,0,7,10,17,0,0,5,1.821
314,13,0.0005,20,16,1,0,2,0,0,0,1,17,3,20,0,9,11,19,0,1,7,2.1394
314,14,0.0005,14,8,2,0,2,0,0,0,2,12,2,14,0,6,8,14,0,0,8,2.6385
314,15,0.0005,12,12,0,0,0,0,0,0,0,12,0,12,0,4,8,12,0,0,2,0.9183
314,16,0.0005,17,9,3,0,0,0,0,0,5,12,5,17,0,7,10,17,0,0,6,2.419
314,17,0.0005,18,12,2,0,0,0,0,0,4,15,3,18,0,9,9,18,0,0,6,2.1699
314,18,0.0005,14,13,0,0,1,0,0,0,0,13,1,14,0,6,8,14,0,0,3,1.2638
314,19,0.0005,13,11,1,0,0,0,0,0,1,12,1,13,0,6,7,13,0,0,4,1.5734
314,20,0.0005,19,14,0,0,4,0,0,0,1,15,4,15,4,11,8,19,0,0,6,2.0741
314,21,0.0005,11,11,0,0,0,0,0,0,0,11,0,11,0,6,5,11,0,0,2,0.994
314,22,0.0005,16,16,0,0,0,0,0,0,0,16,0,16,0,6,10,16,0,0,2,0.9544
314,23,0.0005,14,11,0,0,3,0,0,0,0,12,2,14,0,5,9,14,0,0,4,1.7274
314,24,0.0005,23,18,5,0,0,0,0,0,0,23,0,23,0,14,9,23,0,0,4,1.7209
314,25,0.0005,18,12,3,0,3,0,0,0,0,15,3,18,0,7,11,16,1,1,7,2.3221
