seed,cycle_id,cycle_type,step_start,step_end,node_id
314,0,C→Dust→A→C,291,4906,7
314,1,C→Dust→A→C,1603,3081,136
314,2,C→Dust→A→C,276,1354,139
314,3,C→Dust→A→C,1354,2775,139
314,4,C→Dust→A→C,164,1362,143
314,5,C→Dust→B→C,1362,3030,143
314,6,C→Dust→B→C,4230,4900,144
314,7,C→Dust→A→C,135,2918,25
314,8,C→Dust→A→C,2918,3677,25
314,9,C→Dust→A→C,2168,2516,33
314,10,C→Dust→B→C,241,1722,164
314,11,C→Dust→A→C,210,2354,171
314,12,C→Dust→A→C,2354,2743,171
314,13,C→Dust→B→C,2743,4846,171
314,14,C→Dust→A→C,2354,3459,45
314,15,C→Dust→A→C,243,1256,189
314,16,C→Dust→A→C,1256,2586,189
314,17,C→Dust→B→C,2586,4285,189
314,18,C→Dust→B→C,224,2594,103
314,19,C→Dust→B→C,969,2523,106
314,20,C→Dust→B→C,262,1965,108
314,21,C→Dust→B→C,1965,3201,108
314,22,C→Dust→A→C,3201,4035,108
314,23,C→Dust→B→C,4035,5139,108
314,24,C→Dust→A→C,432,1381,110
314,25,C→Dust→B→C,1381,2544,110
314,26,C→Dust→A→C,199,2268,138
314,27,C→Dust→A→C,2268,2771,138
314,28,C→Dust→A→C,2771,3030,138
314,29,C→Dust→A→C,3030,5063,138
314,30,C→Dust→B→C,2162,2298,11
314,31,C→Dust→A→C,2298,3863,11
314,32,C→Dust→A→C,3863,5139,11
314,33,C→Dust→A→C,3275,4385,141
314,34,C→Dust→B→C,159,4713,149
314,35,C→Dust→A→C,33,1729,35
314,36,C→Dust→A→C,1790,2932,35
314,37,C→Dust→A→C,2932,3670,35
314,38,C→Dust→A→C,3670,3841,35
314,39,C→Dust→B→C,1601,3419,163
314,40,C→Dust→A→C,3419,3589,163
314,41,C→Dust→A→C,2101,4285,37
314,42,C→Dust→B→C,3396,4302,165
314,43,C→Dust→A→C,198,1797,168
314,44,C→Dust→A→C,1797,2594,168
314,45,C→Dust→A→C,2594,5006,168
314,46,C→Dust→A→C,561,1457,52
314,47,C→Dust→A→C,1457,4678,52
314,48,C→Dust→A→C,1876,2649,180
314,49,C→Dust→B→C,2649,4418,180
314,50,C→Dust→A→C,4418,4719,180
314,51,C→Dust→B→C,4719,5216,180
314,52,C→Dust→A→C,1944,2162,60
314,53,C→Dust→B→C,2162,3805,60
314,54,C→Dust→A→C,111,3421,82
314,55,C→Dust→A→C,262,3374,102
314,56,C→Dust→A→C,3707,4712,120
314,57,C→Dust→A→C,4712,5262,120
314,58,C→Dust→A→C,1441,3908,122
314,59,C→Dust→B→C,3187,4520,127
314,60,C→Dust→A→C,87,843,137
314,61,C→Dust→A→C,843,1691,137
314,62,C→Dust→A→C,1691,2544,137
314,63,C→Dust→B→C,2544,4792,137
314,64,C→Dust→B→C,264,4238,140
314,65,C→Dust→B→C,264,1784,148
314,66,C→Dust→B→C,2211,4990,148
314,67,C→Dust→A→C,168,1441,29
314,68,C→Dust→A→C,1441,3157,29
314,69,C→Dust→A→C,3157,4792,29
314,70,C→Dust→A→C,231,2137,36
314,71,C→Dust→B→C,2137,3187,36
314,72,C→Dust→A→C,3187,4092,36
314,73,C→Dust→A→C,102,3077,41
314,74,C→Dust→A→C,3077,4024,41
314,75,C→Dust→A→C,301,2120,182
314,76,C→Dust→A→C,494,3624,184
314,77,C→Dust→A→C,141,2145,67
314,78,C→Dust→B→C,2145,4770,67
314,79,C→Dust→B→C,126,2557,198
314,80,C→Dust→A→C,162,2210,74
314,81,C→Dust→A→C,2210,4165,74
314,82,C→Dust→B→C,248,1381,79
314,83,C→Dust→A→C,2671,3707,98
314,84,C→Dust→A→C,3707,4918,98
314,85,C→Dust→B→C,1691,2829,119
314,86,C→Dust→B→C,2829,3157,119
314,87,C→Dust→A→C,3157,5104,119
314,88,C→Dust→A→C,135,2149,126
314,89,C→Dust→B→C,2149,3827,126
314,90,C→Dust→A→C,203,1965,9
314,91,C→Dust→B→C,102,1256,65
314,92,C→Dust→B→C,1256,4385,65
314,93,C→Dust→A→C,214,4054,72
314,94,C→Dust→A→C,1790,3805,73
314,95,C→Dust→B→C,3805,4918,73
314,96,C→Dust→B→C,111,2137,87
314,97,C→Dust→A→C,2137,2455,87
314,98,C→Dust→A→C,135,3221,125
314,99,C→Dust→A→C,3221,5216,125
314,100,C→Dust→A→C,2190,3228,173
314,101,C→Dust→B→C,126,2643,192
314,102,C→Dust→B→C,117,3471,197
314,103,C→Dust→A→C,3471,4418,197
314,104,C→Dust→B→C,3703,4441,199
314,105,C→Dust→B→C,203,4163,1
314,106,C→Dust→B→C,4163,4952,1
314,107,C→Dust→A→C,3771,4784,18
314,108,C→Dust→A→C,136,3788,21
314,109,C→Dust→A→C,3837,4123,22
314,110,C→Dust→A→C,2785,4558,28
314,111,C→Dust→A→C,445,1007,66
314,112,C→Dust→A→C,1007,2353,66
314,113,C→Dust→A→C,2353,3819,66
314,114,C→Dust→A→C,165,2270,80
314,115,C→Dust→B→C,201,3281,85
314,116,C→Dust→B→C,2092,3589,89
314,117,C→Dust→A→C,437,969,97
314,118,C→Dust→A→C,1711,2523,145
314,119,C→Dust→B→C,215,4122,160
314,120,C→Dust→A→C,273,1622,170
314,121,C→Dust→B→C,1622,4031,170
314,122,C→Dust→A→C,1044,2231,177
314,123,C→Dust→A→C,225,1450,185
314,124,C→Dust→B→C,1925,4024,185
314,125,C→Dust→B→C,216,3703,39
314,126,C→Dust→A→C,3703,4609,39
314,127,C→Dust→B→C,102,1661,46
314,128,C→Dust→B→C,1661,4054,46
314,129,C→Dust→A→C,2830,4244,54
314,130,C→Dust→A→C,437,2092,78
314,131,C→Dust→A→C,2092,4283,78
314,132,C→Dust→B→C,1622,3420,92
314,133,C→Dust→B→C,234,2353,104
314,134,C→Dust→A→C,2353,3453,104
314,135,C→Dust→A→C,3453,3843,104
314,136,C→Dust→A→C,3843,4843,104
314,137,C→Dust→A→C,3843,4556,128
314,138,C→Dust→A→C,142,797,131
314,139,C→Dust→A→C,797,1897,131
314,140,C→Dust→A→C,1897,2829,131
314,141,C→Dust→B→C,2829,4295,131
314,142,C→Dust→B→C,171,2649,147
314,143,C→Dust→B→C,356,2211,20
314,144,C→Dust→A→C,2211,2643,20
314,145,C→Dust→B→C,2643,4221,20
314,146,C→Dust→A→C,102,2351,57
314,147,C→Dust→A→C,2351,2671,57
314,148,C→Dust→A→C,2671,3396,57
314,149,C→Dust→B→C,3396,4722,57
314,150,C→Dust→A→C,685,4990,90
314,151,C→Dust→B→C,141,4462,101
314,152,C→Dust→B→C,894,3205,118
314,153,C→Dust→B→C,3205,3841,118
314,154,C→Dust→B→C,3841,4556,118
314,155,C→Dust→A→C,142,739,124
314,156,C→Dust→A→C,739,2876,124
314,157,C→Dust→B→C,2876,3677,124
314,158,C→Dust→A→C,4525,5072,157
314,159,C→Dust→A→C,301,1786,176
314,160,C→Dust→A→C,1786,3201,176
314,161,C→Dust→A→C,3201,4122,176
314,162,C→Dust→A→C,4122,4900,176
314,163,C→Dust→B→C,165,1012,83
314,164,C→Dust→A→C,1012,3450,83
314,165,C→Dust→A→C,3450,4187,83
314,166,C→Dust→A→C,4117,4295,93
314,167,C→Dust→B→C,4295,5063,93
314,168,C→Dust→B→C,225,3788,191
314,169,C→Dust→A→C,234,1722,8
314,170,C→Dust→A→C,1722,3837,8
314,171,C→Dust→B→C,192,1897,13
314,172,C→Dust→B→C,1897,4447,13
314,173,C→Dust→A→C,307,1697,56
314,174,C→Dust→A→C,1697,2942,56
314,175,C→Dust→B→C,2942,3221,56
314,176,C→Dust→B→C,3221,4970,56
314,177,C→Dust→A→C,343,2829,63
314,178,C→Dust→A→C,162,1549,76
314,179,C→Dust→A→C,1549,1719,76
314,180,C→Dust→B→C,198,1380,187
314,181,C→Dust→A→C,1380,2419,187
314,182,C→Dust→A→C,2419,4163,187
314,183,C→Dust→A→C,563,2298,153
314,184,C→Dust→A→C,2298,4302,153
314,185,C→Dust→B→C,210,2455,166
314,186,C→Dust→A→C,2455,3635,166
314,187,C→Dust→B→C,3635,3803,166
314,188,C→Dust→A→C,3803,4594,166
314,189,C→Dust→B→C,216,2149,193
314,190,C→Dust→B→C,210,4558,6
314,191,C→Dust→B→C,135,1044,32
314,192,C→Dust→B→C,1044,3863,32
314,193,C→Dust→B→C,361,1549,51
314,194,C→Dust→B→C,1549,4843,51
314,195,C→Dust→B→C,1925,2419,53
314,196,C→Dust→B→C,2419,5046,53
314,197,C→Dust→B→C,156,2231,64
314,198,C→Dust→A→C,2231,4846,64
314,199,C→Dust→B→C,255,1711,100
314,200,C→Dust→A→C,1711,4681,100
314,201,C→Dust→A→C,4681,4991,100
314,202,C→Dust→A→C,1784,2688,117
314,203,C→Dust→A→C,2688,3471,117
314,204,C→Dust→A→C,3471,4476,117
314,205,C→Dust→A→C,195,1661,133
314,206,C→Dust→A→C,1661,2827,133
314,207,C→Dust→A→C,171,3419,4
314,208,C→Dust→B→C,3819,5104,4
314,209,C→Dust→A→C,33,1938,30
314,210,C→Dust→B→C,1938,3819,30
314,211,C→Dust→A→C,3819,5110,30
314,212,C→Dust→A→C,2550,4031,109
314,213,C→Dust→B→C,1668,3228,70
314,214,C→Dust→B→C,3228,4187,70
314,215,C→Dust→A→C,1786,3401,156
314,216,C→Dust→B→C,3401,5072,156
314,217,C→Dust→A→C,1719,2557,42
314,218,C→Dust→A→C,291,1567,55
314,219,C→Dust→A→C,1567,1944,55
314,220,C→Dust→B→C,1944,3771,55
314,221,C→Dust→B→C,3771,5196,55
314,222,C→Dust→B→C,233,3401,23
314,223,C→Dust→B→C,3401,4594,23
314,224,C→Dust→B→C,1668,2268,49
314,225,C→Dust→A→C,2268,3870,49
314,226,C→Dust→B→C,3870,5110,49
314,227,C→Dust→A→C,112,2168,81
314,228,C→Dust→B→C,1567,2270,115
314,229,C→Dust→A→C,2678,4117,3
