window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,5929,17,4,0,1.9996,0,18.5,0,0,6.42,1.0,5929.0,519,1.0,324,487,163,1879,0.001094,0.0093,416.2641,0,0.0,0.0,0.0013,0,0,0,0,0.047264,0.015625,63,0.6694,0.0473,0.2725,0.003
2,5000,3616,1,5,0,1.9996,0,17.2,386,3208,5.13,0.8272,4406.3,408,1.0,309,11,26,1905,0.001242,0.0081,392.6853,1,1.0,0.0066,0.0014,1,0,0,0,0.034686,0.015625,63,0.5495,0.082,0.2645,0.003094
3,5000,3298,0,0,3,1.9996,0,16.7,215,3082,4.84,0.8587,3860.7,216,1.0,259,0,50,1819,0.001217,0.0106,256.8371,2,2.0,0.0106,0.0017,0,0,0,0,0.04707,0.015625,62,0.668,0.129,0.2599,0.003188
4,5000,3207,1,4,0,1.9996,0,17.0,56,3165,4.61,0.8944,3606.8,42,1.0,231,5,33,1631,0.001423,0.0156,69.8467,3,2.9,0.0078,0.0026,0,0,0,0,0.052877,0.015625,61,0.7045,0.1819,0.2642,0.003281
5,5000,3024,3,4,0,1.9996,0,17.0,4,3015,4.45,0.8861,3412.5,9,1.0,192,5,44,1490,0.001583,0.0157,18.8285,4,3.8,0.0118,0.003,0,0,0,0,0.061024,0.015625,60,0.744,0.2429,0.2733,0.003373
6,5000,3049,2,4,0,1.9996,2,16.9,7,3042,4.41,0.9215,3308.7,7,1.0,166,2,28,1386,0.001666,0.0194,15.4867,5,4.8,0.0086,0.0035,0,0,0,0,0.056034,0.015625,57,0.7212,0.299,0.2812,0.003464
7,5000,3017,2,5,0,1.9995,2,17.0,10,2999,4.45,0.9326,3236.0,18,1.0,155,7,18,1378,0.001618,0.0176,29.6782,6,5.7,0.0099,0.0036,1,0,0,0,0.063877,0.015625,56,0.7554,0.3628,0.2869,0.003552
8,5000,3010,1,5,0,1.9978,2,16.9,3,2997,4.41,0.9448,3185.8,13,1.0,135,1,21,1251,0.001987,0.0352,33.3333,7,6.6,0.026,0.0049,1,0,0,0,0.055276,0.015625,55,0.7173,0.4081,0.29,0.003639
9,5000,3056,1,5,0,1.9966,2,16.9,9,3047,4.48,0.9671,3159.8,9,1.0,118,3,20,1160,0.001949,0.0361,18.4697,8,7.5,0.0213,0.0055,1,0,0,0,0.046392,0.015625,53,0.6632,0.4441,0.2925,0.003723
10,5000,3182,0,0,1,1.9974,2,16.8,3179,0,4.54,1.0057,3163.9,3,1.0,112,0,6,1118,0.001923,0.0366,8.1301,9,8.6,0.0196,0.0057,0,0,0,0,0.062827,0.015625,52,0.7513,0.4913,0.2986,0.003804
11,5000,3026,1,3,3,1.9884,1,16.6,3,3023,4.43,0.9634,3140.9,3,1.0,104,1,9,1046,0.001932,0.0338,9.434,10,9.5,0.0231,0.0053,0,0,0,0,0.064615,0.015625,49,0.7582,0.5559,0.3096,0.003882
12,5000,3019,1,5,3,1.986,1,16.5,3,3011,4.38,0.967,3122.1,8,1.0,100,1,5,1016,0.002064,0.0316,25.8065,11,10.4,0.0215,0.0063,1,0,0,0,0.06962,0.015625,49,0.7756,0.6223,0.3174,0.003956
13,5000,3131,0,0,3,1.9886,2,16.5,3123,0,4.49,1.0024,3123.4,8,1.0,93,0,7,965,0.002064,0.0387,26.4901,12,11.3,0.0226,0.0064,0,0,0,0,0.06129,0.015625,48,0.7451,0.6836,0.3233,0.004027
14,5000,3047,2,4,1,1.9841,1,16.5,7,3036,4.48,0.9787,3113.2,11,1.0,87,5,11,940,0.002208,0.0488,35.9712,13,11.9,0.0244,0.0084,0,0,0,0,0.094077,0.015625,47,0.8339,0.7777,0.3288,0.004093
15,5000,3166,0,0,1,1.9727,1,16.7,3163,0,4.53,1.0148,3119.8,3,1.0,81,0,6,879,0.002181,0.037,11.236,14,12.8,0.0222,0.007,0,0,0,0,0.055556,0.015625,44,0.7188,0.8296,0.3343,0.004156
16,5000,3157,0,0,0,1.9704,1,16.7,3153,0,4.58,1.0105,3124.2,4,1.0,76,1,6,852,0.002274,0.0502,11.7188,15,13.9,0.0309,0.009,0,0,0,0,0.07722,0.015625,43,0.7977,0.9068,0.3444,0.004214
17,5000,3024,1,5,0,1.9772,1,16.7,3,3016,4.36,0.9714,3113.1,8,1.0,75,4,5,851,0.002198,0.0437,32.6531,16,14.5,0.0271,0.0083,1,0,0,0,0.079365,0.015625,44,0.8031,0.9345,0.3507,0.004266
18,5000,3163,2,5,1,1.9984,1,16.7,3154,0,4.49,1.0143,3118.3,9,1.0,70,2,7,839,0.002302,0.0444,37.1901,17,15.3,0.0252,0.0078,2,0,0,0,0.080645,0.015625,43,0.8063,0.995,0.3551,0.004314
19,5000,3098,0,0,1,1.9941,2,16.4,0,3090,4.49,0.9941,3116.3,8,1.0,70,3,3,833,0.002471,0.062,33.6134,18,15.8,0.0315,0.0114,0,0,0,0,0.078512,0.015625,42,0.801,1.0281,0.3596,0.004357
20,5000,3082,1,4,1,1.948,1,16.5,3,3074,4.48,0.99,3113.0,8,1.0,65,1,6,794,0.002596,0.0667,38.0952,19,16.6,0.028,0.0103,0,0,0,0,0.080952,0.015625,39,0.807,1.0805,0.3648,0.004395
21,5000,3062,0,0,1,1.9125,1,16.5,0,3062,4.42,0.9852,3108.2,0,1.0,61,0,4,764,0.002408,0.0457,0.0,20,17.8,0.0257,0.0095,0,0,0,0,0.068493,0.015625,38,0.7719,1.1398,0.37,0.004427
22,5000,3095,1,4,0,1.9125,1,16.6,4,3091,4.49,0.9962,3106.9,4,1.0,57,1,5,735,0.002656,0.0591,19.9005,21,18.5,0.0289,0.0113,0,0,0,0,0.078818,0.015625,37,0.8018,1.1842,0.3769,0.004453
23,5000,3035,2,5,1,1.9086,1,16.7,5,3025,4.36,0.979,3100.1,10,1.0,58,2,1,757,0.002677,0.0413,47.619,22,18.8,0.0261,0.0097,2,0,0,0,0.06422,0.015625,38,0.7567,1.2025,0.3802,0.004473
24,5000,3102,1,4,1,1.8205,2,16.6,3098,0,4.49,1.0006,3100.2,4,1.0,57,2,3,772,0.003003,0.0638,13.2743,23,19.4,0.0336,0.0126,0,0,0,0,0.089362,0.015625,39,0.8251,1.228,0.3813,0.004488
25,5000,3077,0,0,0,1.9735,2,16.5,0,3077,4.4,0.9932,3098.0,0,1.0,54,0,3,743,0.002412,0.0521,0.0,24,20.2,0.0318,0.0105,0,0,0,0,0.066351,0.015625,38,0.7645,1.2754,0.387,0.004497
26,5000,3113,3,5,1,1.9708,1,16.5,3101,0,4.46,1.0044,3099.5,12,1.0,50,3,7,740,0.002896,0.0483,59.4059,25,19.7,0.0281,0.0101,1,0,0,0,0.072464,0.015625,35,0.7844,1.3044,0.3905,0.0045
27,5000,3071,0,0,1,1.9576,1,16.6,0,3066,4.46,0.9917,3096.7,5,1.0,49,0,1,718,0.002631,0.0534,25.0,26,20.6,0.0291,0.0107,0,0,0,0,0.072816,0.015625,35,0.7854,1.3287,0.3926,0.004497
28,5000,3057,0,0,3,1.9212,1,16.5,1,3049,4.36,0.9884,3093.0,8,1.0,50,4,3,720,0.002563,0.0534,40.0,27,20.1,0.03,0.011,0,0,0,0,0.067961,0.015625,36,0.7701,1.353,0.3957,0.004488
29,5000,3113,1,5,3,1.7852,1,16.6,3108,0,4.42,1.0059,3094.9,5,1.0,51,1,0,728,0.002677,0.0539,25.1256,28,20.7,0.0282,0.011,1,0,0,0,0.058824,0.015625,37,0.7344,1.3934,0.3985,0.004473
30,4999,3077,1,3,3,1.8829,1,16.7,0,3077,4.41,0.9948,3093.2,0,1.0,49,1,3,723,0.002659,0.0518,0.0,29,21.8,0.0276,0.0098,0,0,0,0,0.067358,0.015625,34,0.768,1.44,0.4022,0.004453
31,4999,3094,2,5,1,1.9257,2,16.6,3086,0,4.45,1.0002,3093.2,8,1.0,47,2,4,718,0.003037,0.0529,35.8744,30,21.6,0.0345,0.0121,1,1,0,0,0.066079,0.015625,34,0.7635,1.4796,0.404,0.004427
32,4999,3038,0,0,3,1.9673,2,16.6,1,3037,4.48,0.9838,3088.0,1,1.0,46,1,2,720,0.002874,0.0493,0.0,31,22.4,0.0287,0.0109,0,0,0,0,0.073892,0.015625,34,0.7885,1.5338,0.4067,0.004395
33,4999,3155,1,3,3,1.9841,1,16.6,3149,0,4.5,1.0199,3094.5,7,1.0,48,6,4,739,0.002559,0.0489,32.7103,32,22.3,0.0307,0.0111,0,0,0,0,0.071111,0.015625,37,0.7803,1.5827,0.4077,0.004357
34,4999,3094,0,0,3,1.9899,1,16.6,0,3094,4.43,0.9999,3094.4,0,1.0,45,0,3,676,0.002422,0.0484,0.0,33,23.6,0.0293,0.0105,0,1,0,0,0.064516,0.015625,34,0.7578,1.6365,0.4103,0.004314
35,4999,3042,1,5,3,1.9671,1,16.7,2,3035,4.48,0.9846,3089.4,7,1.0,39,3,9,695,0.002802,0.0514,36.1446,34,25.3,0.0348,0.0117,1,0,0,0,0.057143,0.015625,35,0.7266,1.6708,0.4107,0.004266
36,4999,3019,1,5,1,1.9412,1,16.5,2,3012,4.43,0.9793,3082.7,7,1.0,38,3,4,651,0.002969,0.0636,29.5858,35,25.2,0.0365,0.014,1,0,0,0,0.069364,0.015625,32,0.7747,1.7055,0.4115,0.004214
37,4999,3036,0,0,1,1.9313,2,16.3,4,3032,4.46,0.9863,3078.3,4,1.0,36,4,6,654,0.003118,0.0732,12.987,36,25.3,0.0396,0.015,0,1,0,0,0.115854,0.015625,30,0.8651,1.7542,0.4136,0.004156
38,4999,2944,0,0,0,1.957,1,16.2,0,2944,4.32,0.9604,3065.5,0,1.0,33,0,3,569,0.002858,0.0559,0.0,37,26.3,0.035,0.0136,0,0,0,0,0.076923,0.015625,28,0.7969,1.7962,0.417,0.004093
39,4999,3024,2,5,0,1.9374,1,16.4,5,3014,4.4,0.9877,3061.5,10,1.0,36,5,2,605,0.003098,0.0828,61.3497,38,23.9,0.036,0.0156,1,0,0,0,0.08284,0.015625,31,0.8114,1.8613,0.419,0.004027
40,4999,3106,0,0,3,1.9382,1,16.3,3101,0,4.55,1.0131,3065.8,5,1.0,34,0,2,580,0.003579,0.0819,30.4878,39,25.2,0.0373,0.0175,0,0,0,0,0.081871,0.015625,29,0.8092,1.9373,0.4209,0.003956
41,4999,3079,0,0,3,1.9003,1,16.4,3072,0,4.42,1.0039,3067.0,7,1.0,34,2,2,600,0.003024,0.1,30.6748,40,26.2,0.0353,0.0183,0,0,0,0,0.1,0.015625,31,0.8438,1.9667,0.4235,0.003882
42,4999,3132,0,0,3,1.8279,1,16.5,3127,0,4.46,1.0191,3073.2,5,1.0,32,5,7,573,0.002651,0.0556,32.2581,41,26.4,0.0361,0.0122,0,0,0,0,0.080247,0.015625,27,0.8053,2.0038,0.4266,0.003804
43,4999,3019,1,4,3,1.7759,1,16.5,8,3011,4.4,0.984,3068.1,8,1.0,31,1,2,555,0.003297,0.0692,50.9554,42,26.8,0.0363,0.015,0,0,0,0,0.09434,0.015625,25,0.8344,2.0981,0.4302,0.003723
44,4999,3016,3,4,3,1.9656,1,16.4,17,2999,4.4,0.9846,3063.1,17,1.0,34,9,6,619,0.003075,0.0479,89.8876,43,23.9,0.0352,0.0112,0,0,0,0,0.058511,0.015625,30,0.733,2.13,0.4296,0.003639
45,4999,3046,0,0,3,1.9553,2,16.3,5,3041,4.51,0.9949,3061.5,5,1.0,31,0,3,594,0.003304,0.0629,25.974,44,27.0,0.0339,0.0137,0,0,0,0,0.075472,0.015625,29,0.793,2.1803,0.4293,0.003552
46,4999,3136,2,5,1,1.9358,1,16.4,3124,0,4.5,1.0226,3068.8,14,1.0,32,2,1,623,0.00393,0.0872,77.381,45,26.8,0.0362,0.0187,1,1,0,0,0.087209,0.015625,30,0.8208,2.2152,0.4256,0.003464
47,4999,3068,0,0,3,1.9634,1,16.4,1,3062,4.48,0.9998,3068.7,6,1.0,32,1,1,610,0.003407,0.0675,30.8642,46,27.8,0.0378,0.0154,0,0,0,0,0.067485,0.015625,30,0.7685,2.252,0.4243,0.003373
48,4999,3121,0,0,3,1.9591,1,16.3,3111,0,4.41,1.0154,3073.7,10,1.0,35,5,2,623,0.003083,0.0621,58.4795,47,26.4,0.0335,0.0129,0,0,0,0,0.067797,0.015625,32,0.7695,2.269,0.4238,0.003281
49,4999,3036,0,0,3,1.9194,1,16.5,0,3031,4.4,0.9889,3070.1,5,1.0,33,0,2,623,0.002843,0.0745,32.4675,48,28.7,0.0349,0.0156,0,0,0,0,0.080745,0.015625,32,0.8065,2.3062,0.4241,0.003188
50,4999,3064,0,0,3,1.9593,1,16.3,4,3055,4.44,0.9982,3069.5,9,1.0,34,4,3,608,0.002789,0.0714,49.1803,49,28.7,0.0361,0.0133,0,0,0,0,0.071429,0.015625,33,0.7812,2.3317,0.4235,0.003094
51,4999,3139,1,3,3,1.9267,1,16.2,3132,0,4.53,1.0213,3076.4,10,1.0,33,5,6,610,0.002902,0.0602,56.6038,50,28.7,0.0329,0.0133,0,0,0,0,0.084337,0.015625,34,0.8147,2.392,0.4236,0.003
52,4999,3100,0,0,1,1.9658,1,16.2,3094,0,4.42,1.0069,3078.7,6,1.0,34,2,1,608,0.003088,0.0588,30.8642,51,28.8,0.0344,0.0142,0,0,0,0,0.058824,0.015625,33,0.7344,2.4214,0.4223,0.002906
53,4998,3076,0,0,3,1.9764,1,16.2,4,3072,4.43,0.9992,3078.4,4,1.0,32,0,2,599,0.002739,0.061,25.3165,52,31.4,0.038,0.015,0,0,0,0,0.073171,0.015625,32,0.7865,2.4702,0.4226,0.002812
54,4998,3051,3,5,1,1.9814,1,16.3,5,3036,4.37,0.9919,3075.8,15,1.0,32,3,3,638,0.003329,0.0667,85.2273,53,32.2,0.0424,0.0179,3,0,0,0,0.094444,0.015625,31,0.8346,2.498,0.4224,0.002719
55,4998,3108,1,5,3,1.977,1,16.2,3100,0,4.47,1.0095,3078.9,8,1.0,31,4,5,645,0.003001,0.0511,29.1667,54,32.4,0.0384,0.0127,1,0,0,0,0.090909,0.015625,30,0.8281,2.532,0.422,0.002627
56,4998,2947,1,3,1,1.9634,2,16.2,3,2939,4.39,0.9611,3066.3,8,1.0,31,1,1,627,0.003195,0.0705,52.9801,55,33.3,0.0385,0.0144,0,1,0,0,0.070513,0.015625,29,0.7784,2.5513,0.4209,0.002536
57,4998,3092,0,0,3,1.9776,2,16.3,3084,0,4.43,1.0076,3068.7,8,1.0,31,0,0,608,0.002722,0.0714,53.3333,56,34.3,0.0373,0.0131,0,0,0,0,0.077922,0.015625,29,0.7995,2.5772,0.4208,0.002448
58,4998,3036,1,5,3,1.9065,1,16.3,3,3028,4.44,0.9903,3065.6,8,1.0,32,1,0,628,0.002872,0.0625,50.6329,57,34.2,0.0368,0.0136,1,0,0,0,0.0625,0.015625,30,0.75,2.6022,0.4193,0.002361
59,4997,3005,0,0,3,1.9438,1,16.2,3,3002,4.43,0.9821,3059.9,3,1.0,32,0,0,628,0.00272,0.0552,18.6335,58,35.2,0.0354,0.0124,0,0,0,0,0.092025,0.015625,30,0.8302,2.6391,0.419,0.002277
60,4997,3002,0,0,3,1.8834,1,16.3,3,2999,4.39,0.9829,3054.3,3,1.0,30,0,2,595,0.002994,0.0753,16.2162,59,34.8,0.0361,0.018,0,0,0,0,0.075269,0.015625,29,0.7924,2.6391,0.418,0.002196
61,4996,3070,0,0,3,1.571,1,18.2,3064,0,4.45,1.0046,3055.8,6,1.0,32,6,4,637,0.002871,0.0964,25.3165,60,33.6,0.0361,0.0157,0,0,0,0,0.096386,0.015625,32,0.8379,2.6391,0.4167,0.002118
62,4996,3034,1,5,3,1.5656,1,23.7,0,3029,4.43,0.9935,3053.8,5,1.0,32,1,1,637,0.0032,0.082,28.0899,61,34.4,0.0398,0.0184,1,0,0,0,0.081967,0.015625,31,0.8094,2.6391,0.4159,0.002044
63,4995,3037,0,0,3,1.7627,1,20.1,0,3037,4.49,0.995,3052.2,0,1.0,30,0,2,625,0.002523,0.0581,0.0,62,37.4,0.04,0.0148,0,1,0,0,0.087209,0.015625,30,0.8208,2.6391,0.4169,0.001973
64,4995,3125,1,4,3,1.7901,1,16.4,3122,0,4.58,1.0218,3059.2,4,1.0,30,1,1,600,0.002553,0.0743,23.3918,63,37.9,0.0397,0.0174,0,0,0,0,0.074286,0.015625,28,0.7897,2.6391,0.4171,0.001907
65,4994,3019,0,0,3,1.8776,1,16.5,0,3019,4.4,0.9881,3055.4,0,1.0,29,0,1,600,0.002977,0.0896,0.0,64,39.9,0.0364,0.0173,0,1,0,0,0.089552,0.015625,28,0.8255,2.6391,0.4167,0.001844
66,4990,3104,1,5,3,1.9589,1,16.3,3099,0,4.51,1.0144,3060.0,5,1.0,30,1,0,597,0.003062,0.0727,30.303,65,39.5,0.0399,0.0156,1,0,0,0,0.072727,0.015625,29,0.7852,2.6391,0.4156,0.001786
67,4988,2992,1,5,1,1.9926,1,16.3,5,2982,4.45,0.9799,3053.5,10,1.0,29,6,7,629,0.002812,0.0602,58.0645,66,36.7,0.039,0.0131,1,1,0,0,0.060241,0.015625,30,0.7406,2.6391,0.4154,0.001734
68,4985,3059,1,5,3,1.973,2,16.2,3045,0,4.44,1.0016,3054.0,14,1.0,30,1,0,610,0.002825,0.0759,90.9091,67,36.5,0.0366,0.0165,1,0,0,0,0.082278,0.015625,29,0.8101,2.6391,0.416,0.001686
69,4979,3142,1,4,3,1.9622,2,16.2,3129,0,4.47,1.0269,3062.7,16,1.0,33,4,1,644,0.003018,0.0777,86.0215,68,34.1,0.0363,0.0135,0,0,0,0,0.07772,0.015625,30,0.799,2.6486,0.4152,0.001643
70,4973,3029,1,5,3,1.9679,2,16.2,9,3010,4.37,0.99,3059.5,19,1.0,33,3,3,666,0.003168,0.0939,98.2659,69,34.7,0.0347,0.0173,1,1,0,0,0.093923,0.015625,33,0.8336,2.6873,0.4137,0.001605
71,4961,2980,0,0,3,1.9604,2,16.1,4,2976,4.35,0.9764,3051.9,4,1.0,30,0,3,602,0.002643,0.0585,23.9521,70,39.0,0.0375,0.0128,0,1,0,0,0.05848,0.015625,31,0.7328,2.7457,0.4133,0.001573
72,4945,3102,1,3,3,1.8656,1,16.0,3095,0,4.47,1.0151,3056.8,8,1.0,31,4,3,615,0.002801,0.0688,51.2821,71,38.6,0.0364,0.0145,0,0,0,0,0.06875,0.015625,32,0.7727,2.777,0.4123,0.001547
73,4917,3121,2,5,1,1.8743,1,15.8,3109,0,4.56,1.0193,3063.0,13,1.0,32,3,2,637,0.002686,0.0622,58.5366,72,38.2,0.0348,0.0124,1,0,0,0,0.100478,0.015625,32,0.8445,2.8009,0.4121,0.001527
74,4890,3009,0,0,3,1.8843,2,15.7,0,3004,4.5,0.984,3057.9,5,1.0,30,0,2,616,0.002919,0.0629,29.4118,73,41.6,0.037,0.0155,0,1,0,0,0.12,0.015625,30,0.8698,2.8523,0.4126,0.001512
