seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
29,1,1,4,896,0,0,865,666,19.548,1.5843,0.9368,0.9353,0.9217,0.9271,2693,A,B,A,B,0,0,0,0
29,2,0,0,273,0,0,268,623,18.1415,1.5835,0.9665,0.9483,0.9245,0.8957,838,A,B,A,B,3,1,0,0
29,3,0,0,40,0,0,31,701,20.4223,1.5557,0.9789,0.8813,0.9992,1.0,122,A,B,A,B,1,1,0,0
29,4,0,0,14,0,0,7,679,19.1702,1.5269,0.9183,0.9544,0.9852,1.0,34,A,B,A,B,4,1,0,0
29,5,0,0,5,0,0,8,668,18.0237,1.531,0.9183,0.9852,1.0,0.0,23,A,B,A,B,4,1,0,0
29,6,0,0,6,0,0,5,680,18.5616,1.497,1.0,0.7219,0.8113,0.9852,22,A,neutral,A,B,4,0,0,0
29,7,0,0,8,0,0,11,694,19.519,1.516,0.9544,0.9911,0.8631,1.0,36,A,B,A,B,4,0,0,0
29,8,0,0,10,0,0,7,641,18.0429,1.5697,0.9911,0.8113,0.8631,0.9183,26,A,B,A,B,4,0,0,0
29,9,0,0,9,0,0,6,658,18.9651,1.5165,0.9544,0.9852,0.7219,0.9544,28,A,B,A,B,4,0,0,0
29,10,0,0,23,0,0,15,668,19.4148,1.5635,0.7871,0.9183,0.8631,0.9544,57,A,B,A,B,1,1,0,0
29,11,0,0,15,0,0,11,706,19.4729,1.5525,0.7642,0.7642,0.7219,0.9852,35,A,B,A,B,4,1,0,0
29,12,0,0,9,0,0,11,677,18.9112,1.569,0.65,0.9799,0.9852,1.0,33,A,B,A,B,3,1,0,0
29,13,0,0,12,0,0,19,694,20.562,1.5598,0.7219,0.9799,0.9183,0.9183,46,A,B,A,B,4,1,0,0
29,14,0,0,7,0,0,10,727,19.6455,1.5029,0.9544,0.9852,0.971,0.9957,33,A,B,A,B,4,0,0,0
29,15,0,0,5,0,0,6,696,18.6677,1.5574,0.971,0.0,1.0,0.971,19,A,B,A,B,4,0,0,0
29,16,0,0,11,0,0,7,655,19.7945,1.5494,0.9183,0.8631,1.0,1.0,30,A,B,A,B,4,0,0,0
29,17,0,0,15,0,0,15,640,18.6207,1.5707,0.9183,0.8905,0.8113,0.5917,41,A,B,A,B,4,0,0,0
29,18,0,0,8,0,0,13,665,18.1867,1.5575,0.8113,0.65,1.0,0.9183,32,A,B,A,B,4,0,0,0
29,19,0,0,13,0,0,16,617,16.3994,1.574,0.9183,0.5033,0.9799,0.8454,41,A,B,A,B,1,1,0,0
29,20,0,0,18,0,0,6,660,17.8737,1.4615,0.8454,0.971,0.9544,0.971,37,A,B,A,B,4,0,0,0
29,21,0,0,20,0,0,9,696,20.1683,1.5115,0.7793,0.8813,0.8631,0.971,47,A,neutral,A,B,3,1,0,0
29,22,0,0,9,0,0,10,655,18.881,1.5477,0.8631,0.971,0.9183,0.994,34,A,B,A,B,4,0,0,0
29,23,1,2,15,0,0,7,647,18.7451,1.4984,0.0,0.971,0.684,1.0,30,A,B,A,B,4,0,0,0
29,24,0,0,17,0,0,8,658,18.1414,1.4382,0.8113,0.9183,0.4138,0.7219,31,A,B,A,B,4,0,0,0
29,25,0,0,16,0,0,5,670,19.4038,1.3801,0.7219,0.9183,0.0,0.9183,27,A,B,A,B,1,1,0,0
