seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
44,1,1,2,927,0,0,863,685,19.0708,1.5842,0.9202,0.9198,0.8998,0.9093,2663,A,B,A,B,0,0,0,0
44,2,0,0,265,0,0,240,663,17.9416,1.5834,0.8717,0.9419,0.8972,0.9109,745,A,B,A,B,3,1,0,0
44,3,0,0,34,0,0,37,672,18.3498,1.5812,0.9183,0.9829,0.8454,0.6913,102,A,B,A,B,0,1,0,0
44,4,0,0,5,1,1,11,672,20.1754,1.5161,0.9544,0.9852,0.0,0.5436,25,A,B,neutral,B,1,1,0,0
44,5,0,0,13,0,0,9,719,20.8112,1.569,0.8631,0.9957,0.7219,0.9183,33,A,B,A,B,4,0,0,0
44,6,1,2,20,0,0,10,687,19.8553,1.5,0.7642,0.971,0.5665,0.9183,40,A,B,A,B,4,0,0,0
44,7,0,0,13,0,0,7,647,18.0616,1.5378,0.5033,1.0,0.8631,0.9911,29,A,B,A,B,4,0,0,0
44,8,0,0,9,0,0,16,701,18.9724,1.5426,0.8631,0.8454,1.0,0.7219,36,A,B,A,B,1,1,0,0
44,9,0,0,12,0,0,13,656,17.8503,1.5821,1.0,0.9911,0.65,0.9852,39,A,B,A,B,3,1,0,0
44,10,0,0,22,0,0,16,638,16.9187,1.5677,0.7642,0.994,0.7425,0.9183,54,A,B,A,B,3,1,0,0
44,11,0,0,9,0,0,7,649,18.5193,1.5644,0.0,1.0,0.8113,0.9183,22,A,B,A,B,4,0,0,0
44,12,0,0,13,0,0,7,669,18.5686,1.5382,0.7642,0.9183,0.971,1.0,32,A,B,A,B,3,1,0,0
44,13,0,0,8,0,0,9,678,19.4276,1.5632,0.9544,0.9183,0.8113,0.994,29,A,B,A,B,4,0,0,0
44,14,1,1,10,0,0,18,649,17.8643,1.5243,0.7642,0.4395,0.9852,0.8454,38,A,B,A,B,4,0,0,0
44,15,0,0,8,0,0,9,672,18.9687,1.5403,0.9911,0.9911,0.9183,0.9852,31,A,B,A,B,4,0,0,0
44,16,0,0,13,0,0,12,706,19.7646,1.5816,1.0,0.9911,0.469,0.7642,36,A,B,A,B,3,1,0,0
44,17,0,0,11,0,0,11,712,19.388,1.5559,0.9911,0.8113,0.0,0.65,29,A,B,A,B,3,1,0,0
44,18,0,0,14,0,0,11,620,16.6786,1.5614,0.5436,0.9911,0.7642,0.8113,34,A,B,A,B,4,0,0,0
44,19,0,0,8,0,0,5,633,18.3369,1.5589,0.0,0.971,0.9852,0.9183,20,A,B,A,B,4,0,0,0
44,20,0,0,8,0,0,8,678,20.5032,1.5726,0.8631,0.971,0.971,0.0,22,A,B,A,B,4,0,0,0
44,21,0,0,20,0,0,17,677,19.0277,1.5784,0.9887,0.9612,0.6194,0.684,53,A,B,A,B,4,0,0,0
44,22,0,0,14,0,0,8,625,17.0058,1.5486,0.9799,1.0,0.7642,0.7219,34,A,B,A,B,4,0,0,0
44,23,0,0,11,0,0,9,711,19.4697,1.5722,0.9544,0.8631,0.9183,0.0,28,A,B,A,B,3,1,0,0
44,24,0,0,9,1,2,10,662,17.605,1.5671,0.8113,0.9183,1.0,0.9911,32,A,B,A,B,4,0,0,0
44,25,0,0,14,0,0,13,648,17.8308,1.5704,0.9457,0.7219,0.9457,0.9612,45,A,B,A,B,4,0,0,0
