window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
190,4691,2978,0,0,3,1.9728,1,14.2,1,2977,4.55,0.9915,3003.4,1,1.0,77,1,2,1455,0.000845,0.0265,0.0,189,86.5,0.0135,0.0059,0,0,0,0,0.064159,0.015625,49,0.7565,8.7815,0.3669,20,6,51,796,1161,507,0.0011,0.9989,607.8,4.2,0.0514,0.004425,0.004647,0.9521,0.9761,0
191,4691,2987,1,3,3,1.9686,1,14.3,5,2982,4.57,0.995,3001.9,5,1.0,78,4,3,1465,0.000546,0.0255,3.7585,190,86.4,0.0135,0.0052,0,0,0,0,0.053079,0.015625,48,0.7056,8.8346,0.3668,20,6,52,764,1155,467,0.0007,0.9993,596.1,4.1,0.0511,0.010616,0.005216,2.0353,1.5,0
192,4690,2917,0,0,3,1.9553,1,14.3,0,2917,4.52,0.9743,2993.8,0,1.0,78,0,0,1449,0.000796,0.0253,0.0,191,87.4,0.0134,0.0054,0,0,0,0,0.071579,0.015625,48,0.7817,8.9062,0.3668,20,6,52,760,1162,428,0.0007,0.9993,598.3,4.1,0.0511,0,0.004719,0.0,0.5,0
193,4689,2975,0,0,3,1.5653,1,14.1,0,2975,4.54,0.9943,2992.0,0,1.0,77,0,1,1449,0.000265,0.0285,0.0,192,89.5,0.0135,0.0055,0,0,0,0,0.065789,0.015625,48,0.7625,8.961,0.3666,20,6,51,792,1193,433,0.0015,0.9985,553.4,4.1,0.0517,0.002193,0.004478,0.4897,0.7448,0
194,4688,3015,2,3,3,1.7713,1,14.4,3022,0,4.69,1.0121,2995.8,10,1.0,83,8,2,1471,0.000414,0.0288,23.3645,193,84.0,0.0132,0.0055,0,0,0,0,0.075221,0.015625,47,0.7923,9.0163,0.3666,21,7,55,775,1182,448,0.0008,0.9992,539.7,4.0,0.0516,0.0,0.004052,0.0,0.5,0
195,4686,3005,1,3,3,1.8813,1,14.0,2993,0,4.63,1.0037,2997.0,15,1.0,83,4,4,1464,0.000281,0.0268,28.6299,194,80.9,0.0133,0.0056,0,1,0,0,0.059273,0.015625,50,0.7364,9.0603,0.3664,20,8,55,775,1164,492,0.0013,0.9987,529.7,4.0,0.0515,0.011472,0.004759,2.4109,1.5,0
196,4683,3020,1,5,3,1.9115,2,14.2,3017,0,4.65,1.0115,3000.6,18,1.0,81,4,6,1473,0.001006,0.0268,34.413,195,83.5,0.0133,0.0052,1,0,0,0,0.055556,0.015625,48,0.7188,9.1158,0.3663,19,9,53,788,1190,464,0.0014,0.9986,531.1,4.0,0.0513,0.011494,0.0054,2.1285,1.5,0
197,4682,3023,1,5,3,1.9348,2,14.1,3011,0,4.56,1.0095,3003.6,21,1.0,81,5,5,1465,0.000952,0.0316,39.916,196,84.3,0.0126,0.006,1,1,0,0,0.045365,0.015625,50,0.6556,9.1612,0.3662,21,7,53,790,1210,465,0.0006,0.9994,558.2,4.1,0.0516,0.011834,0.006013,1.9682,1.4841,0
198,4682,3007,2,5,3,1.9435,2,14.1,2994,0,4.55,1.001,3003.9,13,1.0,81,2,2,1482,0.001033,0.028,29.2793,197,85.3,0.0127,0.0051,1,0,0,0,0.064655,0.015625,48,0.7583,9.2258,0.3659,21,7,53,778,1203,471,0.0008,0.9992,569.8,4.3,0.0517,0.006466,0.006056,1.0676,1.0338,0
199,4680,2944,0,0,3,1.9485,2,14.1,2,2942,4.49,0.9819,2998.2,2,1.0,81,2,2,1483,0.000596,0.0295,2.193,198,86.2,0.0128,0.0052,0,0,0,0,0.046414,0.015625,47,0.6634,9.2702,0.3655,22,7,52,725,1207,467,0.0008,0.9992,548.3,4.1,0.0517,0.006329,0.006082,1.0406,1.0203,0
200,4679,2973,0,0,3,1.978,1,14.0,2,2971,4.57,0.9924,2995.8,2,1.0,78,2,5,1472,0.00055,0.0295,4.7059,199,90.1,0.0131,0.005,0,2,0,0,0.059091,0.015625,47,0.7356,9.3111,0.3654,21,5,52,756,1147,471,0.0008,0.9992,579.6,4.0,0.0519,0.011364,0.006585,1.7257,1.3628,0
