window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3338,3,0,3,3.7,4,0.32,0.38,0,0,0,0,0,0,17,0,0,0.0,0,1.9981,1.9981,0,84.0
2,5000,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,1,1.9954,-0.0027,0,120.4
3,5000,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,0,1.9976,0.0022,0,140.6
4,5000,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,0,1.9839,-0.0137,1,160.6
5,5000,3149,1,0,1,5.0,5,0.17,0.17,0,0,0,0,0,0,27,0,0,0.0,3,1.9165,-0.0674,1,177.0
6,5000,3161,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.958,0.0416,1,183.8
7,5000,3094,1,0,1,4.0,4,0.64,0.64,0,0,0,0,0,0,24,0,0,0.0,3,1.9787,0.0207,1,194.0
8,4996,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,3,1.9437,-0.0349,1,199.2
9,4995,3085,1,0,1,3.0,3,0.0,0.0,0,0,0,0,0,0,27,0,0,0.0,3,1.9749,0.0312,1,203.7
10,4980,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9788,0.0039,1,206.6
11,4971,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.8323,-0.1465,1,206.2
12,4965,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.7034,-0.1289,1,209.4
13,4963,2977,3,0,3,5.0,5,0.55,0.64,0,0,0,0,0,0,25,0,0,0.0,3,1.8817,0.1783,1,195.7
14,4962,3032,2,0,2,3.5,4,0.49,0.64,0,0,0,0,0,0,27,0,0,0.0,3,1.9467,0.0651,1,174.3
15,4957,3032,1,0,1,4.0,4,0.4,0.4,0,0,0,0,0,0,26,0,0,0.0,3,1.815,-0.1317,2,185.0
16,4954,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.9328,0.1178,2,181.5
17,4948,3052,1,0,1,5.0,5,0.6,0.6,0,0,0,0,0,0,25,0,0,0.0,3,1.9822,0.0494,1,187.8
18,4945,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,3,1.9747,-0.0075,1,183.4
19,4943,3081,3,0,3,5.0,5,1.0,1.5,0,0,0,0,0,0,23,0,0,0.0,3,1.9852,0.0105,1,182.7
20,4941,3054,1,0,1,4.0,4,1.0,1.0,0,0,0,0,0,0,19,0,0,0.0,3,1.9665,-0.0188,1,183.5
21,4940,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9374,-0.0291,2,187.8
22,4934,2966,2,0,2,4.5,5,0.8,1.0,0,0,0,0,0,0,22,0,0,0.0,3,1.9392,0.0018,1,183.9
23,4927,3156,1,0,1,5.0,5,0.8,0.8,0,0,0,0,0,0,14,0,0,0.0,1,1.9628,0.0236,1,184.0
24,4921,3102,2,0,2,4.0,5,0.65,0.8,0,0,0,0,0,0,20,0,0,0.0,3,1.9065,-0.0562,2,182.5
25,4917,3098,1,0,1,5.0,5,0.17,0.17,0,0,0,0,0,0,25,0,0,0.0,3,1.9562,0.0496,2,182.3
26,4915,3067,1,0,1,4.0,4,0.75,0.75,0,0,0,0,0,0,14,0,0,0.0,3,1.9968,0.0406,2,180.9
27,4910,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.0,3,1.8496,-0.1472,2,185.9
28,4905,3035,2,0,2,4.0,5,0.0,0.0,0,0,0,0,0,0,16,0,0,0.0,3,1.9593,0.1097,1,177.8
29,4902,2927,2,0,2,4.0,5,0.2,0.4,0,0,0,0,0,0,30,0,0,0.0,3,1.9788,0.0195,1,182.1
30,4890,2989,3,0,3,4.7,5,1.26,1.5,0,0,0,0,0,0,35,0,0,0.0,3,1.9988,0.02,2,181.3
31,4880,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,3,1.9749,-0.0239,2,183.5
32,4869,3054,1,0,1,5.0,5,0.8,0.8,0,0,0,0,0,0,32,0,0,0.0,3,1.8984,-0.0765,1,183.9
33,4864,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9716,0.0732,1,181.5
34,4861,2951,2,0,2,5.0,5,0.67,0.8,0,0,0,0,0,0,23,0,0,0.0,1,1.9121,-0.0595,1,184.7
35,4855,2948,1,0,1,5.0,5,1.43,1.43,0,0,0,0,0,0,18,0,0,0.0,2,1.9054,-0.0067,1,179.9
36,4852,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,1,1.7759,-0.1295,2,178.2
37,4846,2946,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,0,1.9542,0.1784,1,185.1
38,4843,3017,2,0,2,5.0,5,0.55,0.8,0,0,0,0,0,0,27,0,0,0.0,1,1.9032,-0.0511,1,182.9
39,4836,3001,2,0,2,4.0,5,0.62,0.8,0,0,0,0,0,0,26,0,0,0.0,3,1.9506,0.0474,1,182.9
40,4835,2969,1,0,1,5.0,5,0.8,0.8,0,0,0,0,0,0,23,0,0,0.0,1,1.9583,0.0078,2,184.0
41,4827,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,1,1.9526,-0.0057,2,178.1
42,4806,2925,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,0,1.9958,0.0432,1,187.7
43,4794,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.837,-0.1588,1,167.5
44,4785,2950,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,30,0,0,0.0,3,1.9144,0.0774,1,179.5
45,4782,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.8512,-0.0631,1,182.5
46,4777,2926,1,0,1,5.0,5,1.33,1.33,0,0,0,0,0,0,24,0,0,0.0,3,1.8129,-0.0383,1,181.0
47,4776,2933,2,0,2,3.5,4,0.8,1.33,0,0,0,0,0,0,26,0,0,0.0,3,1.9166,0.1037,1,177.6
48,4775,2897,2,0,2,3.0,3,0.31,0.33,0,0,0,0,0,0,23,0,0,0.0,1,1.871,-0.0456,2,177.6
49,4772,2910,2,0,2,4.0,5,0.3,0.4,0,0,0,0,0,0,25,0,0,0.0,3,1.9864,0.1154,2,176.1
50,4768,2943,4,0,4,4.2,5,1.38,2.0,0,0,0,0,0,0,19,0,0,0.0,3,1.9547,-0.0318,2,151.7
