window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3301,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,0,1.9983,1.9983,0,79.2
2,5000,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.9969,-0.0014,0,111.6
3,5000,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.9536,-0.0433,0,137.5
4,5000,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,3,1.9827,0.0291,0,161.2
5,5000,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9785,-0.0042,1,175.8
6,5000,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9217,-0.0569,1,176.0
7,4999,3053,1,0,1,5.0,5,0.27,0.27,0,0,0,0,0,0,23,0,0,0.0,1,1.9025,-0.0192,1,194.4
8,4998,3000,1,0,1,3.0,3,0.0,0.0,0,0,0,0,0,0,28,0,0,0.0,2,1.966,0.0635,1,191.8
9,4996,3073,1,0,1,4.0,4,0.67,0.67,0,0,0,0,0,0,21,0,0,0.0,1,1.8522,-0.1138,2,198.8
10,4994,3098,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,19,0,0,0.0,3,1.9874,0.1352,2,201.3
11,4991,3177,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,1,1.9887,0.0013,2,206.2
12,4988,3108,1,0,1,5.0,5,0.53,0.53,0,0,0,0,0,0,36,0,0,0.0,1,1.9877,-0.001,1,212.6
13,4977,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.7909,-0.1969,1,206.9
14,4973,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9737,0.1829,1,183.8
15,4968,3129,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,3,1.805,-0.1687,1,175.4
16,4961,3012,1,0,1,5.0,5,0.44,0.44,0,0,0,0,0,0,10,0,0,0.0,3,1.9772,0.1722,1,181.0
17,4958,2996,1,0,1,5.0,5,1.25,1.25,0,0,0,0,0,0,25,0,0,0.0,3,1.8752,-0.102,1,187.2
18,4956,3098,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9108,0.0356,2,182.6
19,4950,3036,1,0,1,5.0,5,0.9,0.9,0,0,0,0,0,0,32,0,0,0.0,3,1.9542,0.0435,1,176.0
20,4946,2929,1,0,1,3.0,3,0.44,0.44,0,0,0,0,0,0,23,0,0,0.0,1,1.9893,0.035,1,188.4
21,4931,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,1,1.948,-0.0413,2,185.5
22,4924,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,3,1.9852,0.0372,1,181.5
23,4921,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0,3,1.8962,-0.089,1,183.1
24,4919,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.7994,-0.0968,1,177.1
25,4917,3052,2,0,2,5.0,5,0.81,0.96,0,0,0,0,0,0,19,0,0,0.0,3,1.9875,0.188,1,185.3
26,4917,3091,2,0,2,4.0,5,0.21,0.27,0,0,0,0,0,0,27,0,0,0.0,1,1.9958,0.0083,1,180.8
