window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3364,1,0,1,5.0,5,1.33,1.33,0,0,0,0,0,0,28,0,0,0.0,0,1.9994,1.9994,0,75.2
2,5000,3120,1,0,1,3.0,3,0.27,0.27,0,0,0,0,0,0,29,0,0,0.0,0,1.9988,-0.0005,0,101.8
3,5000,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,1,1.9851,-0.0137,0,119.5
4,5000,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.973,-0.0122,1,134.3
5,5000,3122,2,0,2,4.0,5,0.32,0.44,0,0,0,0,0,0,26,0,0,0.0,3,1.9893,0.0163,1,144.0
6,4999,3072,2,0,2,4.5,5,0.83,1.0,0,0,0,0,0,0,25,0,0,0.0,1,1.99,0.0007,1,152.1
7,4999,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,3,1.9928,0.0028,2,159.2
8,4991,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.9329,-0.0598,1,161.9
9,4988,3100,1,0,1,5.0,5,1.28,1.28,0,0,0,0,0,0,19,0,0,0.0,3,1.985,0.0521,1,163.8
10,4987,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9363,-0.0488,1,169.1
11,4983,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.9183,-0.018,1,169.7
12,4973,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.8148,-0.1034,1,173.4
13,4966,2920,3,0,3,4.0,5,0.71,1.2,0,0,0,0,0,0,27,0,0,0.0,1,1.8886,0.0738,1,160.2
14,4964,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,1,1.9046,0.016,1,151.6
15,4959,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,0,1.9269,0.0223,1,150.8
16,4957,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,0,1.9287,0.0018,1,152.8
17,4951,3005,1,0,1,4.0,4,0.75,0.75,0,0,0,0,0,0,26,0,0,0.0,1,1.969,0.0403,1,152.1
18,4941,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,1,1.9911,0.0221,1,151.4
19,4936,3060,1,0,1,5.0,5,0.0,0.0,0,0,0,0,0,0,27,0,0,0.0,3,1.9855,-0.0056,1,152.7
20,4934,3146,1,0,1,5.0,5,0.64,0.64,0,0,0,0,0,0,32,0,0,0.0,3,1.9269,-0.0586,1,153.3
21,4932,3076,2,0,2,5.0,5,1.2,1.6,0,0,0,0,0,0,13,0,0,0.0,3,1.9726,0.0457,2,152.5
22,4929,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0.0,3,1.982,0.0094,2,153.0
23,4928,3011,2,0,2,4.5,5,0.77,1.0,0,0,0,0,0,0,28,0,0,0.0,3,1.9913,0.0093,1,151.9
24,4919,2983,1,0,1,3.0,3,1.33,1.33,0,0,0,0,0,0,24,0,0,0.0,3,1.9336,-0.0577,1,152.4
25,4916,2995,1,0,1,5.0,5,0.0,0.0,0,0,0,0,0,0,21,0,0,0.0,3,1.9884,0.0548,2,151.4
26,4909,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9855,-0.003,2,152.8
27,4906,2947,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.9591,-0.0264,1,152.1
