window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3397,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,0,1.9971,1.9971,0,80.4
2,5000,3045,1,0,1,5.0,5,0.6,0.6,0,0,0,0,0,0,30,0,0,0.0,0,1.9975,0.0004,0,113.7
3,5000,3041,1,0,1,4.0,4,0.5,0.5,0,0,0,0,0,0,23,0,0,0.0,0,1.9806,-0.0169,0,141.0
4,5000,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,1,1.8547,-0.1258,0,155.8
5,5000,3054,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,3,1.9704,0.1157,1,174.9
6,5000,3115,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,27,0,0,0.0,1,1.9749,0.0045,1,185.9
7,4996,3094,2,0,2,3.5,4,1.0,2.0,0,0,0,0,0,0,21,0,0,0.0,1,1.9147,-0.0602,1,191.9
8,4994,3168,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,1,1.9814,0.0667,2,194.8
9,4991,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9628,-0.0186,1,205.0
10,4989,3051,1,0,1,3.0,3,0.44,0.44,0,0,0,0,0,0,18,0,0,0.0,3,1.9803,0.0175,1,207.5
11,4983,3223,2,0,2,4.0,5,0.43,0.67,0,0,0,0,0,0,20,0,0,0.0,3,1.9747,-0.0056,1,205.1
12,4976,3111,2,0,2,4.5,5,0.93,1.2,0,0,0,0,0,0,26,0,0,0.0,3,1.8683,-0.1065,2,204.5
13,4971,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.8866,0.0184,2,193.8
14,4963,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.7885,-0.0982,1,182.3
15,4960,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9732,0.1847,1,183.4
16,4959,3064,2,0,2,4.0,5,0.68,0.91,0,0,0,0,0,0,29,0,0,0.0,1,1.8803,-0.0928,1,186.0
17,4956,3045,3,0,3,3.3,4,0.69,1.33,0,0,0,0,0,0,25,0,0,0.0,3,1.9436,0.0633,1,185.2
18,4955,3030,1,0,1,3.0,3,0.5,0.5,0,0,0,0,0,0,25,0,0,0.0,3,1.9893,0.0456,2,187.3
