window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3404,3,0,3,4.7,5,0.45,1.2,0,0,0,0,0,0,23,0,0,0.0,0,1.9975,1.9975,0,79.6
2,5000,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,1,1.9901,-0.0073,0,113.6
3,5000,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.9801,-0.01,0,143.1
4,5000,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0.0,3,1.9803,0.0003,0,159.6
5,5000,3046,1,0,1,5.0,5,0.72,0.72,0,0,0,0,0,0,28,0,0,0.0,1,1.977,-0.0034,1,174.3
6,5000,3109,1,0,1,3.0,3,0.89,0.89,0,0,0,0,0,0,22,0,0,0.0,3,1.9823,0.0054,1,183.1
7,4999,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,3,1.8671,-0.1152,2,188.9
8,4989,3125,2,0,2,3.0,3,0.22,0.44,0,0,0,0,0,0,28,0,0,0.0,1,1.9794,0.1122,1,193.2
9,4987,3120,2,0,2,3.0,3,0.33,0.67,0,0,0,0,0,0,19,0,0,0.0,3,1.9564,-0.023,1,199.9
10,4983,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.9035,-0.0528,2,205.0
11,4983,3196,1,0,1,4.0,4,0.67,0.67,0,0,0,0,0,0,23,0,0,0.0,3,1.9671,0.0636,1,204.2
12,4981,2995,1,0,1,5.0,5,1.33,1.33,0,0,0,0,0,0,22,0,0,0.0,1,1.9481,-0.019,1,205.1
13,4980,3067,1,0,1,3.0,3,0.89,0.89,0,0,0,0,0,0,26,0,0,0.0,1,1.9749,0.0268,2,196.8
14,4980,3071,1,0,1,5.0,5,0.23,0.23,0,0,0,0,0,0,30,0,0,0.0,3,1.5589,-0.416,2,174.4
15,4976,3111,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,33,0,0,0.0,3,1.969,0.4102,2,189.4
16,4971,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.9749,0.0059,2,181.6
17,4964,3078,1,0,1,3.0,3,0.0,0.0,0,0,0,0,0,0,26,0,0,0.0,3,1.9347,-0.0402,1,178.9
18,4962,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,3,1.9561,0.0214,1,186.8
19,4957,3052,1,0,1,3.0,3,0.8,0.8,0,0,0,0,0,0,21,0,0,0.0,3,1.9038,-0.0523,1,186.5
20,4957,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.8955,-0.0083,1,177.3
21,4955,3041,2,0,2,4.0,5,0.17,0.33,0,0,0,0,0,0,24,0,0,0.0,3,1.8821,-0.0134,1,186.4
22,4954,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0.0,3,1.9332,0.0511,1,180.0
23,4950,3064,1,0,1,5.0,5,1.07,1.07,0,0,0,0,0,0,30,0,0,0.0,3,1.9742,0.041,1,191.0
24,4944,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9756,0.0014,1,177.1
25,4932,3070,1,0,1,4.0,4,1.0,1.0,0,0,0,0,0,0,25,0,0,0.0,1,1.8628,-0.1128,1,182.4
26,4923,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.859,-0.0037,1,185.9
27,4914,3065,1,0,1,5.0,5,0.24,0.24,0,0,0,0,0,0,33,0,0,0.0,3,1.8944,0.0354,1,186.1
28,4909,3079,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,3,1.9,0.0056,1,179.1
29,4907,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.9532,0.0532,1,182.9
30,4903,3018,1,0,1,3.0,3,0.44,0.44,0,0,0,0,0,0,16,0,0,0.0,1,1.9304,-0.0227,1,187.8
31,4900,3119,4,0,4,3.8,5,0.49,1.0,0,0,0,0,0,0,23,0,0,0.0,3,1.876,-0.0544,1,179.1
32,4897,2997,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,31,0,0,0.0,3,1.8497,-0.0263,2,184.0
33,4893,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9899,0.1402,2,186.5
34,4885,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9785,-0.0115,1,190.6
35,4884,2954,1,0,1,3.0,3,1.0,1.0,0,0,0,0,0,0,29,0,0,0.0,1,1.9374,-0.0411,1,185.5
36,4875,3059,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,27,0,0,0.0,1,1.8424,-0.095,1,177.7
37,4869,3026,1,0,1,5.0,5,0.3,0.3,0,0,0,0,0,0,26,0,0,0.0,0,1.953,0.1106,2,183.4
38,4866,2949,1,0,1,3.0,3,0.5,0.5,0,0,0,0,0,0,31,0,0,0.0,1,1.9326,-0.0204,2,185.1
39,4855,2929,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.0,1,1.8628,-0.0697,2,183.9
40,4853,2915,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.0,3,1.9532,0.0903,1,179.0
41,4849,3056,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,29,0,0,0.0,3,1.9075,-0.0456,1,183.6
42,4844,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,3,1.9127,0.0052,1,185.4
43,4842,2946,1,0,1,5.0,5,1.07,1.07,0,0,0,0,0,0,28,0,0,0.0,3,1.9569,0.0441,1,174.7
44,4839,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.8823,-0.0746,1,173.2
45,4833,2956,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.9247,0.0424,1,184.9
46,4825,2935,1,0,1,3.0,3,0.0,0.0,0,0,0,0,0,0,24,0,0,0.0,3,1.9275,0.0028,1,177.3
47,4819,2892,1,0,1,5.0,5,0.4,0.4,0,0,0,0,0,0,22,0,0,0.0,3,1.8736,-0.0539,1,179.5
48,4815,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.9785,0.1049,2,181.9
49,4812,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.0,3,1.9314,-0.0471,1,186.9
50,4808,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.9056,-0.0258,1,177.6
