window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3319,3,0,3,3.7,5,0.22,0.4,0,0,0,0,0,0,21,0,0,0.0,0,1.9996,1.9996,0,80.1
2,5000,3137,1,0,1,4.0,4,1.2,1.2,0,0,0,0,0,0,24,0,0,0.0,1,1.9994,-0.0001,0,114.3
3,5000,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9942,-0.0052,0,140.4
4,5000,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.9068,-0.0874,1,156.5
5,5000,3010,1,0,1,4.0,4,0.0,0.0,0,0,0,0,0,0,25,0,0,0.0,3,1.933,0.0262,1,175.4
6,5000,3070,2,0,2,4.0,5,0.4,0.67,0,0,0,0,0,0,20,0,0,0.0,1,1.9173,-0.0157,1,191.3
7,4999,3105,1,0,1,5.0,5,0.91,0.91,0,0,0,0,0,0,26,0,0,0.0,1,1.9183,0.001,2,186.8
8,4998,3105,1,0,1,5.0,5,1.6,1.6,0,0,0,0,0,0,24,0,0,0.0,3,1.8667,-0.0516,2,191.5
9,4993,3124,1,0,1,4.0,4,0.25,0.25,0,0,0,0,0,0,22,0,0,0.0,3,1.9895,0.1228,2,204.9
10,4985,3088,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.9692,-0.0203,2,197.3
11,4974,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.8276,-0.1415,1,203.3
12,4963,3022,1,0,1,3.0,3,0.22,0.22,0,0,0,0,0,0,29,0,0,0.0,3,1.8609,0.0332,1,212.6
13,4955,3122,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.9086,0.0478,1,192.6
14,4949,3104,2,0,2,4.0,5,1.13,1.6,0,0,0,0,0,0,28,0,0,0.0,1,1.7806,-0.128,1,185.7
15,4942,2968,1,0,1,5.0,5,1.33,1.33,0,0,0,0,0,0,28,0,0,0.0,3,1.8603,0.0797,1,179.9
16,4941,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0.0,3,1.9299,0.0696,2,184.0
17,4935,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9336,0.0037,1,176.4
18,4930,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.9776,0.044,1,189.0
19,4929,2895,1,0,1,5.0,5,0.27,0.27,0,0,0,0,0,0,13,0,0,0.0,3,1.9749,-0.0027,1,190.8
20,4925,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9446,-0.0303,1,185.3
21,4918,3011,1,0,1,5.0,5,0.27,0.27,0,0,0,0,0,0,28,0,0,0.0,3,1.9569,0.0123,1,191.5
22,4912,3057,2,0,2,3.5,4,0.75,1.0,0,0,0,0,0,0,31,0,0,0.0,3,1.8911,-0.0658,1,181.7
23,4909,3047,1,0,1,5.0,5,0.3,0.3,0,0,0,0,0,0,28,0,0,0.0,1,1.93,0.039,2,182.8
24,4903,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,1,1.8323,-0.0978,2,187.6
25,4900,3020,2,0,2,3.0,3,0.5,0.67,0,0,0,0,0,0,21,0,0,0.0,1,1.9772,0.145,1,180.2
26,4899,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,1,1.9068,-0.0704,1,186.0
27,4899,2904,1,0,1,5.0,5,0.32,0.32,0,0,0,0,0,0,23,0,0,0.0,3,1.9547,0.0479,1,184.4
