window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3313,3,0,3,5.0,5,0.33,1.0,0,0,0,0,0,0,24,0,0,0.0,0,1.999,1.999,0,80.3
2,5000,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,1,1.9956,-0.0033,0,113.2
3,5000,3147,2,0,2,4.5,5,0.93,1.11,0,0,0,0,0,0,30,0,0,0.0,3,1.9873,-0.0083,0,145.1
4,5000,3039,1,0,1,3.0,3,0.89,0.89,0,0,0,0,0,0,24,0,0,0.0,3,1.9657,-0.0216,1,159.2
5,5000,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.8053,-0.1604,2,175.3
6,5000,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.8973,0.092,1,181.2
7,4998,3160,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,23,0,0,0.0,1,1.9135,0.0162,1,193.1
8,4992,3065,1,0,1,3.0,3,0.27,0.27,0,0,0,0,0,0,20,0,0,0.0,3,1.8596,-0.0539,1,195.4
9,4985,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9875,0.1278,2,204.4
10,4976,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.919,-0.0684,1,206.0
11,4969,3222,2,0,2,4.5,5,0.43,0.5,0,0,0,0,0,0,21,0,0,0.0,1,1.9943,0.0753,1,207.7
12,4966,3053,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,28,0,0,0.0,3,1.9819,-0.0124,1,213.6
13,4959,3027,3,0,3,3.7,5,1.13,1.6,0,0,0,0,0,0,21,0,0,0.0,3,1.9489,-0.0331,2,192.2
14,4949,2932,1,0,1,4.0,4,1.2,1.2,0,0,0,0,0,0,23,0,0,0.0,3,1.8979,-0.051,2,178.2
15,4938,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,3,1.8753,-0.0226,2,181.2
16,4935,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9904,0.115,1,181.9
17,4931,2928,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,19,0,0,0.0,3,1.9355,-0.0548,1,186.6
18,4927,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.9785,0.043,1,183.1
19,4923,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9238,-0.0547,1,181.1
20,4919,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.0,3,1.7798,-0.144,1,180.5
21,4916,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,3,1.9785,0.1987,1,188.7
22,4914,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.9337,-0.0448,1,168.9
23,4911,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.8813,-0.0524,1,185.0
24,4904,2937,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.8048,-0.0765,1,181.5
25,4903,2971,1,0,1,5.0,5,0.75,0.75,0,0,0,0,0,0,26,0,0,0.0,3,1.9776,0.1728,1,182.7
26,4900,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,3,1.9988,0.0212,1,177.7
27,4897,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.9165,-0.0823,1,176.9
28,4893,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,3,1.9861,0.0696,1,175.2
29,4888,3099,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.8956,-0.0905,1,172.7
30,4887,2994,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,20,0,0,0.0,3,1.9574,0.0618,1,181.0
31,4883,3042,2,0,2,4.0,5,0.17,0.33,0,0,0,0,0,0,32,0,0,0.0,1,1.9864,0.029,1,186.8
32,4880,3089,3,0,3,3.7,5,0.58,1.33,0,0,0,0,0,0,13,0,0,0.0,3,1.8914,-0.095,2,184.0
33,4878,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.8914,-0.0001,2,184.4
34,4872,3029,1,0,1,5.0,5,0.24,0.24,0,0,0,0,0,0,26,0,0,0.0,3,1.9299,0.0385,1,181.5
35,4864,2942,1,0,1,5.0,5,0.0,0.0,0,0,0,0,0,0,20,0,0,0.0,3,1.8388,-0.091,1,184.6
36,4853,2910,3,0,3,4.7,5,0.88,1.0,0,0,0,0,0,0,13,0,0,0.0,1,1.995,0.1562,2,186.6
37,4848,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0.0,3,1.9988,0.0038,2,181.4
38,4833,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.9403,-0.0585,1,186.0
39,4823,2993,2,0,2,3.5,4,0.45,0.9,0,0,0,0,0,0,22,0,0,0.0,3,1.9904,0.0501,1,174.6
40,4816,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9628,-0.0276,1,175.5
41,4810,2939,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,3,1.9386,-0.0241,1,176.1
42,4799,2909,1,0,1,4.0,4,0.75,0.75,0,0,0,0,0,0,32,0,0,0.0,1,1.9575,0.0189,1,178.5
43,4794,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.8776,-0.0799,1,172.3
44,4790,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,3,1.5058,-0.3718,1,178.7
45,4786,2892,1,0,1,5.0,5,0.11,0.11,0,0,0,0,0,0,20,0,0,0.0,3,1.9211,0.4152,1,183.5
46,4786,2991,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,3,1.9716,0.0505,1,179.9
47,4781,3025,1,0,1,5.0,5,1.28,1.28,0,0,0,0,0,0,16,0,0,0.0,3,1.9261,-0.0454,1,177.3
