window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3360,2,0,2,4.5,5,1.1,1.2,0,0,0,0,0,0,28,0,0,0.0,0,1.9997,1.9997,0,81.7
2,5000,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9966,-0.0031,0,114.8
3,5000,3096,2,0,2,4.5,5,0.86,1.0,0,0,0,0,0,0,28,0,0,0.0,0,1.9715,-0.0251,0,140.5
4,5000,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,1,1.9094,-0.0621,1,160.9
5,5000,3083,2,0,2,3.5,4,1.19,1.5,0,0,0,0,0,0,29,0,0,0.0,3,1.9592,0.0498,1,166.8
6,5000,3039,2,0,2,3.0,3,0.25,0.5,0,0,0,0,0,0,32,0,0,0.0,3,1.9654,0.0062,1,185.5
7,4999,3098,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,3,1.8319,-0.1335,2,192.8
8,4995,3172,2,0,2,5.0,5,0.85,0.9,0,0,0,0,0,0,25,0,0,0.0,1,1.933,0.1011,1,201.4
9,4994,3099,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,20,0,0,0.0,1,1.9395,0.0065,1,204.8
10,4988,3042,1,0,1,5.0,5,0.0,0.0,0,0,0,0,0,0,26,0,0,0.0,1,1.8753,-0.0642,2,203.6
11,4987,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0.0,0,1.9223,0.047,2,201.9
12,4981,2942,1,0,1,5.0,5,1.6,1.6,0,0,0,0,0,0,19,0,0,0.0,1,1.9864,0.0641,1,204.1
13,4974,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0.0,1,1.9656,-0.0208,1,194.9
14,4969,3138,1,0,1,5.0,5,0.8,0.8,0,0,0,0,0,0,20,0,0,0.0,3,1.8851,-0.0805,1,177.6
15,4967,3027,2,0,2,4.0,5,0.62,1.0,0,0,0,0,0,0,18,0,0,0.0,3,1.9816,0.0965,1,179.4
16,4967,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.9957,0.0141,2,180.7
17,4965,3071,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,20,0,0,0.0,3,1.904,-0.0918,1,181.3
18,4964,3200,4,0,4,4.0,5,0.41,0.67,0,0,0,0,0,0,24,0,0,0.0,1,1.9789,0.0749,1,180.6
19,4961,3068,1,0,1,3.0,3,1.33,1.33,0,0,0,0,0,0,21,0,0,0.0,3,1.6909,-0.288,2,178.4
20,4952,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0.0,3,1.9135,0.2226,2,184.5
