window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3357,2,0,2,4.0,4,0.6,0.8,0,0,0,0,0,0,24,0,0,0.0,0,1.9975,1.9975,0,84.4
2,5000,3032,1,0,1,5.0,5,0.0,0.0,0,0,0,0,0,0,23,0,0,0.0,0,1.9942,-0.0034,0,123.2
3,5000,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,1,1.983,-0.0112,0,147.7
4,5000,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.9822,-0.0007,1,167.8
5,5000,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.0,3,1.9386,-0.0436,1,181.2
6,5000,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.8834,-0.0552,1,187.6
7,4996,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9952,0.1119,1,191.9
8,4992,3021,1,0,1,5.0,5,0.3,0.3,0,0,0,0,0,0,23,0,0,0.0,3,1.9629,-0.0323,1,194.0
9,4988,3053,1,0,1,5.0,5,0.6,0.6,0,0,0,0,0,0,26,0,0,0.0,3,1.9506,-0.0123,1,205.8
10,4979,3053,1,0,1,5.0,5,0.6,0.6,0,0,0,0,0,0,20,0,0,0.0,3,1.9316,-0.019,2,213.1
11,4973,3155,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,21,0,0,0.0,3,1.778,-0.1535,2,209.3
12,4962,3037,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,17,0,0,0.0,1,1.9241,0.146,2,210.9
13,4958,3107,1,0,1,5.0,5,0.3,0.3,0,0,0,0,0,0,20,0,0,0.0,3,1.9357,0.0117,2,192.8
14,4955,3010,1,0,1,3.0,3,0.33,0.33,0,0,0,0,0,0,32,0,0,0.0,3,1.9086,-0.0271,2,187.0
15,4949,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,3,1.9146,0.006,2,179.7
16,4941,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.7925,-0.1222,1,176.7
