window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6145,11,5,0,1.9986,0,14.2,0,0,6.55,1.0,6145.0,628,1.0,386,602,216,2149,0.000911,0.0065,407.1429,0,0.0,0.0055,0.001,2,0,0,0,0.029633,0.015625,64,0.4727,0.0296,0.2078,0.003
2,5000,3722,2,5,0,1.9986,0,13.4,471,3220,5.25,0.8248,4550.3,502,1.0,364,10,32,2174,0.001068,0.008,403.0571,1,1.0,0.006,0.0012,1,0,0,0,0.028959,0.015625,64,0.4604,0.0543,0.1982,0.003529
3,5000,3380,2,5,0,1.9986,0,13.1,291,3094,4.9,0.8572,3981.7,286,1.0,304,9,69,2136,0.001082,0.0126,287.1486,2,1.9,0.0091,0.0015,1,0,0,0,0.037795,0.015625,64,0.5866,0.0921,0.1995,0.003856
4,5000,3079,0,0,1,1.9986,0,13.0,60,3044,4.47,0.8557,3632.2,35,1.0,265,5,44,1876,0.001246,0.0143,54.6022,3,2.9,0.0111,0.0023,0,0,0,0,0.038627,0.015625,63,0.5955,0.1135,0.2019,0.003856
5,5000,3043,6,5,0,1.9986,0,13.0,5,3029,4.45,0.8857,3435.8,14,1.0,235,8,38,1798,0.001376,0.0161,23.7691,4,3.8,0.0129,0.0029,3,0,0,0,0.040193,0.015625,64,0.6112,0.1482,0.2057,0.003529
6,5000,3095,0,0,1,1.9986,1,13.0,0,3090,4.44,0.9271,3338.4,5,1.0,208,0,27,1702,0.001411,0.0234,8.8183,5,4.8,0.0139,0.0033,0,0,0,0,0.051839,0.015625,63,0.6986,0.2,0.212,0.003
7,5000,2926,1,5,0,1.999,1,12.9,4,2922,4.35,0.9044,3235.3,4,1.0,178,1,31,1552,0.001447,0.0216,9.0703,6,5.7,0.0111,0.0035,1,0,0,0,0.056156,0.015625,62,0.7218,0.2346,0.223,0.002471
8,5000,3086,2,6,0,1.9975,1,12.9,0,3081,4.54,0.9637,3202.1,5,1.0,164,2,16,1518,0.001591,0.0228,10.7527,7,6.6,0.0127,0.0038,1,0,0,0,0.049689,0.015625,60,0.6855,0.2698,0.2304,0.002144
9,5000,3023,1,4,1,1.9976,2,12.9,8,3010,4.44,0.9547,3166.3,13,1.0,155,11,20,1429,0.001578,0.0246,28.5088,8,7.2,0.0128,0.0042,0,0,0,0,0.045175,0.015625,61,0.6541,0.2882,0.2321,0.002144
10,5000,3069,3,5,3,1.9884,2,12.9,0,3049,4.47,0.9747,3148.6,20,1.0,144,3,14,1394,0.00168,0.0274,47.9616,9,8.0,0.0145,0.0047,3,0,0,0,0.054795,0.015625,59,0.7148,0.3353,0.235,0.002471
11,5000,3070,1,3,3,1.9913,2,12.9,7,3048,4.43,0.9791,3135.5,22,1.0,134,6,16,1340,0.001704,0.0368,45.977,10,8.8,0.0159,0.0055,0,0,0,0,0.058442,0.015625,59,0.7326,0.3937,0.2371,0.003
12,5000,3040,1,5,3,1.9952,2,12.9,8,3017,4.44,0.9741,3120.8,23,1.0,124,4,14,1270,0.001696,0.0367,55.0239,11,9.7,0.0162,0.0055,1,0,0,0,0.048165,0.015625,55,0.6756,0.4373,0.242,0.003529
13,5000,3101,0,0,3,1.9893,2,12.9,8,3083,4.51,0.9946,3118.0,18,1.0,115,0,9,1204,0.001884,0.0322,46.1538,12,10.7,0.0194,0.0059,0,0,0,0,0.071782,0.015625,53,0.7823,0.5091,0.2548,0.003856
14,5000,3131,2,5,1,1.9525,1,12.9,3115,0,4.44,1.0036,3119.7,16,1.0,109,3,9,1173,0.001741,0.0332,46.2428,13,11.4,0.02,0.0063,1,1,0,0,0.063712,0.015625,53,0.7548,0.5617,0.2638,0.003856
15,5000,3099,0,0,1,1.9126,1,13.0,3,3096,4.45,0.9942,3117.1,3,1.0,101,0,8,1103,0.00191,0.0417,8.6957,14,12.3,0.0216,0.0075,0,0,0,0,0.066667,0.015625,52,0.7656,0.62,0.2705,0.003529
16,5000,3119,0,0,0,1.9436,1,12.9,3116,0,4.47,1.0005,3117.4,3,1.0,95,0,6,1072,0.001764,0.0317,8.8757,15,13.4,0.0182,0.0063,0,0,0,0,0.054755,0.015625,50,0.7146,0.6748,0.2786,0.003
17,5000,3067,1,5,0,1.9544,1,12.9,0,3062,4.45,0.9856,3111.8,5,1.0,86,1,10,1033,0.001812,0.0401,17.1821,16,14.5,0.0198,0.0071,1,0,0,0,0.080268,0.015625,49,0.8053,0.7216,0.289,0.002471
