window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,10000,6619,1,4,0,1.9996,0,261.0,0,0,4.84,1.0,6619.0,504,1.0,336,502,166,2068,0.001041,0.0086,435.8752
2,10000,6291,0,0,3,1.9998,0,363.8,4,6287,4.51,0.9829,6400.3,4,1.0,273,4,67,1858,0.001575,0.011,6.4205
3,10000,6258,1,3,0,1.9889,0,453.4,6,6252,4.45,0.9888,6329.2,6,1.0,160,4,117,1728,0.001777,0.0171,9.9206
4,10000,6053,2,5,3,1.9749,1,539.9,7,6032,4.39,0.9734,6218.7,21,1.0,111,11,60,1299,0.002546,0.0275,54.8303
5,10000,6238,1,5,3,1.9657,2,597.1,6230,0,4.45,1.0021,6225.1,8,1.0,70,4,45,908,0.003993,0.0532,34.4828
6,9999,6105,0,0,3,1.9942,2,632.7,0,6090,4.48,0.9861,6190.8,15,1.0,58,15,27,668,0.005449,0.0391,72.4638
7,9995,6110,0,0,3,1.9387,1,662.5,5,6105,4.44,0.9902,6170.6,5,1.0,49,5,14,571,0.00619,0.0476,32.4675
8,9982,6086,2,3,0,1.977,1,705.6,16,6067,4.43,0.9893,6151.8,19,1.0,48,17,18,557,0.006527,0.0503,104.9383
9,9955,6114,0,0,1,1.8423,1,715.0,2,6112,4.47,0.9951,6144.2,2,1.0,37,0,11,473,0.008397,0.062,16.6667
10,9935,5966,3,5,3,1.8962,1,757.8,11,5935,4.37,0.9761,6111.8,31,1.0,41,22,18,513,0.007072,0.0508,205.298
11,9926,6179,1,3,3,1.8781,1,748.0,6176,0,4.45,1.0091,6123.0,3,1.0,29,1,13,418,0.009863,0.1167,26.3158
12,9911,6131,0,0,3,1.8923,2,781.7,6128,0,4.44,1.0011,6124.3,3,1.0,22,0,7,339,0.012502,0.1143,30.303
13,9902,6176,2,5,3,1.9373,1,783.1,6162,0,4.45,1.0072,6131.6,14,1.0,20,6,8,349,0.012681,0.1215,144.3299
