window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,10000,6565,3,5,0,1.9998,0,261.7,0,0,4.78,1.0,6565.0,526,1.0,345,519,174,2180,0.000993,0.0065,444.9153
2,10000,6066,0,0,1,1.9997,0,366.3,11,6045,4.41,0.9733,6232.3,21,1.0,288,18,75,2008,0.001481,0.0119,32.8125
3,10000,6285,1,3,0,1.9599,0,459.7,6272,0,4.48,1.0042,6258.7,13,1.0,174,12,126,1861,0.001636,0.0137,22.9682
4,10000,6293,1,4,3,1.8035,1,541.8,6285,0,4.47,1.0033,6272.4,8,1.0,117,5,62,1332,0.002581,0.0251,20.0
5,10000,6217,2,5,3,1.9853,2,592.9,5,6207,4.47,0.9941,6253.9,10,1.0,87,5,35,1086,0.00336,0.0379,34.965
6,9999,6055,0,0,3,1.9406,2,653.0,7,6048,4.43,0.9771,6197.1,7,1.0,57,4,34,762,0.004969,0.0335,33.1754
7,9997,6235,1,3,3,1.9822,1,673.9,6232,0,4.52,1.0046,6206.6,3,1.0,47,2,12,590,0.006463,0.0506,13.4228
8,9989,6207,2,5,1,1.9576,1,701.1,6193,0,4.52,1.0001,6206.7,14,1.0,37,8,18,534,0.007561,0.0743,104.4776
9,9975,6114,3,5,3,1.9287,2,728.4,8,6101,4.46,0.988,6188.1,13,1.0,38,10,9,507,0.007647,0.0567,99.2366
10,9955,6093,0,0,3,1.9591,2,749.6,10,6083,4.45,0.9874,6170.8,10,1.0,40,8,6,503,0.007862,0.0683,65.3595
11,9936,6128,0,0,3,1.9061,1,758.1,3,6125,4.47,0.9942,6163.7,3,1.0,31,3,12,491,0.008333,0.0769,25.2101
12,9912,6132,1,5,1,1.9194,1,772.0,10,6112,4.54,0.9956,6158.8,20,1.0,36,16,11,478,0.008485,0.0649,145.9854
13,9885,6118,0,0,1,1.9871,1,783.9,2,6111,4.45,0.9943,6153.0,7,1.0,29,7,14,471,0.00898,0.064,44.2478
14,9840,5888,0,0,3,1.9597,1,796.1,0,5883,4.43,0.9625,6117.7,5,1.0,26,5,8,402,0.009657,0.0746,40.0
