window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,10000,6669,0,0,0,1.9998,0,260.7,0,0,4.78,1.0,6669.0,451,1.0,300,451,151,1886,0.001155,0.0084,450.5495
2,10000,6074,0,0,0,1.9996,0,364.0,9,6065,4.49,0.9687,6275.7,9,1.0,253,9,56,1722,0.001626,0.0104,15.873
3,10000,6161,1,4,0,1.994,0,455.2,0,6161,4.45,0.9908,6218.3,0,1.0,208,1,46,1515,0.00199,0.0168,0.0
4,10000,6129,1,3,1,1.9741,1,548.1,3,6116,4.46,0.9913,6182.6,13,1.0,134,11,85,1458,0.00221,0.0145,30.8789
5,10000,6172,1,5,1,1.836,2,586.6,6,6157,4.48,0.9989,6179.1,15,1.0,86,9,57,1062,0.003222,0.0256,55.9701
6,10000,6212,1,4,1,1.8858,2,632.7,6205,0,4.45,1.0038,6188.5,7,1.0,65,5,26,821,0.004312,0.0533,27.7778
7,9993,6200,0,0,1,1.9259,2,675.6,6200,0,4.48,1.0014,6191.4,0,1.0,46,0,19,580,0.006155,0.0422,0.0
8,9983,6259,0,0,3,1.9647,1,694.3,6251,0,4.5,1.0085,6206.4,8,1.0,38,8,16,473,0.007407,0.0643,65.0407
9,9962,6157,0,0,3,1.9713,1,720.7,3,6154,4.45,0.9936,6196.5,3,1.0,24,0,14,354,0.010725,0.0667,38.961
10,9934,6157,0,0,3,1.9015,1,740.2,3,6149,4.48,0.9948,6189.3,8,1.0,25,8,7,291,0.0133,0.0957,95.2381
11,9914,6191,1,4,3,1.9413,1,762.1,6180,0,4.48,1.0002,6189.6,11,1.0,26,9,8,303,0.012676,0.0865,114.5833
12,9899,6183,0,0,3,1.9716,1,766.7,6,6177,4.5,0.9991,6188.6,6,1.0,22,3,7,282,0.012598,0.0759,84.507
13,9886,6183,1,3,1,1.933,1,785.7,3,6168,4.48,0.9992,6187.8,15,1.0,20,14,16,308,0.011316,0.0889,191.7808
14,9881,6081,1,5,1,1.9576,1,796.3,0,6076,4.48,0.985,6173.6,5,1.0,12,1,9,210,0.020716,0.2059,79.3651
15,9870,6085,1,3,3,1.9046,2,804.0,3,6082,4.46,0.9874,6162.5,3,1.0,14,4,2,203,0.021606,0.1636,57.6923
16,9863,6181,0,0,3,1.8962,2,804.6,6177,0,4.5,1.0027,6164.7,4,1.0,13,4,5,194,0.022121,0.1321,81.6327
17,9853,5963,0,0,3,1.9652,1,802.9,6,5947,4.42,0.9708,6142.3,16,1.0,20,16,9,252,0.014679,0.1014,258.6207
18,9845,5975,0,0,3,1.9602,1,800.2,0,5971,4.44,0.9756,6124.6,4,1.0,21,4,3,237,0.016966,0.0933,55.5556
19,9836,5879,3,5,3,1.99,1,818.8,4,5866,4.4,0.9638,6100.1,13,1.0,27,11,5,330,0.010906,0.0885,125.0
20,9827,6058,0,0,3,1.9776,1,813.4,3,6050,4.46,0.9938,6096.1,8,1.0,27,8,8,336,0.010718,0.0784,83.3333
21,9820,5969,1,5,3,1.9747,1,837.2,17,5942,4.42,0.9811,6084.0,27,1.0,34,20,13,423,0.008791,0.0683,188.8112
22,9814,6174,1,5,3,1.9794,1,840.2,6164,0,4.51,1.0134,6092.5,10,1.0,29,6,11,404,0.010247,0.1085,81.9672
23,9800,6014,1,3,3,1.9403,2,840.2,12,5998,4.45,0.9883,6085.1,16,1.0,30,15,14,421,0.010014,0.065,145.4545
24,9769,5944,0,0,3,1.9628,2,794.0,0,5939,4.4,0.979,6071.6,5,1.0,24,5,11,396,0.011537,0.0865,52.6316
25,9738,6037,2,5,3,1.9587,1,724.0,14,6018,4.41,0.9948,6068.3,19,1.0,26,11,9,444,0.009223,0.0933,123.1884
26,9711,5971,0,0,3,1.9785,1,722.5,3,5968,4.45,0.9855,6059.1,3,1.0,22,3,7,394,0.011702,0.0918,32.6087
27,9681,5901,0,0,3,1.9261,1,721.5,4,5897,4.43,0.9763,6044.0,4,1.0,20,4,6,346,0.012471,0.0887,33.6134
28,9665,5966,2,4,3,1.7661,1,718.6,4,5958,4.47,0.9883,6036.6,8,1.0,19,5,6,374,0.011691,0.0901,58.8235
29,9658,5973,1,5,3,1.9892,1,733.6,18,5955,4.49,0.9905,6030.5,18,1.0,22,14,11,407,0.010569,0.1197,131.7829
30,9648,5973,1,5,3,1.9058,2,712.8,9,5959,4.43,0.9914,6025.0,14,1.0,26,10,6,413,0.010882,0.0866,116.6667
31,9631,5905,0,0,3,1.9513,2,729.6,0,5885,4.47,0.9819,6013.6,20,1.0,31,20,15,460,0.008533,0.0714,163.9344
32,9602,5985,0,0,3,1.9667,1,716.4,0,5985,4.49,0.9957,6010.9,0,1.0,21,0,10,382,0.012568,0.1262,0.0
33,9583,5891,2,5,1,1.7657,1,721.4,2,5884,4.44,0.9819,5999.5,7,1.0,17,2,6,375,0.013601,0.1134,55.5556
34,9575,5952,2,4,1,1.9633,1,727.3,5,5942,4.45,0.9928,5994.9,10,1.0,19,5,3,383,0.012603,0.09,96.7742
35,9567,6021,1,4,1,1.9135,2,723.0,6021,0,4.51,1.0039,5997.4,0,1.0,18,1,2,357,0.012887,0.099,0.0
36,9551,5927,1,6,1,1.8073,2,722.8,2,5920,4.4,0.9894,5990.7,7,1.0,17,3,4,383,0.011989,0.1321,59.4059
37,9545,5785,0,0,1,1.8888,2,717.9,2,5783,4.43,0.9688,5971.1,2,1.0,17,2,2,344,0.015766,0.1111,10.2041
38,9537,5868,2,5,3,1.9785,1,715.8,0,5859,4.52,0.9843,5961.3,9,1.0,17,2,2,357,0.013134,0.1111,84.1121
39,9524,5960,1,6,3,1.9749,1,719.7,6,5941,4.48,0.9998,5961.2,19,1.0,23,15,9,446,0.009461,0.0851,141.7323
40,9516,5810,1,5,3,1.8554,2,719.5,0,5805,4.46,0.977,5946.8,5,1.0,16,1,8,413,0.013012,0.0909,49.505
41,9499,5769,2,5,1,1.9641,2,721.3,3,5762,4.43,0.9729,5929.9,7,1.0,17,2,1,404,0.013848,0.1075,76.9231
42,9487,5729,1,4,1,1.9859,2,728.9,3,5726,4.41,0.9693,5910.7,3,1.0,18,1,0,405,0.012546,0.09,30.0
43,9464,5872,1,3,1,1.9197,2,709.5,0,5868,4.49,0.9941,5907.0,4,1.0,18,3,3,423,0.011893,0.0894,34.7826
44,9446,5845,2,5,1,1.9111,2,716.7,1,5834,4.45,0.9905,5901.1,11,1.0,15,3,6,409,0.01318,0.113,96.1538
45,9438,5831,2,5,0,1.966,2,715.5,7,5824,4.49,0.9892,5894.4,7,1.0,15,2,2,380,0.014001,0.1429,82.3529
46,9426,5853,1,5,3,1.8482,2,725.7,7,5841,4.44,0.9936,5890.5,12,1.0,18,8,5,404,0.012642,0.1,97.3451
47,9408,5794,1,3,3,1.9042,2,714.0,3,5787,4.45,0.9852,5881.3,7,1.0,20,6,4,385,0.012525,0.1101,68.6275
48,9384,5746,2,4,3,1.9025,2,723.4,14,5732,4.5,0.9791,5868.4,14,1.0,25,11,6,441,0.010244,0.0667,94.4882
49,9348,5664,0,0,3,1.8834,2,717.9,10,5654,4.35,0.9684,5849.0,10,1.0,22,10,13,461,0.009687,0.078,79.3651
50,9322,5658,0,0,3,1.93,1,707.0,3,5650,4.42,0.9704,5830.8,8,1.0,19,5,8,401,0.010914,0.0909,80.0
51,9316,5665,1,5,1,1.9919,1,709.6,0,5660,4.4,0.9742,5815.0,5,1.0,16,1,4,368,0.013742,0.1389,49.505
52,9311,5782,0,0,1,1.9383,1,719.9,1,5781,4.47,0.9949,5811.8,1,1.0,13,1,4,317,0.016098,0.1398,0.0
53,9305,5927,0,0,0,1.8648,1,714.3,5919,0,4.52,1.0179,5822.8,8,1.0,17,8,4,303,0.0141,0.1,97.561
54,9298,5693,0,0,3,1.9313,1,724.1,3,5690,4.47,0.9798,5810.4,3,1.0,14,3,6,290,0.015538,0.1279,38.961
55,9291,5722,0,0,3,1.939,1,714.5,4,5718,4.44,0.9862,5802.0,4,1.0,13,4,5,271,0.019489,0.1235,53.3333
56,9281,5658,1,4,3,1.9875,1,729.5,10,5643,4.52,0.9775,5788.3,15,1.0,20,12,5,325,0.012676,0.101,166.6667
57,9263,5807,0,0,3,1.9172,1,725.4,5803,0,4.48,1.0029,5790.1,4,1.0,15,4,9,330,0.014031,0.101,47.619
58,9251,5632,0,0,3,1.9692,1,709.1,4,5628,4.43,0.9752,5775.0,4,1.0,17,4,2,278,0.017057,0.1333,57.1429
59,9246,5762,1,4,1,1.8683,1,716.8,4,5748,4.44,0.998,5773.8,14,1.0,21,12,8,321,0.012675,0.0796,135.9223
60,9233,5712,0,0,1,1.9957,1,707.9,0,5707,4.46,0.9903,5767.9,5,1.0,17,5,9,324,0.013509,0.1075,58.8235
