window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,10000,6749,1,4,0,1.9998,0,258.4,0,0,4.86,1.0,6749.0,531,1.0,349,529,180,2107,0.001002,0.0071,455.794
2,10000,6112,3,4,0,1.9995,0,363.0,11,6101,4.47,0.9664,6324.3,11,1.0,273,7,83,1882,0.001547,0.0141,17.7994
3,10000,6069,0,0,1,1.9975,0,452.0,3,6066,4.45,0.9794,6196.7,3,1.0,166,3,110,1751,0.001736,0.0134,5.9055
4,10000,6179,0,0,3,1.9543,0,525.8,0,6174,4.5,0.9983,6189.6,5,1.0,116,5,55,1301,0.002599,0.0174,14.1243
5,10000,6302,2,5,1,1.896,1,589.3,6294,0,4.54,1.012,6227.1,8,1.0,77,2,41,1010,0.003607,0.0397,29.9625
6,10000,6201,0,0,1,1.9797,1,652.0,0,6193,4.5,0.997,6219.6,8,1.0,66,8,19,735,0.004933,0.0254,36.5297
7,9996,6196,0,0,3,1.9172,1,674.3,1,6195,4.45,0.9971,6213.7,1,1.0,41,1,26,601,0.006196,0.0618,0.0
8,9987,6153,1,3,1,1.9049,1,709.8,4,6144,4.4,0.9924,6200.2,9,1.0,35,10,16,467,0.007675,0.0584,76.2712
9,9980,6093,0,0,1,1.8949,1,728.5,0,6093,4.42,0.9861,6178.8,0,1.0,26,0,9,350,0.01145,0.086,0.0
10,9965,6185,1,3,1,1.9852,1,746.6,6185,0,4.51,1.0008,6179.9,0,1.0,21,1,6,313,0.01302,0.0779,0.0
11,9950,6081,1,5,1,1.9785,1,762.8,0,6076,4.43,0.9866,6163.4,5,1.0,17,1,5,280,0.016709,0.1579,69.4444
12,9928,6157,1,5,0,1.9641,2,775.0,0,6152,4.52,0.9991,6162.4,5,1.0,14,1,4,259,0.018944,0.1351,75.7576
13,9916,6046,1,5,0,1.9527,2,794.5,4,6032,4.4,0.9838,6145.8,14,1.0,17,10,7,284,0.013544,0.1429,208.9552
14,9905,6073,0,0,3,1.9345,2,779.4,4,6059,4.46,0.9897,6136.1,14,1.0,22,14,9,292,0.013954,0.1176,191.7808
15,9894,6036,0,0,3,1.9803,1,806.0,3,6028,4.44,0.9857,6123.6,8,1.0,20,8,10,302,0.01447,0.098,85.1064
16,9880,6111,2,5,3,1.839,1,802.2,0,6106,4.43,0.9982,6122.1,5,1.0,19,2,3,307,0.01429,0.1494,59.5238
17,9863,6061,1,5,3,1.8861,1,822.0,5,6051,4.47,0.9911,6115.3,10,1.0,20,6,5,324,0.014171,0.0938,100.0
