window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
1,10000,6872,2,5,0,1.9992,0,261.7,0,0,4.95,1.0,6872.0,590,1.0,384,582,198,2271,0.000918,0.0063,442.9429
2,10000,6196,3,5,0,1.9999,0,365.8,9,6176,4.43,0.965,6422.7,20,1.0,226,11,169,2133,0.001377,0.0138,27.7778
3,10000,6317,0,0,1,1.9943,0,449.9,5,6307,4.5,0.9917,6369.8,10,1.0,144,10,92,1612,0.00191,0.0211,22.1729
4,10000,6244,1,3,0,1.9919,1,539.6,6,6238,4.53,0.9881,6319.5,6,1.0,95,7,56,1170,0.002948,0.0237,18.0723
5,10000,6262,0,0,0,1.9337,1,585.8,0,6262,4.56,0.9939,6300.3,0,1.0,67,0,28,846,0.00413,0.0282,0.0
6,9999,6191,2,5,1,1.9457,1,643.1,0,6183,4.48,0.9875,6269.1,8,1.0,59,3,11,672,0.005576,0.0433,31.8182
7,9996,6195,2,5,1,1.9872,1,669.1,4,6181,4.5,0.9911,6250.6,14,1.0,49,7,17,626,0.006153,0.0634,72.5389
8,9983,6156,2,5,1,1.8274,2,700.6,5,6151,4.45,0.9882,6229.6,5,1.0,36,2,15,526,0.007575,0.0685,36.4964
9,9968,6103,1,5,2,1.8703,2,722.6,8,6090,4.43,0.9837,6204.2,13,1.0,34,9,11,486,0.008752,0.0647,100.7752
10,9954,6287,1,5,3,1.6968,2,738.7,6274,0,4.51,1.0109,6219.3,13,1.0,30,6,10,474,0.008945,0.0714,101.5625
11,9936,5960,1,5,3,1.9647,2,763.1,3,5952,4.38,0.965,6176.1,8,1.0,21,4,13,425,0.009987,0.0949,65.5738
12,9910,6069,2,5,1,1.9647,2,748.2,2,6057,4.44,0.9853,6159.6,12,1.0,18,4,7,366,0.012464,0.113,94.3396
13,9886,6101,0,0,1,1.9908,2,765.1,4,6097,4.43,0.9918,6151.2,4,1.0,15,4,7,342,0.01413,0.1443,45.4545
14,9867,5957,1,5,3,1.9314,1,783.4,3,5949,4.46,0.9725,6125.3,8,1.0,14,4,5,295,0.016756,0.1429,103.8961
