wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,1.5,265,11,31,1,1,1,0,0,0,0,50,0.8,585,5,1,1,0.12,0.007,0.007,0,3320,1.9992,0,83.2
2,1.5,265,11,29,1,1,1,1,0,0,0,46,0.8,543,6,1,1,0.12,0.007,0.007,0,3037,0.0,0,120.1
3,1.5,249,11,35,0,1,1,1,0,0,0,54,0.8,641,8,4,4,0.12,0.007,0.007,0,3106,0.0,0,149.5
4,1.5,264,11,33,0,2,2,1,0,0,0,52,0.8,616,6,4,4,0.12,0.007,0.007,0,3058,0.0,0,168.0
5,1.5,265,11,23,0,1,1,2,0,0,0,36,0.8,424,4,2,2,0.12,0.007,0.007,0,3041,0.0,0,184.6
6,1.5,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,15,0.0,0,61.9
7,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
8,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
9,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
10,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.1
