wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,1.0,221,10,13,0,1,1,0,0,0,0,22,0.8,261,0,0,0,0.0,0.007,0.007,0,3333,1.9992,0,81.8
2,1.0,221,10,17,0,1,1,1,0,0,0,27,0.8,320,3,0,0,0.0,0.007,0.007,0,3051,0.0,0,120.1
3,1.0,221,10,16,0,0,0,1,0,0,0,24,0.8,288,2,0,0,0.0,0.0,0.0,0,3119,0.0,0,150.1
4,1.0,172,10,16,0,2,2,0,0,0,0,26,0.8,310,1,0,0,0.0,0.007,0.007,0,3095,0.0,0,165.9
5,1.0,217,10,12,0,0,0,2,0,0,0,19,0.8,223,1,0,0,0.0,0.0,0.0,0,3096,0.0,0,182.7
6,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,0.0,0,60.5
7,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.5
8,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.4
9,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
10,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
