wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,1.0,221,10,16,2,2,2,0,0,0,0,23,0.8,269,4,0,0,0.0,0.007,0.007,0,3345,1.9993,0,81.6
2,1.0,212,10,14,0,1,1,2,0,0,0,24,0.8,284,4,1,1,0.12,0.007,0.007,0,3109,0.0,0,120.0
3,1.0,221,10,12,0,0,0,1,0,0,0,20,0.8,233,5,0,0,0.0,0.0,0.0,0,3120,0.0,0,152.3
4,1.0,208,10,19,0,1,1,0,0,0,0,30,0.8,360,4,2,2,0.12,0.007,0.007,0,2956,0.0,0,168.4
5,1.0,221,10,14,0,0,0,1,0,0,0,24,0.8,281,6,2,2,0.12,0.0,0.0,0,3158,0.0,0,185.2
6,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,6,0.0,0,58.5
7,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
8,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
9,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
10,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
