wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,0.5,145,9,4,0,0,0,0,0,0,0,7,0.8,84,0,0,0,0.0,0.0,0.0,0,3293,1.9986,0,79.8
2,0.5,168,9,7,0,0,0,0,0,0,0,10,0.8,119,1,0,0,0.0,0.0,0.0,0,3159,0.0,0,120.6
3,0.5,181,9,6,0,1,1,0,0,0,0,10,0.8,119,1,1,1,0.12,0.007,0.007,0,3062,0.0,0,150.3
4,0.5,156,9,5,0,0,0,1,0,0,0,7,0.8,83,0,0,0,0.0,0.0,0.0,0,3099,0.0,0,167.4
5,0.5,181,9,8,0,1,1,0,0,0,0,12,0.8,144,0,0,0,0.0,0.007,0.007,0,3109,0.0,0,182.2
6,0.5,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,7,0.0,0,67.0
7,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,3,0.0,0,2.3
8,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
9,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
10,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
