wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,1.5,265,11,32,3,2,2,0,0,0,0,48,0.8,566,13,1,1,0.12,0.007,0.007,0,3338,1.9993,0,80.7
2,1.5,265,11,35,1,3,3,2,0,0,0,54,0.8,640,5,2,2,0.12,0.007,0.007,0,3074,0.0,0,121.4
3,1.5,265,11,22,0,0,0,3,0,0,0,35,0.8,418,5,0,0,0.0,0.0,0.0,0,3095,0.0,0,150.2
4,1.5,249,11,26,0,0,0,0,0,0,0,40,0.8,471,6,0,0,0.0,0.0,0.0,0,2932,0.0,0,167.8
5,1.5,229,11,24,0,0,0,0,0,0,0,36,0.8,430,2,0,0,0.0,0.0,0.0,0,3070,0.0,0,179.7
6,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,6,0.0,0,58.6
7,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,3,0.0,0,2.4
8,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
9,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
10,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
