wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,1.0,172,10,13,0,0,0,0,0,0,0,22,0.8,260,2,0,0,0.0,0.0,0.0,0,3286,1.9986,0,82.4
2,1.0,221,10,19,0,0,0,0,0,0,0,30,0.8,345,9,3,3,0.12,0.0,0.0,0,3093,0.0,0,120.8
3,1.0,221,10,15,0,2,2,0,0,0,0,25,0.8,295,7,2,2,0.12,0.007,0.007,0,3028,0.0,0,148.6
4,1.0,221,10,16,1,2,2,2,0,0,0,24,0.8,278,2,0,0,0.0,0.007,0.007,0,3135,0.0,0,167.1
5,1.0,221,10,16,0,1,1,2,0,0,0,25,0.8,300,0,0,0,0.0,0.007,0.007,0,3085,0.0,0,183.1
6,1.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,3,0.0,0,63.5
7,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
8,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
9,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
10,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
