wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,1.5,201,11,34,0,0,0,0,0,0,0,54,0.8,635,2,0,0,0.0,0.0,0.0,0,3265,1.9986,0,81.4
2,1.5,265,11,38,0,2,2,0,0,0,0,58,0.8,689,6,2,2,0.12,0.007,0.007,0,3115,0.0,0,121.2
3,1.5,265,11,48,0,1,1,2,0,0,0,70,0.8,815,18,5,5,0.12,0.007,0.007,0,3062,0.0,0,148.5
4,1.5,216,11,24,0,0,0,1,0,0,0,40,0.8,476,4,1,1,0.12,0.0,0.0,0,3110,0.0,0,168.4
5,1.5,265,11,38,0,1,1,0,0,0,0,58,0.8,681,19,8,8,0.12,0.007,0.007,0,3040,0.0,0,186.0
6,1.5,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,2,0.0,0,64.2
7,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
8,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
9,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.3
10,1.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.1
