wave_number,amplitude,reached,max_hop,severed,activated,n_clusters,cluster_births,cluster_deaths,cluster_reformations,homeostatic,proto_memory,plastic_nodes,mean_plasticity,rewire_attempts,rewire_successes,hardened_links,hardened_formed,mean_hardening,resistance_mean,resistance_max,resistance_rising,alive_links,entropy,k_star,physics_seconds
1,0.5,181,9,10,2,2,2,0,0,0,0,14,0.8,162,3,1,1,0.12,0.007,0.007,0,3350,1.9993,0,81.1
2,0.5,177,9,5,0,0,0,2,0,0,0,9,0.8,105,2,1,1,0.12,0.0,0.0,0,3096,0.0,0,119.2
3,0.5,181,9,8,0,1,1,0,0,0,0,13,0.8,147,5,2,2,0.12,0.007,0.007,0,3085,0.0,0,150.1
4,0.5,181,9,0,0,2,2,1,0,0,0,0,0.0,0,0,0,0,0.0,0.007,0.007,0,2913,0.0,0,170.2
5,0.5,156,9,9,0,2,2,2,0,0,0,14,0.8,167,6,0,0,0.0,0.007,0.007,0,3013,0.0,0,186.7
6,0.5,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,3,0.0,0,64.2
7,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.2
8,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.1
9,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.0
10,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,2.0
