window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
31,4993,3149,2,5,3,1.9871,1,16.7,3,3141,4.58,0.982,3206.6,8,1.0,57,3,4,893,0.001797,0.052,26.7176,30,21.7,0.0244,0.0103,1,0,0,0,0.100372,0.015625,37,0.8443,2.2332,0.3981,35,6,16,808,1257,514,1.0,0.0,0,0,0,0.011152,0.004364,2.5553,0.8,0
32,4988,3246,0,0,3,1.9017,1,16.7,3280,0,4.65,1.0207,3213.6,0,1.0,54,0,3,852,0.001732,0.0466,0.0,31,23.1,0.0218,0.0102,0,0,0,0,0.088983,0.015625,35,0.8244,2.3222,0.4032,33,6,15,819,1313,549,1.0,0.0,0,0,0,0.008475,0.004756,1.7819,0.8,0
33,4984,3053,1,3,3,1.8286,1,16.7,2,3048,4.5,0.9546,3198.3,5,1.0,54,4,4,853,0.001747,0.0487,18.3486,32,22.9,0.0257,0.0111,0,0,0,0,0.110619,0.015625,37,0.8588,2.4328,0.4076,31,7,16,791,1189,466,1.0,0.0,0,0,0,0.00885,0.005146,1.7198,0.8,0
34,4981,3195,2,5,3,1.8329,1,16.7,1,3185,4.64,0.9991,3198.0,10,1.0,53,3,4,878,0.001724,0.0524,34.8837,33,23.5,0.0225,0.0097,2,1,0,0,0.089888,0.015625,38,0.8262,2.5227,0.4099,30,6,17,818,1272,520,1.0,0.0,0,0,0,0.014981,0.006082,2.463,0.8,0
35,4979,3206,5,5,1,1.7703,2,16.6,3188,0,4.66,1.0028,3198.9,20,1.0,56,5,2,908,0.002031,0.0616,69.9301,34,22.6,0.0234,0.0115,2,0,0,0,0.078767,0.015625,38,0.8016,2.6015,0.4088,32,6,18,825,1312,502,1.0,0.0,0,0,0,0.0,0.005503,0.0,1.2,0
36,4976,3144,1,4,3,1.7639,2,16.5,9,3135,4.58,0.9844,3193.7,9,1.0,58,3,1,924,0.002738,0.0431,28.6624,35,22.2,0.0214,0.0092,0,0,0,0,0.058462,0.015625,39,0.7327,2.66,0.4085,32,6,20,776,1242,546,1.0,0.0,0,0,0,0.0,0.004979,0.0,1.2,0
37,4975,3127,1,4,3,1.7527,2,16.5,9,3118,4.56,0.9811,3187.3,9,1.0,56,2,4,950,0.002434,0.0401,27.3973,36,23.3,0.0217,0.0086,0,0,0,0,0.060201,0.015625,40,0.7405,2.7135,0.4087,31,5,20,820,1269,477,1.0,0.0,0,0,0,0.010033,0.00546,1.8375,0.8,0
38,4973,3209,2,3,3,1.8174,2,16.6,3202,0,4.59,1.0076,3189.9,12,1.0,59,6,3,981,0.001663,0.0345,32.6797,37,23.1,0.0202,0.0072,0,0,0,0,0.0721,0.015625,40,0.7833,2.7856,0.4081,32,5,22,798,1292,503,1.0,0.0,0,0,0,0.009404,0.005836,1.6114,0.8166,0
39,4972,3213,0,0,3,1.8154,2,16.6,3228,0,4.61,1.0122,3194.0,5,1.0,59,5,5,982,0.00155,0.0292,13.6054,38,23.4,0.021,0.0072,0,0,0,0,0.071429,0.015625,42,0.7812,2.857,0.4088,32,6,21,791,1324,513,1.0,0.0,0,0,0,0.019481,0.007135,2.7301,0.8,0
40,4970,3217,1,5,3,1.8412,1,16.6,3233,0,4.62,1.0125,3198.2,5,1.0,58,1,2,982,0.001562,0.0421,16.7785,39,24.7,0.0209,0.0083,1,1,0,0,0.084142,0.015625,41,0.8143,2.9379,0.4094,32,6,20,850,1238,552,1.0,0.0,0,0,0,0.009709,0.007381,1.3154,0.9054,0
