cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
64,23,0.1429,0.6662,0.8259,11.8298,0.2727,0.6796,0.7693,5.4157,0.1299,0.0134,-0.0567,-6.4142,gain_social|loss_familiarity,2,hosted
67,23,0.2857,0.6962,0.7829,13.1613,0.3636,0.665,0.8375,8.067,0.0779,-0.0312,0.0546,-5.0943,loss_familiarity,1,hosted
71,23,0.1905,0.6526,0.825,16.1125,0.3636,0.6995,0.766,7.8405,0.1732,0.0469,-0.059,-8.2719,gain_social|loss_familiarity,2,hosted
74,23,0.0476,0.5652,0.7739,38.9385,0.2273,0.7382,0.8329,24.7541,0.1797,0.173,0.059,-14.1844,gain_social|gain_stability|loss_familiarity,3,hosted
75,23,0.1429,0.7109,0.8598,22.1799,0.3182,0.6959,0.819,18.8122,0.1753,-0.015,-0.0408,-3.3677,gain_social|loss_familiarity,2,hosted
76,23,0.0952,0.6402,0.8201,17.963,0.1818,0.6912,0.7927,13.4956,0.0866,0.051,-0.0274,-4.4674,loss_familiarity,1,hosted
77,23,0.1429,0.6791,0.8095,39.725,0.2273,0.721,0.7912,20.3289,0.0844,0.0419,-0.0182,-19.396,loss_familiarity,1,hosted
0,24,0.8636,0.6197,0.8496,14.4734,0.8636,0.6696,0.8573,13.8809,0.0,0.0499,0.0077,-0.5925,,0,hosted
2,24,0.9091,0.7326,0.8648,19.6721,0.9091,0.6714,0.8214,11.1226,0.0,-0.0612,-0.0434,-8.5495,loss_familiarity,1,hosted
7,24,0.0909,0.6658,0.7775,1.5018,0.1364,0.7156,0.8037,7.6412,0.0455,0.0498,0.0262,6.1394,gain_familiarity,1,hosted
9,24,0.9545,0.6962,0.8535,17.6576,1.0,0.6934,0.8667,11.2307,0.0455,-0.0028,0.0132,-6.4269,loss_familiarity,1,hosted
10,24,0.6818,0.7082,0.831,9.7701,0.7273,0.6283,0.8437,4.5985,0.0455,-0.0798,0.0127,-5.1716,loss_familiarity,1,hosted
19,24,0.8182,0.691,0.8756,20.1337,0.9091,0.6862,0.8463,16.5831,0.0909,-0.0048,-0.0293,-3.5505,loss_familiarity,1,hosted
22,24,1.0,0.6635,0.8413,21.7709,1.0,0.6715,0.8536,15.0709,0.0,0.008,0.0123,-6.7,loss_familiarity,1,hosted
26,24,0.8636,0.7353,0.8387,14.8078,0.9091,0.6905,0.8517,7.279,0.0455,-0.0449,0.013,-7.5288,loss_familiarity,1,hosted
41,24,0.9091,0.649,0.842,14.7934,1.0,0.5916,0.8589,16.49,0.0909,-0.0574,0.0169,1.6967,,0,hosted
42,24,0.8636,0.669,0.833,22.2188,0.8636,0.6407,0.8426,16.4683,0.0,-0.0283,0.0096,-5.7505,loss_familiarity,1,hosted
44,24,0.8182,0.656,0.8482,10.1121,0.9545,0.6308,0.825,7.0254,0.1364,-0.0252,-0.0232,-3.0867,gain_social|loss_familiarity,2,hosted
52,24,0.6364,0.6995,0.8335,6.6415,0.8182,0.6684,0.8208,7.311,0.1818,-0.0312,-0.0127,0.6696,gain_social,1,hosted
64,24,0.2727,0.6796,0.7693,5.4157,0.3636,0.7147,0.8066,9.4701,0.0909,0.0351,0.0374,4.0545,gain_familiarity,1,hosted
67,24,0.3636,0.665,0.8375,8.067,0.5,0.6171,0.7752,17.24,0.1364,-0.0479,-0.0623,9.173,gain_social|gain_familiarity,2,hosted
74,24,0.2273,0.7382,0.8329,24.7541,0.2727,0.7499,0.7766,11.4467,0.0455,0.0117,-0.0563,-13.3074,loss_familiarity,1,hosted
75,24,0.3182,0.6959,0.819,18.8122,0.3636,0.6213,0.768,7.5927,0.0455,-0.0746,-0.051,-11.2194,loss_familiarity,1,hosted
77,24,0.2273,0.721,0.7912,20.3289,0.2727,0.6681,0.7537,9.8625,0.0455,-0.0529,-0.0375,-10.4664,loss_familiarity,1,hosted
0,25,0.8636,0.6696,0.8573,13.8809,0.913,0.6844,0.8451,9.5257,0.0494,0.0148,-0.0122,-4.3553,loss_familiarity,1,hosted
2,25,0.9091,0.6714,0.8214,11.1226,0.913,0.7192,0.8565,12.5813,0.004,0.0478,0.0351,1.4586,,0,hosted
7,25,0.1364,0.7156,0.8037,7.6412,0.1304,0.7354,0.7756,2.8082,-0.0059,0.0198,-0.0282,-4.8329,loss_familiarity,1,hosted
9,25,1.0,0.6934,0.8667,11.2307,0.9565,0.6519,0.8185,9.9099,-0.0435,-0.0415,-0.0481,-1.3208,,0,hosted
10,25,0.7273,0.6283,0.8437,4.5985,0.7391,0.7021,0.8408,5.8776,0.0119,0.0738,-0.0029,1.2791,,0,hosted
19,25,0.9091,0.6862,0.8463,16.5831,0.8696,0.6849,0.8863,21.5891,-0.0395,-0.0013,0.04,5.006,gain_familiarity,1,hosted
22,25,1.0,0.6715,0.8536,15.0709,1.0,0.6505,0.8748,16.4394,0.0,-0.0211,0.0213,1.3684,,0,hosted
26,25,0.9091,0.6905,0.8517,7.279,0.913,0.6701,0.8431,6.5019,0.004,-0.0203,-0.0086,-0.7771,,0,hosted
41,25,1.0,0.5916,0.8589,16.49,0.9565,0.6998,0.8803,12.8261,-0.0435,0.1082,0.0214,-3.6639,gain_stability|loss_familiarity,2,hosted
42,25,0.8636,0.6407,0.8426,16.4683,0.913,0.6334,0.8733,14.7095,0.0494,-0.0073,0.0307,-1.7588,,0,hosted
44,25,0.9545,0.6308,0.825,7.0254,0.913,0.5947,0.8076,8.1802,-0.0415,-0.0361,-0.0174,1.1548,,0,hosted
52,25,0.8182,0.6684,0.8208,7.311,0.7391,0.6718,0.8044,3.2167,-0.0791,0.0034,-0.0164,-4.0943,loss_familiarity,1,hosted
64,25,0.3636,0.7147,0.8066,9.4701,0.3478,0.6129,0.752,3.4804,-0.0158,-0.1017,-0.0547,-5.9898,loss_stability|loss_familiarity,2,hosted
67,25,0.5,0.6171,0.7752,17.24,0.5217,0.6629,0.8206,15.6365,0.0217,0.0458,0.0454,-1.6035,,0,hosted
0,26,0.913,0.6844,0.8451,9.5257,0.9231,0.6232,0.8757,10.9672,0.01,-0.0613,0.0306,1.4416,,0,hosted
2,26,0.913,0.7192,0.8565,12.5813,0.8462,0.6469,0.8533,10.2513,-0.0669,-0.0723,-0.0032,-2.33,loss_familiarity,1,hosted
7,26,0.1304,0.7354,0.7756,2.8082,0.1538,0.7083,0.7238,8.2983,0.0234,-0.027,-0.0518,5.4901,gain_familiarity,1,hosted
9,26,0.9565,0.6519,0.8185,9.9099,0.8846,0.5991,0.8099,8.2126,-0.0719,-0.0528,-0.0087,-1.6972,,0,hosted
10,26,0.7391,0.7021,0.8408,5.8776,0.6923,0.7142,0.8347,9.6322,-0.0468,0.0121,-0.0061,3.7546,gain_familiarity,1,hosted
19,26,0.8696,0.6849,0.8863,21.5891,0.9231,0.6694,0.8378,17.2524,0.0535,-0.0156,-0.0486,-4.3367,loss_familiarity,1,hosted
22,26,1.0,0.6505,0.8748,16.4394,0.8846,0.7186,0.8527,11.7955,-0.1154,0.0681,-0.0221,-4.6438,loss_social|loss_familiarity,2,hosted
26,26,0.913,0.6701,0.8431,6.5019,0.8462,0.6448,0.8353,9.0678,-0.0669,-0.0253,-0.0078,2.5659,gain_familiarity,1,hosted
41,26,0.9565,0.6998,0.8803,12.8261,1.0,0.6678,0.8341,12.6055,0.0435,-0.0321,-0.0461,-0.2206,,0,hosted
42,26,0.913,0.6334,0.8733,14.7095,0.8846,0.7065,0.8519,13.2245,-0.0284,0.073,-0.0214,-1.485,,0,hosted
44,26,0.913,0.5947,0.8076,8.1802,0.8077,0.6576,0.8443,4.1787,-0.1054,0.0629,0.0367,-4.0015,loss_social|loss_familiarity,2,hosted
52,26,0.7391,0.6718,0.8044,3.2167,0.6923,0.6505,0.847,2.1681,-0.0468,-0.0213,0.0426,-1.0486,,0,hosted
64,26,0.3478,0.6129,0.752,3.4804,0.3462,0.6552,0.7835,4.6963,-0.0017,0.0423,0.0315,1.2159,,0,hosted
67,26,0.5217,0.6629,0.8206,15.6365,0.5769,0.6961,0.7956,12.8947,0.0552,0.0333,-0.025,-2.7418,loss_familiarity,1,hosted
79,26,0.087,0.6671,0.8222,24.2849,0.1154,0.6177,0.7639,18.8973,0.0284,-0.0494,-0.0583,-5.3876,loss_familiarity,1,hosted
0,27,0.9231,0.6232,0.8757,10.9672,0.9032,0.6579,0.8647,11.7383,-0.0199,0.0347,-0.011,0.7711,,0,hosted
2,27,0.8462,0.6469,0.8533,10.2513,0.7097,0.6253,0.833,11.2774,-0.1365,-0.0215,-0.0203,1.0261,loss_social,1,hosted
7,27,0.1538,0.7083,0.7238,8.2983,0.1613,0.6569,0.7628,7.5006,0.0074,-0.0514,0.0389,-0.7977,,0,hosted
9,27,0.8846,0.5991,0.8099,8.2126,0.8065,0.6637,0.8375,6.4162,-0.0782,0.0646,0.0277,-1.7965,,0,hosted
10,27,0.6923,0.7142,0.8347,9.6322,0.6452,0.5989,0.8183,9.2601,-0.0471,-0.1153,-0.0164,-0.3721,loss_stability,1,hosted
19,27,0.9231,0.6694,0.8378,17.2524,0.871,0.6728,0.8656,14.5765,-0.0521,0.0035,0.0279,-2.6759,loss_familiarity,1,hosted
22,27,0.8846,0.7186,0.8527,11.7955,0.9677,0.6861,0.8622,14.9992,0.0831,-0.0324,0.0095,3.2037,gain_familiarity,1,hosted
26,27,0.8462,0.6448,0.8353,9.0678,0.7742,0.6932,0.8574,10.2452,-0.072,0.0483,0.0221,1.1774,,0,hosted
41,27,1.0,0.6678,0.8341,12.6055,1.0,0.6817,0.8821,12.6745,0.0,0.0139,0.048,0.0689,,0,hosted
42,27,0.8846,0.7065,0.8519,13.2245,0.8065,0.6702,0.8607,13.5839,-0.0782,-0.0363,0.0088,0.3594,,0,hosted
44,27,0.8077,0.6576,0.8443,4.1787,0.7419,0.7387,0.8551,5.2461,-0.0658,0.0811,0.0108,1.0674,,0,hosted
52,27,0.6923,0.6505,0.847,2.1681,0.6452,0.6854,0.7963,21.3654,-0.0471,0.0349,-0.0507,19.1973,gain_familiarity,1,hosted
79,27,0.1154,0.6177,0.7639,18.8973,0.0968,0.6781,0.8097,6.945,-0.0186,0.0604,0.0459,-11.9523,loss_familiarity,1,hosted
82,27,0.4615,0.6742,0.8678,15.9808,0.5484,0.6433,0.8687,16.0581,0.0868,-0.0309,0.0008,0.0773,,0,hosted
0,28,0.9032,0.6579,0.8647,11.7383,1.0,0.6829,0.8669,11.2286,0.0968,0.025,0.0022,-0.5097,,0,hosted
2,28,0.7097,0.6253,0.833,11.2774,0.9032,0.6499,0.8625,9.8717,0.1935,0.0245,0.0296,-1.4057,gain_social,1,hosted
7,28,0.1613,0.6569,0.7628,7.5006,0.1935,0.6258,0.7751,5.3024,0.0323,-0.0311,0.0124,-2.1982,loss_familiarity,1,hosted
9,28,0.8065,0.6637,0.8375,6.4162,0.9032,0.6214,0.8341,7.873,0.0968,-0.0424,-0.0034,1.4569,,0,hosted
10,28,0.6452,0.5989,0.8183,9.2601,0.7742,0.6834,0.8682,14.744,0.129,0.0845,0.0499,5.4839,gain_social|gain_familiarity,2,hosted
19,28,0.871,0.6728,0.8656,14.5765,0.9032,0.7062,0.8659,14.6636,0.0323,0.0333,0.0003,0.0871,,0,hosted
22,28,0.9677,0.6861,0.8622,14.9992,0.9355,0.6392,0.8378,14.0686,-0.0323,-0.047,-0.0244,-0.9306,,0,hosted
26,28,0.7742,0.6932,0.8574,10.2452,0.9032,0.661,0.8418,11.349,0.129,-0.0321,-0.0156,1.1038,gain_social,1,hosted
41,28,1.0,0.6817,0.8821,12.6745,1.0,0.6487,0.8482,11.3256,0.0,-0.033,-0.0339,-1.3489,,0,hosted
42,28,0.8065,0.6702,0.8607,13.5839,0.9355,0.6062,0.8365,10.6964,0.129,-0.064,-0.0242,-2.8875,gain_social|loss_familiarity,2,hosted
44,28,0.7419,0.7387,0.8551,5.2461,0.7419,0.6679,0.8452,6.104,0.0,-0.0708,-0.0099,0.8579,,0,hosted
52,28,0.6452,0.6854,0.7963,21.3654,0.6774,0.6502,0.8335,8.715,0.0323,-0.0352,0.0372,-12.6505,loss_familiarity,1,hosted
79,28,0.0968,0.6781,0.8097,6.945,0.129,0.6762,0.7964,5.899,0.0323,-0.0019,-0.0134,-1.0459,,0,hosted
82,28,0.5484,0.6433,0.8687,16.0581,0.5806,0.6454,0.8348,11.5485,0.0323,0.0021,-0.0339,-4.5095,loss_familiarity,1,hosted
86,28,0.4839,0.635,0.8847,13.0663,0.6129,0.6895,0.8316,16.0764,0.129,0.0545,-0.053,3.01,gain_social|gain_familiarity,2,hosted
88,28,0.0968,0.608,0.8145,18.0905,0.0968,0.6536,0.7889,7.2332,0.0,0.0456,-0.0257,-10.8573,loss_familiarity,1,hosted
90,28,0.1613,0.667,0.8064,10.504,0.2903,0.6433,0.8501,6.4887,0.129,-0.0236,0.0438,-4.0153,gain_social|loss_familiarity,2,hosted
0,29,1.0,0.6829,0.8669,11.2286,0.8824,0.6479,0.8303,16.3522,-0.1176,-0.035,-0.0366,5.1236,loss_social|gain_familiarity,2,hosted
2,29,0.9032,0.6499,0.8625,9.8717,0.9118,0.6308,0.8617,13.0091,0.0085,-0.0191,-0.0009,3.1375,gain_familiarity,1,hosted
9,29,0.9032,0.6214,0.8341,7.873,0.8235,0.6364,0.8511,8.0436,-0.0797,0.0151,0.017,0.1706,,0,hosted
10,29,0.7742,0.6834,0.8682,14.744,0.6471,0.714,0.8089,9.1494,-0.1271,0.0306,-0.0593,-5.5946,loss_social|loss_familiarity,2,hosted
19,29,0.9032,0.7062,0.8659,14.6636,0.8529,0.6155,0.8233,12.5215,-0.0503,-0.0907,-0.0426,-2.1421,loss_familiarity,1,hosted
22,29,0.9355,0.6392,0.8378,14.0686,0.9412,0.6678,0.8655,12.3412,0.0057,0.0286,0.0277,-1.7274,,0,hosted
