seed,from,to,familiarity
9,1,35,13.6766
9,1,34,2.3109
9,1,45,1.5035
9,1,74,21.761
9,1,75,29.6098
9,1,81,1.5337
9,1,86,1.2972
9,1,84,30.1863
9,1,83,10.8044
9,1,85,1.1988
9,1,88,1.0958
9,1,26,24.0071
9,1,90,2.7021
9,1,91,25.2398
9,26,34,2.9271
9,26,35,11.0894
9,26,1,24.0158
9,26,75,9.2532
9,26,84,8.78
9,26,86,11.5909
9,26,85,20.7326
9,26,88,2.1717
9,26,87,2.3948
9,26,83,69.4436
9,26,90,34.2807
9,34,26,3.8777
9,34,45,12.2451
9,34,1,8.3842
9,34,35,19.3403
9,34,74,8.1829
9,34,75,9.5945
9,34,85,20.2368
9,34,84,3.9635
9,34,86,10.6282
9,34,83,28.6473
9,34,87,14.0226
9,34,89,1.7503
9,34,88,14.1173
9,34,91,32.5681
9,35,1,22.5501
9,35,45,56.7928
9,35,26,12.6343
9,35,34,19.3403
9,35,74,14.0262
9,35,75,11.3688
9,35,81,1.7088
9,35,85,18.1054
9,35,84,16.3573
9,35,83,64.1155
9,35,86,7.1738
9,35,89,1.6523
9,35,87,7.6431
9,35,88,7.0222
9,35,90,47.975
9,35,91,8.369
9,45,34,12.2451
9,45,35,56.7928
9,45,26,9.6488
9,45,1,12.3578
9,45,74,32.3546
9,45,75,9.5698
9,45,81,1.2048
9,45,84,20.0194
9,45,86,19.9987
9,45,83,15.7172
9,45,85,26.0369
9,45,87,30.0616
9,45,88,10.8138
9,45,90,39.2674
9,45,91,40.0042
9,74,35,14.0262
9,74,1,22.7932
9,74,26,10.7264
9,74,34,8.1829
9,74,45,32.3546
9,74,75,30.9719
9,74,81,1.015
9,74,86,3.8083
9,74,84,26.583
9,74,85,17.7738
9,74,83,8.435
9,74,87,2.2168
9,74,88,7.0072
9,74,90,2.6976
9,75,1,48.3586
9,75,35,11.3688
9,75,74,30.9719
9,75,26,34.8585
9,75,34,9.5945
9,75,45,9.5698
9,75,84,32.8921
9,75,83,11.7887
9,75,86,6.1581
9,75,85,35.5645
9,75,87,23.2817
9,75,88,9.0504
9,75,89,1.0284
9,75,90,13.6377
9,75,91,6.5727
9,83,85,11.9402
9,83,84,16.3113
9,83,1,10.8044
9,83,75,10.693
9,83,34,27.3506
9,83,81,1.2584
9,83,86,1.5092
9,83,35,49.101
9,83,45,9.5902
9,83,88,17.0644
9,83,26,69.4436
9,83,91,11.6501
9,84,75,32.8921
9,84,83,16.8808
9,84,45,20.0194
9,84,1,44.2944
9,84,85,5.7226
9,84,26,23.3194
9,84,34,3.9635
9,84,74,26.583
9,84,35,16.3573
9,84,86,5.6884
9,84,87,2.0202
9,84,88,4.4322
9,84,90,7.0211
9,84,91,6.7331
9,85,81,1.6542
9,85,83,11.9402
9,85,84,5.5873
9,85,86,20.93
9,85,34,19.0399
9,85,1,1.1988
9,85,74,6.2606
9,85,26,20.7326
9,85,35,11.4695
9,85,75,34.6421
9,85,45,22.4272
9,85,88,38.3414
9,85,90,8.569
9,86,26,13.9599
9,86,83,3.2054
9,86,45,19.9987
9,86,1,5.622
9,86,85,24.5935
9,86,74,3.8083
9,86,34,10.6282
9,86,84,5.6884
9,86,75,6.1581
9,86,35,7.1738
9,86,87,45.6429
9,86,89,1.2657
9,86,88,9.4384
9,86,91,10.9129
9,87,74,2.2168
9,87,45,9.6186
9,87,86,38.6106
9,87,34,10.7492
9,87,84,1.1553
9,87,81,1.1678
9,87,75,23.0036
9,87,26,2.3948
9,87,88,51.8817
9,87,90,3.3928
9,87,91,10.8353
9,88,45,10.8138
9,88,74,7.0072
9,88,87,54.5222
9,88,1,3.8203
9,88,75,9.0504
9,88,83,20.5862
9,88,26,2.7569
9,88,34,14.1173
9,88,35,7.0222
9,88,86,9.4384
9,88,84,4.4322
9,88,85,40.2409
9,88,90,3.1488
9,90,88,2.1473
9,90,35,2.6021
9,90,84,4.2755
9,90,26,8.516
9,90,45,26.0703
9,91,87,10.8353
9,91,35,8.369
9,91,1,25.2398
9,91,45,36.4282
