window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
1,5000,6271,18,5,0,1.9989,0,16.8,0,0,6.75,1.0,6271.0,638,1.0,394,598,204,2108,0.000926,0.0101,398.0037,0,0.0,0.0058,0.0011,4,0,0,0,0.033125,0.015625,63,0.5283,0.0331,0.261,99,145,150
2,5000,3915,5,5,0,1.9991,0,15.9,490,3379,5.4,0.836,4722.3,536,1.0,380,16,30,2216,0.001002,0.0093,396.8843,1,1.0,0.0059,0.0012,4,0,0,0,0.030075,0.015625,64,0.4805,0.0602,0.2375,99,134,147
3,5000,3474,0,0,1,1.9991,0,15.6,266,3216,4.94,0.8516,4112.2,258,1.0,311,6,75,2169,0.001067,0.0119,239.1103,2,1.9,0.007,0.0016,0,0,0,0,0.032593,0.015625,63,0.5206,0.0875,0.2351,87,103,121
4,5000,3140,1,5,0,1.9991,0,15.4,67,3106,4.65,0.8492,3736.5,34,1.0,275,3,39,1974,0.001221,0.0192,44.3828,3,2.9,0.0095,0.0025,1,0,0,0,0.046095,0.015625,63,0.661,0.1293,0.2431,81,87,107
5,5000,3242,2,5,0,1.9991,0,15.4,5,3237,4.67,0.9077,3571.7,5,1.0,231,2,46,1796,0.001382,0.0244,7.5758,4,3.9,0.0129,0.0031,1,0,0,0,0.04454,0.015625,63,0.6492,0.1739,0.2455,71,70,90
6,5000,3176,0,0,1,1.9991,2,15.4,5,3171,4.56,0.9183,3458.6,5,1.0,201,0,30,1650,0.001341,0.0194,9.311,5,4.9,0.0099,0.0032,0,0,0,0,0.045775,0.015625,62,0.6587,0.2091,0.251,58,64,79
7,5000,3023,2,4,0,1.9947,1,15.3,8,3015,4.44,0.9025,3349.7,8,1.0,180,2,23,1544,0.001418,0.016,16.5975,6,5.8,0.0108,0.0031,0,0,0,0,0.0499,0.015625,62,0.6869,0.259,0.2572,50,53,77
8,5000,3222,1,5,0,1.9967,1,15.3,5,3212,4.56,0.9701,3321.3,10,1.0,165,1,16,1471,0.001493,0.0225,19.8413,7,6.8,0.0133,0.0036,1,0,0,0,0.052533,0.015625,62,0.7026,0.2928,0.2588,48,47,70
9,5000,3162,1,4,0,1.9942,2,15.3,0,3157,4.47,0.9613,3289.5,5,1.0,153,1,13,1415,0.001473,0.0236,11.2613,8,7.7,0.015,0.0045,0,1,0,0,0.057816,0.015625,61,0.7297,0.327,0.2644,45,45,63
10,5000,3136,1,4,3,1.9915,2,15.3,4,3127,4.57,0.9615,3261.6,9,1.0,142,1,12,1335,0.001551,0.0289,20.595,9,8.6,0.0149,0.0044,0,0,0,0,0.053333,0.015625,61,0.707,0.3781,0.2682,41,41,60
11,5000,3110,1,5,0,1.9864,2,15.3,9,3093,4.49,0.961,3236.3,17,1.0,135,4,11,1329,0.001519,0.0261,39.4089,10,9.4,0.0162,0.0049,1,0,0,0,0.057007,0.015625,59,0.7259,0.4351,0.276,38,39,58
12,5000,3192,1,4,0,1.9907,2,15.3,10,3182,4.56,0.9884,3229.5,10,1.0,129,5,11,1317,0.001414,0.0249,18.9125,11,10.2,0.0167,0.0046,0,0,0,0,0.061086,0.015625,61,0.7442,0.474,0.2827,37,36,56
13,5000,3166,1,5,1,1.9831,2,15.3,5,3156,4.61,0.9831,3220.4,10,1.0,116,1,14,1206,0.001651,0.0312,23.1481,12,11.1,0.0191,0.0055,1,0,0,0,0.053452,0.015625,59,0.7077,0.5274,0.2866,34,31,51
14,5000,3238,1,5,1,1.9432,2,15.3,3235,0,4.61,1.0093,3225.0,20,1.0,116,6,6,1214,0.001644,0.028,48.3092,13,11.6,0.0161,0.0054,1,0,0,0,0.060606,0.015625,58,0.7422,0.588,0.2895,33,29,54
15,5000,3228,1,3,1,1.8966,2,15.3,3224,0,4.58,1.0011,3225.5,5,1.0,109,1,8,1167,0.001649,0.0276,12.7551,14,12.5,0.0174,0.0055,0,0,0,0,0.065163,0.015625,56,0.7602,0.6457,0.2956,30,27,52
16,5000,3152,2,4,1,1.8256,2,15.3,9,3138,4.55,0.9798,3216.9,14,1.0,103,6,12,1141,0.001759,0.0367,41.0557,15,12.8,0.0172,0.0064,0,0,0,0,0.062147,0.015625,55,0.7486,0.6937,0.3,31,22,50
17,5000,3132,1,5,3,1.7562,2,15.3,3,3124,4.49,0.9765,3207.4,8,1.0,95,1,9,1097,0.001822,0.0316,23.8806,16,13.9,0.0174,0.0066,1,0,0,0,0.068966,0.015625,55,0.7734,0.7224,0.3017,28,20,47
18,5000,3054,0,0,3,1.7472,2,15.4,1,3053,4.45,0.957,3191.3,1,1.0,89,1,7,1057,0.001811,0.0302,0.0,17,14.9,0.0196,0.0069,0,0,0,0,0.063444,0.015625,52,0.7537,0.7769,0.3079,27,18,44
19,5000,3081,2,4,1,1.8046,1,15.3,6,3075,4.41,0.9688,3180.3,6,1.0,86,4,7,1052,0.001808,0.0284,16.4474,18,15.7,0.0183,0.0065,0,0,0,0,0.056782,0.015625,55,0.7248,0.8242,0.3069,26,17,43
20,5000,3121,0,0,1,1.8437,1,15.3,0,3121,4.53,0.9831,3174.6,0,1.0,77,0,9,954,0.001902,0.0341,0.0,19,16.6,0.019,0.0071,0,0,0,0,0.068259,0.015625,50,0.7711,0.8754,0.3107,24,17,36
