window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
1,5000,6029,13,3,0,1.9974,0,16.4,0,0,6.6,1.0,6029.0,503,1.0,305,481,176,1737,0.001121,0.007,413.3114,0,0.0,0.0,0.0013,0,0,0,0,0.036779,0.015625,63,0.5752,0.0368,0.2649,61,128,116
2,5000,3777,3,5,0,1.9976,0,15.4,360,3423,5.2,0.8367,4545.0,354,1.0,281,10,34,1785,0.001348,0.0088,361.9632,1,1.0,0.008,0.0015,1,0,0,0,0.032721,0.015625,63,0.5225,0.0663,0.2439,62,110,109
3,5000,3415,1,4,0,1.9976,0,15.2,222,3219,4.91,0.8618,3993.0,196,1.0,225,1,57,1685,0.001375,0.0186,245.0,2,2.0,0.0186,0.002,0,0,0,0,0.039216,0.015625,63,0.6016,0.1004,0.2571,54,82,89
4,5000,3264,2,5,0,1.9975,0,15.1,58,3214,4.75,0.8841,3706.6,50,1.0,198,2,29,1479,0.001667,0.0209,93.4579,3,2.9,0.0131,0.0033,1,0,0,0,0.045375,0.015625,60,0.6556,0.1238,0.275,51,70,77
5,5000,3167,1,4,0,1.9975,0,15.1,12,3153,4.52,0.8986,3527.7,14,1.0,186,8,20,1449,0.001609,0.0213,28.5714,4,3.8,0.0126,0.0033,0,0,0,0,0.046422,0.015625,59,0.6634,0.1695,0.2846,49,65,72
6,5000,3230,1,5,0,1.997,2,15.0,6,3215,4.65,0.9382,3442.7,15,1.0,171,1,16,1398,0.001668,0.0284,31.6456,5,4.8,0.0142,0.0039,1,0,0,0,0.044625,0.015625,58,0.6499,0.204,0.299,41,61,69
7,5000,3233,0,0,1,1.9961,2,15.1,3,3225,4.69,0.9536,3390.2,8,1.0,148,0,23,1271,0.00172,0.0217,18.0995,6,5.8,0.0181,0.0039,0,0,0,0,0.043478,0.015625,57,0.6406,0.2409,0.3061,39,57,52
8,5000,3127,0,0,0,1.9886,1,15.1,3,3125,4.48,0.9388,3332.0,2,1.0,130,0,18,1155,0.001819,0.0235,6.0423,7,6.7,0.0118,0.0042,0,0,0,0,0.05,0.015625,52,0.6875,0.288,0.3208,34,49,47
9,5000,3200,1,4,0,1.9882,1,15.1,4,3196,4.54,0.9681,3305.6,4,1.0,122,1,9,1108,0.001858,0.0221,11.3314,8,7.6,0.0175,0.0046,0,0,0,0,0.041436,0.015625,52,0.6229,0.3239,0.3308,34,43,45
10,5000,3175,0,0,1,1.9879,1,15.1,5,3165,4.58,0.9674,3281.8,10,1.0,115,6,13,1056,0.001982,0.0307,28.7356,9,8.4,0.0205,0.0051,0,0,0,0,0.047486,0.015625,52,0.671,0.3658,0.3336,30,40,45
11,5000,3208,0,0,3,1.9755,1,15.0,4,3199,4.58,0.9812,3269.5,9,1.0,102,0,13,952,0.002103,0.0413,29.6053,10,9.3,0.0127,0.0067,0,0,0,0,0.050794,0.015625,49,0.6924,0.388,0.3382,25,35,42
12,5000,3044,2,5,0,1.9596,1,14.9,12,3023,4.47,0.9413,3235.0,21,1.0,96,6,12,947,0.002111,0.0295,69.2042,11,9.8,0.0238,0.0067,1,0,0,0,0.065574,0.015625,49,0.7617,0.3946,0.3398,25,29,42
13,5000,3239,1,4,1,1.9602,1,15.1,3229,0,4.68,1.0011,3235.6,10,1.0,95,5,6,951,0.002211,0.0506,30.1003,12,10.4,0.0229,0.0076,0,0,0,0,0.072785,0.015625,49,0.7853,0.4568,0.3451,25,26,44
14,5000,3162,2,4,1,1.9884,2,15.0,11,3146,4.54,0.9802,3225.8,16,1.0,92,4,7,950,0.002043,0.0312,46.5116,13,11.3,0.0203,0.0067,0,0,0,0,0.059375,0.015625,50,0.7368,0.5162,0.348,23,24,45
15,5000,3192,0,0,3,1.974,2,15.0,7,3185,4.57,0.9908,3221.5,7,1.0,85,1,8,891,0.002197,0.0349,19.9336,14,12.3,0.0238,0.0072,0,0,0,0,0.08254,0.015625,48,0.8107,0.5987,0.3549,23,19,43
16,5000,3219,0,0,3,1.8914,1,15.0,6,3209,4.64,0.9993,3221.2,10,1.0,84,4,5,869,0.002042,0.026,38.61,15,12.9,0.0223,0.006,0,0,0,0,0.055762,0.015625,47,0.7198,0.6545,0.3576,24,16,44
17,5000,3050,3,4,3,1.886,1,15.0,8,3039,4.39,0.9525,3202.2,11,1.0,81,4,7,878,0.002134,0.0272,34.965,16,13.4,0.0213,0.0068,0,0,0,0,0.061224,0.015625,48,0.7448,0.7157,0.3591,23,15,43
18,5000,3199,2,4,3,1.8463,1,15.1,14,3185,4.62,0.9991,3201.9,14,1.0,75,2,8,838,0.002411,0.0387,50.0,17,13.9,0.0255,0.0083,0,0,0,0,0.059859,0.015625,47,0.739,0.7439,0.3584,21,12,42
19,5000,3099,1,5,3,1.8603,2,15.1,4,3090,4.42,0.971,3191.6,9,1.0,68,1,8,805,0.00269,0.0504,38.6266,18,14.8,0.0235,0.0089,1,0,0,0,0.084034,0.015625,46,0.8141,0.7901,0.3616,20,9,39
20,5000,3155,1,5,1,1.9344,2,15.1,9,3146,4.55,0.9896,3188.1,9,1.0,64,1,5,778,0.002907,0.0474,36.1446,19,15.3,0.0316,0.0097,1,0,0,0,0.090909,0.015625,43,0.8281,0.881,0.3657,19,7,38
21,5000,3166,0,0,1,1.9622,2,15.1,2,3164,4.56,0.9937,3186.0,2,1.0,63,2,3,778,0.002619,0.0433,4.0816,20,15.9,0.0335,0.0105,0,0,0,0,0.094488,0.015625,42,0.8346,0.9755,0.3707,18,7,38
