cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
6,21,0.5333,0.6396,0.855,5.697,0.7222,0.632,0.8424,8.5902,0.1889,-0.0076,-0.0126,2.8932,gain_social|gain_familiarity,2,hosted
13,21,0.5333,0.6618,0.8652,16.896,0.7778,0.666,0.8418,10.2636,0.2444,0.0042,-0.0234,-6.6325,gain_social|loss_familiarity,2,hosted
19,21,0.3333,0.6867,0.8418,14.3292,0.2778,0.678,0.774,6.8442,-0.0556,-0.0087,-0.0678,-7.485,loss_familiarity,1,hosted
26,21,0.4667,0.6232,0.8451,12.4873,0.5556,0.6676,0.8468,10.4337,0.0889,0.0444,0.0017,-2.0536,loss_familiarity,1,hosted
27,21,0.6,0.6568,0.859,11.8772,0.7222,0.6909,0.8392,9.0295,0.1222,0.0342,-0.0199,-2.8477,gain_social|loss_familiarity,2,hosted
28,21,0.3333,0.634,0.8583,13.8646,0.6111,0.6253,0.8427,9.3055,0.2778,-0.0087,-0.0156,-4.5591,gain_social|loss_familiarity,2,hosted
46,21,0.5333,0.6816,0.8761,5.2042,0.7778,0.6883,0.865,9.4326,0.2444,0.0067,-0.011,4.2284,gain_social|gain_familiarity,2,hosted
47,21,0.5333,0.6908,0.8638,11.7712,0.7222,0.6417,0.8385,10.2068,0.1889,-0.0491,-0.0253,-1.5644,gain_social,1,hosted
48,21,0.5333,0.6478,0.8908,11.4963,0.6667,0.6738,0.8662,7.5092,0.1333,0.026,-0.0246,-3.9871,gain_social|loss_familiarity,2,hosted
58,21,0.0667,0.643,0.8413,9.8533,0.1667,0.6608,0.7725,20.355,0.1,0.0179,-0.0687,10.5017,gain_familiarity,1,hosted
61,21,0.0,0.6715,0.8174,0.0,0.1111,0.6744,0.8122,23.0827,0.1111,0.003,-0.0052,23.0827,gain_social|gain_familiarity,2,hosted
65,21,0.1333,0.683,0.8339,24.3946,0.1111,0.6538,0.7498,8.9653,-0.0222,-0.0292,-0.0841,-15.4293,loss_familiarity,1,hosted
78,21,0.0667,0.7075,0.8717,22.3109,0.0556,0.6896,0.7279,8.1995,-0.0111,-0.0179,-0.1438,-14.1114,loss_spread|loss_familiarity,2,hosted
88,21,0.2,0.6343,0.7988,4.4765,0.2222,0.6382,0.8386,8.6142,0.0222,0.0038,0.0398,4.1377,gain_familiarity,1,hosted
