cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,21,0.7778,0.6446,0.8918,22.9209,0.9,0.6341,0.8619,23.724,0.1222,-0.0105,-0.03,0.8031,gain_social,1,hosted
1,21,1.0,0.6633,0.8645,16.8915,1.0,0.6743,0.8283,12.7089,0.0,0.011,-0.0362,-4.1826,loss_familiarity,1,hosted
15,21,0.7778,0.7052,0.8922,13.3926,0.95,0.5859,0.8464,16.5339,0.1722,-0.1193,-0.0459,3.1413,gain_social|loss_stability|gain_familiarity,3,hosted
23,21,0.7778,0.6934,0.8603,12.4253,0.85,0.637,0.83,12.0335,0.0722,-0.0564,-0.0303,-0.3917,,0,hosted
27,21,0.7222,0.617,0.891,24.1684,0.95,0.601,0.8736,17.6409,0.2278,-0.016,-0.0174,-6.5276,gain_social|loss_familiarity,2,hosted
40,21,0.7778,0.6608,0.8991,20.2573,0.95,0.6165,0.831,12.184,0.1722,-0.0443,-0.0681,-8.0733,gain_social|loss_familiarity,2,hosted
45,21,0.4444,0.7107,0.844,13.3434,0.75,0.6405,0.8603,15.7413,0.3056,-0.0703,0.0163,2.3979,gain_social|gain_familiarity,2,hosted
51,21,0.4444,0.6384,0.8672,12.8131,0.65,0.6824,0.8192,14.1675,0.2056,0.044,-0.0479,1.3544,gain_social,1,hosted
52,21,0.7778,0.7104,0.886,18.217,1.0,0.6794,0.8467,19.295,0.2222,-0.031,-0.0393,1.078,gain_social,1,hosted
53,21,0.2222,0.683,0.8658,27.1094,0.35,0.6653,0.8179,13.6081,0.1278,-0.0177,-0.0478,-13.5013,gain_social|loss_familiarity,2,hosted
54,21,0.7222,0.6753,0.877,16.8311,1.0,0.7345,0.8627,21.175,0.2778,0.0592,-0.0143,4.344,gain_social|gain_familiarity,2,hosted
57,21,0.5556,0.6655,0.883,18.2159,0.7,0.6501,0.8018,11.0722,0.1444,-0.0155,-0.0812,-7.1437,gain_social|loss_familiarity,2,hosted
