cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,21,0.2632,0.7294,0.8353,11.2684,0.4211,0.6544,0.7896,16.9387,0.1579,-0.075,-0.0457,5.6702,gain_social|gain_familiarity,2,hosted
9,21,0.1053,0.6979,0.8594,15.2662,0.1579,0.6877,0.7712,4.8424,0.0526,-0.0101,-0.0882,-10.4238,loss_familiarity,1,hosted
24,21,0.6316,0.6598,0.8733,14.1084,1.0,0.6665,0.8602,9.5614,0.3684,0.0067,-0.0132,-4.5469,gain_social|loss_familiarity,2,hosted
27,21,0.8947,0.6251,0.8559,30.915,1.0,0.64,0.8761,36.8878,0.1053,0.015,0.0202,5.9728,gain_social|gain_familiarity,2,hosted
28,21,0.8421,0.6772,0.8744,13.9387,1.0,0.673,0.8639,14.5423,0.1579,-0.0041,-0.0106,0.6036,gain_social,1,hosted
36,21,0.5789,0.693,0.862,12.2713,0.7368,0.6661,0.8199,10.5903,0.1579,-0.0269,-0.0421,-1.6809,gain_social,1,hosted
44,21,1.0,0.6831,0.8773,8.8366,1.0,0.6821,0.8616,13.2341,0.0,-0.0011,-0.0157,4.3974,gain_familiarity,1,hosted
49,21,0.0526,0.6976,0.8575,9.4195,0.0526,0.6289,0.8071,3.4618,0.0,-0.0687,-0.0504,-5.9577,loss_familiarity,1,hosted
55,21,0.9474,0.7134,0.8826,14.977,1.0,0.6706,0.8537,12.6668,0.0526,-0.0428,-0.0289,-2.3102,loss_familiarity,1,hosted
57,21,0.1053,0.6767,0.8467,29.9734,0.2105,0.6664,0.79,8.73,0.1053,-0.0103,-0.0567,-21.2435,gain_social|loss_familiarity,2,hosted
71,21,0.3158,0.6409,0.8731,12.0844,0.4737,0.7062,0.8071,13.8262,0.1579,0.0653,-0.066,1.7418,gain_social,1,hosted
72,21,0.1579,0.6522,0.8287,19.3355,0.2632,0.6481,0.8463,6.7658,0.1053,-0.0041,0.0176,-12.5697,gain_social|loss_familiarity,2,hosted
77,21,0.5789,0.6322,0.8452,13.4318,0.7895,0.66,0.8396,6.4632,0.2105,0.0277,-0.0055,-6.9686,gain_social|loss_familiarity,2,hosted
79,21,0.6842,0.7203,0.8683,11.4358,0.8947,0.6713,0.8742,15.0567,0.2105,-0.049,0.0059,3.6209,gain_social|gain_familiarity,2,hosted
80,21,0.2632,0.7211,0.8816,8.1563,0.4737,0.6222,0.7812,13.624,0.2105,-0.0989,-0.1004,5.4676,gain_social|loss_spread|gain_familiarity,3,hosted
83,21,0.7895,0.6901,0.8921,11.458,0.8947,0.6485,0.857,18.6526,0.1053,-0.0416,-0.0352,7.1946,gain_social|gain_familiarity,2,hosted
84,21,0.3158,0.6182,0.8989,18.1599,0.4737,0.6173,0.7678,11.7286,0.1579,-0.001,-0.131,-6.4312,gain_social|loss_spread|loss_familiarity,3,hosted
86,21,0.1053,0.6504,0.824,12.8862,0.1579,0.7312,0.8254,8.0878,0.0526,0.0807,0.0014,-4.7984,loss_familiarity,1,hosted
88,21,0.1053,0.6449,0.8284,15.331,0.1579,0.6693,0.8148,14.1017,0.0526,0.0244,-0.0136,-1.2293,,0,hosted
0,22,0.4211,0.6544,0.7896,16.9387,0.4762,0.6889,0.8502,9.9734,0.0551,0.0345,0.0606,-6.9653,loss_familiarity,1,hosted
9,22,0.1579,0.6877,0.7712,4.8424,0.2857,0.7112,0.8389,4.4649,0.1278,0.0235,0.0677,-0.3775,gain_social,1,hosted
