window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,circ_proximity_restored,circ_proximity_restore_total,circ_heat_events,circ_heat_total,circ_capture_events,circ_capture_total,circ_dynamic_bg_prob,circ_pi_tension_snap,circ_pi_tension_entropy,circ_pi_tension_energy
31,4955,2356,1,0,1,3,0.6667,1,0,0,0,0,2,0,10,1,1.9641,0.05,2,39.0,30,0.9678,1.0,0.4333,0,0,0,0,3,447,599,1049,0.0,6,1,1,0,0,1,0,0.0,0,0,0,0,1.0,5091,3185,53498,0.00057,0.511001,0.018928,-47,-7,0,0.0514,1.0,0.0015,1.0,0.1247,0.685,2,2,0,3982,26,4,0,0,0.0065,0.1561,1140,4651,4651,0.38667,0.318105,3313,7.364,13.590239,2792,32.0186,0.000121,0,1098,76763,73504,0.0062,0,39643,11.5521,289,0.0899,121405,328.0315,0.005034,0.011036,0.041213,0.775958
32,4948,2444,2,0,2,5,0.6667,1,0,0,0,0,2,0,10,3,1.918,-0.046,2,38.3,30,0.9678,1.0,0.4333,0,0,0,0,3,454,600,1057,0.0,6,1,1,0,0,2,0,0.0,0,0,0,0,1.0,5779,3194,54452,0.00051,0.511001,0.018928,41,-14,0,0.0517,1.0,0.0014,1.0,0.1263,0.7,2,2,1,4715,32,4,0,0,0.0065,0.1586,1149,4461,4461,0.406111,0.33768,3398,9.734,13.753044,2895,31.9846,0.00013,0,1101,77909,74909,0.0062,0,39500,10.6323,188,0.0565,122125,329.5737,0.005039,0.013093,0.050037,0.780358
33,4937,2490,1,0,1,3,0.6667,1,0,0,0,0,2,0,10,3,1.7903,-0.1277,2,38.6,30,0.9678,1.0,0.4044,0,0,0,0,3,452,599,1054,0.0,6,1,1,0,0,1,0,0.0,0,0,0,0,1.0,5214,3046,57348,0.000968,0.510917,0.018945,87,-9,1,0.0512,0.366,0.0003,0.09,0.1273,0.695,0,0,0,4573,30,0,0,0,0.0064,0.1901,1131,4266,4266,0.517223,0.479026,3416,9.608,13.52423,2887,31.4803,0.000122,0,1085,83205,80450,0.0057,0,41688,11.1797,83,0.0445,126849,329.7087,0.005063,0.012048,0.046023,0.764029
34,4929,2496,0,0,0,0,0,0,0,0,0,0,2,0,10,3,1.4367,-0.3536,2,39.5,30,0.9678,1.0,0.4044,0,0,0,0,3,451,604,1058,0.0,6,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3856,2759,59363,0.00016,0.510917,0.018945,6,-13,0,0.0496,0.28,0.0002,0.09,0.1233,0.7,0,0,1,2967,40,0,0,0,0.0063,0.1358,1181,4034,4034,0.390815,0.390815,3367,11.388,14.334198,2809,31.0998,0.000104,0,1121,83182,80740,0.0057,0,41782,10.5521,78,0.0371,127864,326.4442,0.005029,0.016026,0.127727,0.757094
35,4922,2575,0,0,0,0,0,0,0,0,0,0,2,0,10,3,1.4628,0.0261,1,38.7,30,0.9678,1.0,0.4044,0,0,0,0,3,452,604,1059,0.0,6,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2788,2453,55614,0.000948,0.510917,0.018945,85,-3,0,0.0477,0.284,0.0001,0.06,0.1189,0.7,0,0,1,2485,13,0,0,0,0.0065,0.1176,1170,3807,3807,0.133208,0.106092,3403,3.64,15.901495,2824,32.0982,0.000107,0,1128,83142,80965,0.0058,0,41038,9.7503,0,0.0,128255,310.9429,0.00515,0.005049,0.353643,0.726387
36,4918,2661,0,0,0,0,0,0,0,0,0,0,2,0,10,3,1.2729,-0.1898,1,38.9,30,0.9678,1.0,0.4044,0,0,0,0,3,452,604,1059,0.0,6,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2727,2116,59471,0.001794,0.510613,0.01897,171,-7,1,0.0475,0.31,0.0,0.03,0.1186,0.665,0,0,0,1912,22,0,0,0,0.0066,0.0942,1173,3512,3512,0.334155,0.275058,3350,6.258,12.620584,2795,32.3035,0.00011,0,1127,85630,83743,0.0047,0,44379,10.4922,24,0.0173,132561,307.7193,0.005385,0.008268,0.026089,0.708768
37,4913,2738,1,0,1,3,0.3333,1,0,0,0,0,2,0,10,3,1.6751,0.4022,1,40.0,30,0.9753,1.0,0.3381,0,0,0,0,2,386,491,879,0.0,5,1,1,0,0,1,0,0.0,0,0,0,0,1.0,2796,1804,64333,0.000868,0.510613,0.01897,77,-11,0,0.0485,0.274,0.0001,0.03,0.1207,0.685,0,0,0,2036,11,0,0,0,0.0057,0.0991,1077,3393,3393,0.349829,0.276542,3371,3.168,14.419584,2709,28.2676,8.3e-05,0,1027,91143,89547,0.0042,0,47409,11.7987,165,0.0697,137362,313.7942,0.004893,0.004018,0.18985,0.715814
38,4910,2804,1,0,1,4,1.0,1,0,0,0,0,2,0,10,3,1.6751,0.0,1,39.3,30,0.99,1.0,0.1944,0,0,0,0,2,293,388,683,0.0,3,1,1,0,0,1,0,0.0,0,0,0,0,1.0,3098,1545,65995,0.00152,0.510613,0.01897,143,-13,0,0.0492,0.28,0.0002,0.06,0.1223,0.7,0,0,1,2956,18,0,0,0,0.0064,0.1114,1209,3016,3016,0.164653,0.046344,3351,5.04,16.231063,2703,31.4701,9.6e-05,0,1130,92464,91230,0.0045,0,49667,12.0242,96,0.0142,141090,297.5623,0.005163,0.006419,0.402238,0.722905
39,4907,2871,0,0,0,0,0,0,0,0,0,0,2,0,10,3,1.8727,0.1975,2,39.8,30,0.99,1.0,0.1944,0,0,0,0,2,288,380,670,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3572,1466,68309,0.00217,0.510164,0.019005,210,-8,1,0.0504,0.308,0.0004,0.12,0.1251,0.7,0,0,1,2991,23,0,0,0,0.007,0.0811,1220,2956,2956,0.596597,0.596597,3386,6.44,12.572295,2707,34.2169,0.000115,0,1155,95456,94192,0.0046,0,52958,13.277,341,0.0886,145714,308.0291,0.005435,0.008011,0.0,0.731111
40,4902,2887,1,0,1,3,0.0,1,0,0,0,0,2,0,10,3,1.8567,-0.016,1,39.7,30,0.99,1.0,0.2333,0,0,0,0,2,281,373,656,0.0,3,1,1,0,0,1,0,0.0,0,0,0,0,1.0,3755,1420,67078,0.00026,0.510164,0.019005,16,1,0,0.0504,0.364,0.0008,0.27,0.1249,0.67,0,0,0,3566,19,3,0,0,0.0056,0.1482,1060,3018,3018,0.446849,0.373302,3379,5.458,14.779297,2667,27.4244,8e-05,0,983,96923,95849,0.0051,0,51623,12.697,423,0.1285,145092,302.1273,0.004886,0.006581,0.197526,0.744088
41,4899,2851,1,0,1,5,0.3529,1,0,0,0,0,2,0,10,3,1.9547,0.098,1,40.7,30,1.0,1.0,0.0833,0,0,0,0,0,106,159,265,0.0,1,1,1,0,0,1,0,0.0,0,0,0,0,1.0,3943,1470,66806,0.0003,0.510164,0.019005,-20,0,0,0.0499,0.372,0.0007,0.33,0.124,0.685,0,0,0,3837,26,6,0,0,0.0066,0.1402,1210,2839,2839,0.345942,0.282653,3334,7.798,12.740912,2627,32.2635,0.0001,0,1145,97705,96677,0.0035,0,50180,12.346,318,0.0532,145301,303.0736,0.005217,0.00912,0.016016,0.72805
42,4899,2910,4,0,4,5,0.6857,1,0,0,0,0,2,0,10,1,1.9291,-0.0256,2,39.1,1,0.0,0.0,0.0,0,0,0,0,0,5,25,30,0.0,0,1,1,0,0,4,0,0.0,0,0,0,0,1.0,3631,1311,66633,0.00049,0.510145,0.019011,39,-6,1,0.049,0.39,0.001,0.39,0.121,0.645,0,0,0,3387,21,3,0,0,0.006,0.1074,1121,2911,2911,0.402997,0.387866,3399,6.244,13.958852,2678,29.4777,8.6e-05,0,1056,96252,95238,0.0044,0,50944,14.4533,857,0.2164,145522,314.5956,0.004911,0.007216,0.098033,0.758029
43,4896,2906,3,0,3,5,1.2,1,0,0,0,0,2,0,10,3,1.9401,0.011,2,37.5,1,0.0,0.0,0.0,0,0,0,0,0,9,32,41,0.0,0,1,1,0,0,3,0,0.0,0,0,0,0,1.0,3829,1223,67933,0.00014,0.510145,0.019011,-4,-4,0,0.0517,0.332,0.0013,0.27,0.1269,0.695,0,0,0,4619,18,4,0,0,0.0062,0.2836,1191,2719,2719,0.36198,0.295229,3335,5.386,13.374951,2622,30.531,0.000104,0,1113,100467,99587,0.0052,0,56306,15.1377,685,0.1455,151333,304.3075,0.005094,0.006194,0.025595,0.776685
44,4895,2940,2,0,2,3,0.6667,1,0,0,0,0,2,0,10,3,1.9134,-0.0267,2,34.9,1,0.0,0.0,0.0,0,0,0,0,0,20,39,59,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,3725,1092,67239,0.0004,0.510145,0.019011,30,-5,0,0.0516,0.364,0.0014,0.42,0.1265,0.7,0,0,2,4438,24,9,0,0,0.0058,0.1432,1109,2634,2634,0.467964,0.467964,3347,6.886,13.283824,2626,28.5403,8.1e-05,0,1033,98520,97719,0.0048,0,52817,13.1706,686,0.1551,148182,299.8602,0.005006,0.008163,0.010981,0.781132
45,4893,2955,2,0,2,5,0.5,2,0,0,0,0,2,0,10,3,1.9726,0.0593,2,34.9,1,0.0,0.0,0.0,0,0,0,0,0,23,56,79,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,3632,1049,68208,0.00055,0.510121,0.019011,45,0,1,0.0508,0.454,0.0018,0.45,0.1246,0.695,0,0,0,3723,22,15,0,0,0.0061,0.1165,1132,2633,2633,0.337851,0.267956,3346,6.626,13.508718,2610,29.8581,8.6e-05,0,1051,102017,101344,0.0045,0,54799,13.7964,831,0.1984,150320,304.0209,0.004993,0.007445,0.0267,0.786528
46,4890,2994,2,0,2,5,0.3333,2,0,0,0,0,2,0,10,3,1.8727,-0.1,2,34.9,2,0.0,0.0,0.0,0,0,0,0,0,25,62,87,0.0,0,2,2,0,0,1,1,0.0,0,0,0,0,1.0,3355,972,70400,0.00049,0.510121,0.019011,39,-13,0,0.0511,0.522,0.0018,0.57,0.1252,0.695,1,1,0,3887,20,13,0,0,0.0057,0.0697,1103,2566,2566,0.362149,0.25463,3367,5.942,13.972768,2596,27.9863,7.2e-05,0,1034,101447,100813,0.0043,0,56588,15.4726,595,0.0983,151308,298.136,0.005026,0.00668,0.059276,0.79868
47,4888,2990,1,0,1,5,0.5333,2,0,0,0,0,2,0,10,3,1.8567,-0.016,2,35.0,2,0.0,0.0,0.0,0,0,0,0,0,30,72,102,0.0,0,2,2,0,0,0,1,0.0,0,0,0,0,1.0,3285,934,70016,0.00045,0.510121,0.019011,35,-1,0,0.0506,0.434,0.0011,0.45,0.1242,0.685,0,0,0,4125,19,6,0,0,0.006,0.0597,1124,2593,2593,0.257274,0.190585,3352,6.268,14.336263,2591,29.4087,7.6e-05,0,1065,102727,102051,0.0035,0,56184,14.0119,194,0.0509,152706,294.6319,0.005096,0.006355,0.099978,0.794726
48,4888,2946,2,0,2,5,0.8,1,0,0,0,0,2,0,10,3,1.8776,0.021,2,35.1,2,0.0,0.0,0.0,0,0,0,0,0,35,81,116,0.0,0,1,1,0,0,2,0,0.0,0,0,0,0,1.0,3213,867,70163,0.00019,0.510122,0.019014,-9,-7,1,0.0503,0.484,0.0006,0.42,0.1242,0.66,0,0,0,3270,19,2,0,0,0.0061,0.1176,1161,2436,2436,0.508468,0.404982,3289,5.84,13.478288,2565,29.7477,8.2e-05,0,1073,102285,101666,0.0042,0,53406,12.9932,236,0.0772,150871,294.6616,0.00515,0.006449,0.016016,0.795415
49,4884,2992,0,0,0,0,0,0,0,0,0,0,2,0,10,3,1.9547,0.077,2,35.1,2,0.0,0.0,0.0,0,0,0,0,0,41,85,126,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,3055,1007,69541,0.00056,0.510122,0.019014,46,-1,0,0.0487,0.366,0.0006,0.21,0.1206,0.7,0,0,1,3155,16,4,0,0,0.006,0.1288,1097,2596,2596,0.446373,0.377414,3384,5.14,13.538213,2620,29.4037,8.7e-05,1,1048,101888,101176,0.0033,0,51439,13.1156,497,0.1773,148976,316.0816,0.005022,0.005348,0.020987,0.797055
50,4883,3055,0,0,0,0,0,0,0,0,0,0,2,0,10,3,1.9592,0.0045,1,35.2,2,0.0,0.0,0.0,0,0,0,0,0,46,86,132,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,2612,769,70688,0.001186,0.510122,0.019014,109,-4,0,0.0492,0.354,0.0008,0.36,0.1219,0.695,0,0,0,3283,16,4,0,0,0.0057,0.1263,1106,2392,2392,0.332786,0.261894,3374,4.712,14.003667,2580,28.1231,7.2e-05,0,1039,105604,105069,0.0038,0,56923,13.3042,357,0.0738,154799,293.8987,0.005031,0.005237,0.077046,0.785377
