window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,pd_p_count,pd_d_count,pd_both_count,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,cooled_nodes,mean_cooling_factor,z_hardened,z_softened,z_tensioned,alpha_t,compound_restore,inert_penalty,delta_L,delta_Z0,drift_applied,mean_h_age,max_h_age,mean_h_res,max_h_res,mean_h_str,max_h_str,mature_links,rigid_links,brittle_links,hist_matured,hist_snapped,hist_suppressed,avalanche_events,cascade_links,void_mean_V,void_max_V,void_active_nodes,gen_births,gen_candidates,gen_max_T,gen_max_delta,void_consumed,void_deposited,proliferation_pi,void_induced_births,void_total_mass,void_variance,void_isolated_high,void_active_neighbor_high,void_diffusion_events,void_to_active,void_c_diff,cascade_splashes,circ_proximity_restored,circ_proximity_restore_total,circ_heat_events,circ_heat_total,circ_capture_events,circ_capture_total,circ_dynamic_bg_prob,circ_pi_tension_snap,circ_pi_tension_entropy,circ_pi_tension_energy
11,5000,2322,10,0,10,8,1.6,11,0,0,0,0,2,0,10,0,1.9992,0.0005,0,29.6,10,0.7044,1.0,0.7971,0,0,0,5,14,1123,1849,2991,0.2632,60,11,11,7,0,0,3,1.0,0,0,0,1,0.9762,102853,10486,6160,0.009045,0.502897,0.018812,-1444,18,0,0.1341,1.0,0.017,1.0,0.2886,0.7,27,32,8,72706,742,54,0,0,0.008,0.2195,996,9136,9136,0.609248,0.549126,3458,218.874,15.787085,3063,39.7985,0.000361,0,978,61300,53546,0.009,0,41636,30.5435,2729,1.1909,111623,399.2866,0.005342,0.319552,0.000493,0.749671
12,5000,1777,10,0,10,5,1.3333,12,0,0,0,0,2,0,10,0,1.9994,0.0002,0,29.8,11,0.7141,1.0,0.7971,0,0,0,5,14,1172,1936,3127,0.2632,62,12,12,7,0,1,2,1.0,0,0,0,0,1.0,73203,10343,6876,0.009732,0.512271,0.018618,-1989,10,1,0.1262,1.0,0.0186,1.0,0.2679,0.7,28,28,8,51074,520,45,0,0,0.007,0.1845,946,10806,10806,0.48817,0.361425,3388,153.908,15.707398,3044,34.9285,0.000282,0,937,53471,44114,0.0104,0,29168,21.0357,1717,0.9163,87616,399.5155,0.005368,0.292628,0.000538,0.766066
13,5000,1563,8,0,8,3,0.3333,13,0,0,0,0,2,0,10,1,1.9994,0.0,0,30.4,12,0.7232,1.0,0.7971,0,0,0,5,14,1200,1965,3184,0.2632,62,13,13,7,0,0,1,1.0,0,0,0,0,1.0,51019,10355,9559,0.002208,0.512271,0.018618,-214,4,0,0.1156,1.0,0.0167,1.0,0.2455,0.7,23,22,3,35410,333,32,0,0,0.0066,0.1942,934,12164,12164,0.597803,0.597803,3547,99.588,15.003824,3243,33.1,0.000251,0,923,48384,37493,0.0107,0,21857,15.3935,1294,1.0099,64323,411.2556,0.005356,0.213052,0.000178,0.760162
14,5000,1513,6,0,6,3,0.0,14,0,0,0,0,2,0,10,0,1.9985,-0.0009,0,30.5,13,0.735,1.0,0.835,0,0,0,5,14,1194,1953,3166,0.2632,62,14,14,6,0,0,0,1.0,0,0,0,0,1.0,40520,9435,10976,0.00268,0.512271,0.018618,-264,-10,0,0.1023,1.0,0.014,1.0,0.2201,0.7,20,20,3,27595,294,24,0,0,0.006,0.279,918,12037,12037,0.24679,0.204975,3474,85.874,14.504755,3178,30.1216,0.000218,0,900,45457,34442,0.0081,0,20136,11.6125,948,0.8903,65680,384.1695,0.005251,0.194316,0.0,0.724291
15,5000,1616,6,0,6,3,0.0,15,0,0,0,0,2,0,10,0,1.9963,-0.0022,0,32.5,14,0.7444,1.0,0.9186,0,0,0,5,14,1131,1843,2993,0.2632,58,15,15,6,0,0,0,1.0,0,0,0,0,1.0,37091,8808,14921,0.001696,0.512542,0.018692,-161,-22,1,0.0933,1.0,0.0114,1.0,0.2045,0.7,18,18,4,23995,246,18,0,0,0.0064,0.1446,950,10537,10537,0.318755,0.254348,3528,70.676,13.903208,3232,32.2015,0.000206,0,941,47360,37561,0.0086,0,20705,10.1975,900,0.8342,69532,378.2276,0.005176,0.152228,0.000881,0.704764
16,5000,1810,6,0,6,3,0.0,16,0,0,0,0,2,0,10,1,1.998,0.0017,2,32.7,15,0.759,1.0,0.9546,0,0,0,3,13,1068,1750,2834,0.1875,54,16,16,6,0,0,0,1.0,0,0,0,0,1.0,36404,8057,19070,0.002016,0.512542,0.018692,194,-1,0,0.0901,1.0,0.01,1.0,0.2002,0.7,18,18,4,23374,224,18,0,0,0.006,0.1218,982,9635,9635,0.528391,0.528391,3552,63.26,13.60582,3217,30.1624,0.000161,0,973,52208,43294,0.0079,0,24458,10.6982,945,0.8152,76243,372.5136,0.005085,0.123757,0.00218,0.703719
17,5000,1868,8,0,8,5,0.8,17,0,0,0,0,2,0,10,1,1.9998,0.0018,2,33.4,16,0.8008,1.0,0.8819,0,0,0,2,9,907,1438,2356,0.1818,42,17,17,6,0,2,0,1.0,0,0,0,0,1.0,35868,7697,22204,0.002568,0.512542,0.018692,252,-16,0,0.0883,1.0,0.0101,1.0,0.1961,0.7,18,18,7,23996,231,18,0,0,0.0062,0.1697,966,9247,9247,0.529058,0.460699,3520,64.974,13.887931,3193,31.1125,0.0002,0,946,54823,46510,0.007,0,28050,11.4047,1220,0.8298,84065,375.1054,0.005041,0.123662,0.001673,0.731062
18,5000,1861,5,0,5,3,0.0,18,0,0,0,0,2,0,10,2,1.9997,-0.0001,2,33.9,17,0.8211,1.0,0.8325,0,0,0,2,8,815,1274,2099,0.2,36,18,18,5,0,0,0,1.0,0,0,0,0,1.0,33243,7642,25033,0.002502,0.511941,0.018797,245,-21,1,0.0843,1.0,0.0099,1.0,0.1877,0.7,16,16,7,22635,223,22,0,0,0.0068,0.209,1048,8925,8925,0.367422,0.300354,3519,62.44,13.780005,3203,34.0118,0.000214,0,1033,55757,47726,0.0093,0,27636,11.1695,1292,0.7475,85894,373.0324,0.005083,0.119828,0.001786,0.724435
19,5000,1910,7,0,7,4,0.75,19,0,0,0,0,2,0,10,1,1.9995,-0.0002,2,34.5,18,0.844,1.0,0.7882,0,0,0,1,5,710,1111,1827,0.1667,30,19,19,5,0,1,1,1.0,0,0,0,0,1.0,30511,6777,28115,0.00059,0.511941,0.018797,49,-29,0,0.0816,1.0,0.0097,1.0,0.182,0.7,16,16,5,20634,207,27,0,0,0.0066,0.1807,1036,8177,8177,0.322499,0.190265,3434,58.388,13.633727,3108,32.9824,0.000198,0,1021,56817,49487,0.0081,0,29542,10.8685,1115,0.6555,89241,359.1492,0.005067,0.108377,0.000114,0.723767
20,5000,1955,6,0,6,3,0.0,20,0,0,0,0,2,0,10,2,1.9993,-0.0001,2,35.1,19,0.8908,1.0,0.6237,0,0,0,1,4,613,951,1569,0.2,24,20,20,5,0,1,0,1.0,0,0,0,0,1.0,27182,6903,30021,0.001037,0.511941,0.018797,94,16,0,0.0784,1.0,0.0092,1.0,0.1738,0.7,16,16,4,18885,167,23,0,0,0.0067,0.1283,1060,7685,7685,0.424438,0.361967,3513,46.946,13.72754,3168,33.4402,0.00018,0,1037,59695,52896,0.0082,0,29366,12.8183,1021,0.6556,92050,374.0974,0.005045,0.085422,0.000215,0.755436
