seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
4,1,1,2,924,1,1,808,690,19.7001,1.5823,0.9303,A,0.9403,B,0.9168,A,0.9368,B,0,0,0,0,2,0,1.1338,1.0,1
4,2,0,0,302,0,0,261,668,18.0419,1.5824,0.8473,A,0.9292,B,0.9301,A,0.9403,B,1,1,0,0,0,0,0,0,0
4,3,0,0,56,0,0,57,687,20.0447,1.5846,0.7425,A,0.9012,B,0.9682,A,0.9389,B,0,1,0,0,5,0,1.2872,1.0,1
4,4,1,1,19,0,0,19,677,18.9509,1.5765,0.5033,A,0.7793,B,0.9641,A,0.8905,B,4,0,0,0,0,0,0,0,0
4,5,0,0,17,0,0,11,666,19.0613,1.5625,0.684,A,0.9183,B,0.9612,A,1.0,B,4,0,0,0,1,0,0.6422,1.0,1
4,6,0,0,17,0,0,14,678,19.8433,1.5803,0.7496,A,0.9612,B,0.971,A,0.971,B,4,0,0,0,3,0,0.8925,1.0,1
4,7,0,0,14,0,0,11,726,20.8501,1.5752,0.684,A,0.9852,B,0.65,A,0.9183,B,4,0,0,0,1,0,0.558,1.0,1
4,8,0,0,14,0,0,8,700,18.634,1.5462,0.9183,A,0.9911,B,0.5917,A,0.9852,B,4,0,0,0,1,0,0.4388,1.0,1
4,9,0,0,14,0,0,15,672,18.5509,1.5642,0.7642,A,0.8813,B,0.5436,A,0.9183,B,4,0,0,0,0,0,0,0,0
4,10,0,0,16,0,0,15,694,18.552,1.5828,0.8905,A,0.9183,B,0.5436,A,0.971,B,4,0,0,0,0,0,0,0,0
4,11,0,0,17,0,0,11,615,16.62,1.5579,0.7642,A,0.0,B,0.9183,A,1.0,B,4,0,0,0,0,0,0,0,0
4,12,0,0,10,0,0,13,681,17.8632,1.5734,0.7219,A,0.7642,B,0.971,A,0.9183,B,4,0,0,0,0,0,0,0,0
4,13,0,0,7,0,0,7,706,18.3335,1.5743,0.0,A,0.971,B,0.0,neutral,0.9911,B,0,1,0,0,0,0,0,0,0
4,14,0,0,12,0,0,9,671,18.671,1.5746,0.5436,A,0.9183,B,0.65,A,0.994,B,0,1,0,0,0,0,0,0,0
4,15,0,0,13,0,0,11,644,17.0807,1.5763,0.9911,A,0.9183,B,0.7219,A,0.7642,B,4,0,0,0,3,0,0.7415,1.0,1
4,16,0,0,11,0,0,7,684,20.0285,1.531,0.8113,neutral,0.971,B,0.469,A,0.9911,B,4,0,0,0,3,0,1.3851,1.0,1
4,17,0,0,16,0,0,10,690,19.2924,1.5574,0.971,A,0.8631,B,0.0,A,0.994,B,3,1,0,0,0,0,0,0,0
4,18,0,0,12,0,0,10,712,19.1144,1.5715,0.9544,A,0.994,B,0.7642,A,1.0,B,4,0,0,0,0,0,0,0,0
4,19,0,0,8,0,0,9,672,18.9,1.5524,0.7219,A,0.9457,B,0.0,neutral,0.8631,B,4,1,0,0,0,0,0,0,0
4,20,0,0,11,0,0,8,641,17.9465,1.5647,0.5033,A,0.9911,B,0.9852,A,0.9183,B,4,1,0,0,2,0,0.8066,1.0,1
4,21,0,0,9,1,2,10,697,19.4895,1.579,0.5436,A,0.9183,B,1.0,A,0.9183,B,4,1,0,0,4,0,0.9977,1.0,1
4,22,0,0,8,0,0,11,674,17.8986,1.5579,0.9544,A,0.8113,B,0.8113,A,0.65,B,4,1,0,0,1,0,0.1566,1.0,1
4,23,0,0,7,0,0,21,667,17.2851,1.4492,0.971,A,0.7642,B,0.9544,A,0.7642,B,4,1,0,0,0,0,0,0,0
4,24,0,0,5,0,0,10,698,20.3228,1.531,0.971,A,0.7219,B,1.0,A,0.0,B,4,1,0,0,4,0,1.4098,1.0,1
4,25,0,0,6,0,0,9,631,18.3763,1.4591,0.0,A,0.5436,B,0.9183,A,0.0,B,4,1,0,0,1,0,0.2128,1.0,1
