seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
7,1,0,0,923,0,0,859,696,18.4374,1.5835,0.889,A,0.9162,B,0.8868,A,0.9115,B,0,0,0,0,0,0,0,0,0
7,2,0,0,364,0,0,327,696,18.7751,1.5828,0.8851,A,0.939,B,0.8488,A,0.9269,B,0,0,0,0,1,0,0.1861,1.0,1
7,3,0,0,46,0,0,50,696,19.1095,1.5819,0.9751,A,0.992,B,0.839,A,0.9257,B,0,1,0,0,0,0,0,0,0
7,4,1,2,19,0,0,13,641,17.2787,1.5644,0.684,A,0.5917,B,0.8631,A,1.0,B,1,1,0,0,1,0,0.3683,1.0,1
7,5,0,0,12,0,0,11,657,18.4356,1.5749,0.9911,A,0.0,B,0.9183,A,0.0,B,3,1,0,0,0,0,0,0,0
7,6,0,0,6,0,0,4,692,18.4515,1.4607,0.9183,A,1.0,B,1.0,A,0.971,B,3,1,0,0,0,0,0,0,0
7,7,0,0,11,0,0,5,667,18.5489,1.5061,0.9457,A,0.8113,neutral,0.9852,A,0.7219,B,3,1,0,0,2,0,0.5369,1.0,1
7,8,0,0,11,0,0,8,703,19.2143,1.57,0.684,A,1.0,B,0.971,A,0.9183,B,3,1,0,0,0,0,0,0,0
7,9,0,0,13,0,0,12,642,17.6427,1.5557,0.7219,A,0.9911,B,0.684,A,0.5436,B,4,1,0,0,1,0,0.1599,1.0,1
7,10,0,0,13,0,0,12,741,20.1306,1.5816,0.9544,A,0.7219,B,0.9183,A,0.8454,B,4,1,0,0,1,0,0.3204,1.0,1
7,11,0,0,13,0,0,17,705,20.1478,1.5742,0.8454,A,0.9799,B,0.994,A,0.7793,B,3,1,0,0,4,0,1.1224,1.0,1
7,12,0,0,10,1,2,12,689,18.9736,1.5488,0.8113,A,0.971,B,0.9852,A,0.9852,B,4,0,0,0,2,0,0.5075,1.0,1
7,13,0,0,8,0,0,11,729,19.3699,1.5387,0.8631,A,0.9403,B,0.971,A,0.8113,neutral,3,1,0,0,0,0,0,0,0
7,14,0,0,7,0,0,10,666,18.7233,1.5632,0.65,A,0.9183,B,1.0,A,0.7219,B,4,0,0,0,1,0,0.417,1.0,1
7,15,0,0,10,0,0,11,655,17.3558,1.5534,0.9183,A,0.9957,B,0.0,neutral,0.9852,B,3,1,0,0,0,0,0,0,0
7,16,0,0,8,0,0,15,654,18.5612,1.4984,0.9183,A,0.684,B,0.0,A,0.9183,B,4,0,0,0,1,0,0.3114,1.0,1
7,17,0,0,13,0,0,15,649,18.464,1.5391,0.8113,A,0.7642,B,0.8813,A,0.5033,B,4,0,0,0,1,0,0.3951,1.0,1
7,18,0,0,11,0,0,8,648,19.6032,1.5677,0.7642,A,1.0,B,0.9852,A,0.5917,B,4,0,0,0,4,0,1.6902,1.0,1
7,19,0,0,12,0,0,8,643,17.6717,1.5448,0.5917,A,0.0,B,0.5917,A,0.9911,B,4,0,0,0,0,0,0,0,0
7,20,0,0,13,0,0,5,663,17.9377,1.4225,0.469,A,1.0,B,0.7219,A,0.8113,B,4,0,0,0,1,0,0.4709,1.0,1
7,21,0,0,14,0,0,14,701,20.0878,1.5683,0.65,A,0.8113,B,0.469,A,1.0,B,4,1,0,0,3,0,0.7149,1.0,1
7,22,0,0,17,0,0,22,691,19.2134,1.5706,0.8631,A,0.9183,B,0.7642,A,0.8454,B,4,1,0,0,1,0,0.4928,1.0,1
7,23,1,2,12,0,0,16,684,18.6197,1.571,0.8113,A,0.8113,B,0.8113,A,0.9799,B,2,1,0,0,1,0,0.2136,1.0,1
7,24,0,0,9,0,0,13,672,18.1302,1.5378,0.0,A,0.9852,B,0.8113,A,0.684,B,3,1,0,0,0,0,0,0,0
7,25,0,0,10,0,0,11,621,18.1791,1.57,0.9544,A,0.65,B,0.9957,A,0.8113,B,3,1,0,0,5,0,1.6824,1.0,1
