seed,rate,window,k_star,J_star,eta,type_count_kstar,H_kstar,drift_kstar,flags
123,0.0,10,2,0.527,0.464,4,1.3216,0.3664,low_eta
123,0.0,11,2,0.2046,0.464,4,1.2917,0.0739,low_eta
123,0.0,12,2,0.1092,0.464,4,1.1918,0.0784,low_eta
123,0.0,13,2,-0.0931,0.464,2,0.4138,0.2856,low_eta
123,0.0,14,2,1.5035,0.464,4,1.9785,0.686,low_eta
123,0.0,15,2,0.4684,0.464,3,0.9056,0.5628,low_eta
123,0.0,16,2,-0.1713,0.464,1,-0.0,0.3287,low_eta
123,0.0,17,2,0.037,0.464,4,0.9,0.298,low_eta
123,0.0,18,2,-0.2952,0.464,3,0.4972,0.2076,low_eta
123,0.0,19,2,1.1033,0.464,4,1.8078,0.4565,low_eta
123,0.0,20,2,0.0788,0.464,1,-0.0,0.5788,low_eta
123,0.0,21,2,0.5489,0.464,3,1.1488,0.4001,low_eta
123,0.0,22,2,0.007,0.464,3,0.9219,0.0851,low_eta
123,0.0,23,2,0.0732,0.464,3,0.7732,0.3,low_eta
123,0.0,24,2,-0.0153,0.464,3,0.9056,0.0791,low_eta
123,0.0,25,2,-0.0472,0.464,3,0.6402,0.3126,low_eta
314,0.0,1,2,-0.3853,0.472,4,0.7757,,"drift_missing,low_eta"
314,0.0,2,1,-0.4767,0.472,2,0.1812,0.1346,low_eta
314,0.0,3,2,-0.29,0.472,2,0.2762,0.2263,low_eta
314,0.0,4,2,0.8412,0.472,4,1.571,0.4312,low_eta
314,0.0,5,2,0.6744,0.472,4,1.75,0.0854,low_eta
314,0.0,6,2,0.0579,0.472,1,-0.0,0.5579,low_eta
314,0.0,7,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,8,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,9,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,10,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,11,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,12,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,13,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,14,2,0.6316,0.472,4,1.3716,0.421,low_eta
314,0.0,15,2,0.3311,0.472,3,1.0409,0.2902,low_eta
314,0.0,16,2,0.0109,0.472,2,0.3912,0.4122,low_eta
314,0.0,17,1,-0.3011,0.472,1,-0.0,0.1989,low_eta
314,0.0,18,0,-0.5,0.472,1,-0.0,0.0,low_eta
314,0.0,19,2,1.3145,0.472,4,1.8464,0.6291,low_eta
314,0.0,20,2,0.9107,0.472,3,1.5466,0.3641,low_eta
314,0.0,21,2,0.3335,0.472,4,1.0892,0.4053,low_eta
314,0.0,22,2,0.0033,0.472,3,0.8031,0.2002,low_eta
314,0.0,23,2,0.6431,0.472,3,1.3965,0.2466,low_eta
314,0.0,24,2,-0.0017,0.472,1,-0.0,0.4983,low_eta
314,0.0,25,2,1.0579,0.472,3,1.5,0.5579,low_eta
456,0.0,1,2,-0.1741,0.4744,4,0.9869,,"drift_missing,low_eta"
456,0.0,2,2,0.0276,0.4744,3,0.91,0.1176,low_eta
456,0.0,3,2,-0.1838,0.4744,3,0.7345,0.0817,low_eta
456,0.0,4,2,0.4436,0.4744,3,1.2516,0.192,low_eta
456,0.0,5,2,-0.0631,0.4744,1,-0.0,0.4369,low_eta
456,0.0,6,0,-0.5,0.4744,1,-0.0,0.0,low_eta
456,0.0,7,0,-0.5,0.4744,1,-0.0,0.0,low_eta
456,0.0,8,2,1.5044,0.4744,4,1.7472,0.9182,low_eta
456,0.0,9,2,0.8157,0.4744,3,1.1488,0.6669,low_eta
