seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
7,0.0,18,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,18,1,0.4728,2,0.7219,0.3287,0.2581,low_eta
7,0.0,18,2,0.4728,3,1.2419,0.4369,0.6788,low_eta
7,0.0,18,3,0.4728,3,1.2419,0.4369,0.6788,low_eta
7,0.0,18,4,0.4728,3,1.2419,0.4369,0.6788,low_eta
7,0.0,19,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,19,1,0.4728,3,1.206,0.2306,0.4366,low_eta
7,0.0,19,2,0.4728,4,1.8329,0.2801,0.952,low_eta
7,0.0,19,3,0.4728,4,1.8329,0.2801,0.952,low_eta
7,0.0,19,4,0.4728,4,1.8329,0.2801,0.952,low_eta
7,0.0,20,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,20,1,0.4728,2,0.5746,0.2586,0.0407,low_eta
7,0.0,20,2,0.4728,3,1.1181,0.3098,0.4279,low_eta
7,0.0,20,3,0.4728,3,1.1181,0.3098,0.4279,low_eta
7,0.0,20,4,0.4728,3,1.1181,0.3098,0.4279,low_eta
7,0.0,21,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,21,1,0.4728,3,0.9464,0.2832,0.2296,low_eta
7,0.0,21,2,0.4728,4,1.2917,0.2939,0.4246,low_eta
7,0.0,21,3,0.4728,4,1.2917,0.2939,0.4246,low_eta
7,0.0,21,4,0.4728,4,1.2917,0.2939,0.4246,low_eta
7,0.0,22,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,22,1,0.4728,1,-0.0,0.3412,-0.1588,low_eta
7,0.0,22,2,0.4728,1,-0.0,0.4001,-0.0999,low_eta
7,0.0,22,3,0.4728,1,-0.0,0.4001,-0.0999,low_eta
7,0.0,22,4,0.4728,1,-0.0,0.4001,-0.0999,low_eta
7,0.0,23,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,23,1,0.4728,2,0.4395,0.2168,-0.1362,low_eta
7,0.0,23,2,0.4728,3,0.8659,0.3122,0.1781,low_eta
7,0.0,23,3,0.4728,3,0.8659,0.3122,0.1781,low_eta
7,0.0,23,4,0.4728,3,0.8659,0.3122,0.1781,low_eta
7,0.0,24,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,24,1,0.4728,3,1.4591,0.4672,0.9263,low_eta
7,0.0,24,2,0.4728,4,1.9183,0.6304,1.3877,low_eta
7,0.0,24,3,0.4728,4,1.9183,0.6304,1.3877,low_eta
7,0.0,24,4,0.4728,4,1.9183,0.6304,1.3877,low_eta
7,0.0,25,0,0.4728,1,-0.0,0.0,-0.5,low_eta
7,0.0,25,1,0.4728,3,0.7442,0.3641,0.1083,low_eta
7,0.0,25,2,0.4728,4,1.2304,0.5272,0.5966,low_eta
7,0.0,25,3,0.4728,4,1.2304,0.5272,0.5966,low_eta
7,0.0,25,4,0.4728,4,1.2304,0.5272,0.5966,low_eta
42,0.0,1,0,0.4678,1,-0.0,,-0.5,"drift_missing,low_eta"
42,0.0,1,1,0.4678,3,0.574,,-0.426,"drift_missing,low_eta"
42,0.0,1,2,0.4678,4,0.8204,,-0.3406,"drift_missing,low_eta"
