window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
24,5000,3147,0,0,3,1.816,1,12.9,3146,0,4.53,1.0083,3121.2,1,1.0,64,1,8,853,0.001985,0.0484,4.0984,23,19.5,0.0257,0.0101,0,0,0,0,0.084677,0.015625,43,0.8155,0.998,0.3468,0.003
25,5000,3131,1,5,1,1.9,1,13.0,3126,0,4.51,1.0028,3122.1,5,1.0,60,1,5,838,0.002057,0.0403,21.0084,24,20.9,0.0249,0.0097,1,1,0,0,0.072581,0.015625,42,0.7847,1.0424,0.3522,0.003
26,4999,3042,0,0,1,1.9822,1,13.0,0,3042,4.44,0.9767,3114.5,0,1.0,53,0,7,765,0.002307,0.0516,0.0,25,21.9,0.0303,0.0122,0,0,0,0,0.070423,0.015625,39,0.7781,1.1128,0.3589,0.003
27,4999,3067,1,5,1,1.9532,1,13.0,0,3062,4.39,0.9862,3110.0,5,1.0,51,1,3,740,0.002508,0.0433,25.0,26,22.3,0.0333,0.0115,1,0,0,0,0.076923,0.015625,38,0.7969,1.1773,0.3638,0.003
28,4997,3090,1,5,2,1.9103,1,13.0,6,3079,4.46,0.9942,3108.1,11,1.0,49,2,4,755,0.002646,0.0588,46.5116,27,22.6,0.0303,0.0123,1,0,0,0,0.099548,0.015625,38,0.843,1.2588,0.3693,0.003
29,4997,3189,2,4,3,1.8878,2,12.9,3171,0,4.57,1.0238,3115.9,19,1.0,52,5,2,785,0.002375,0.0506,82.6087,28,21.7,0.0266,0.0112,0,0,0,0,0.080169,0.015625,40,0.8051,1.3389,0.3726,0.003
30,4994,3114,0,0,3,1.9075,2,12.9,13,3096,4.54,0.9995,3115.7,18,1.0,53,4,3,804,0.002492,0.0667,74.0741,29,22.2,0.0296,0.0118,0,0,0,0,0.090196,0.015625,41,0.8268,1.3899,0.3746,0.003
31,4993,3043,1,4,3,1.7964,1,13.0,14,3020,4.5,0.9788,3108.8,23,1.0,55,7,5,816,0.002452,0.0424,97.3451,30,20.2,0.0225,0.0099,0,0,0,0,0.067797,0.015625,40,0.7695,1.4365,0.3744,0.003
32,4991,3033,0,0,3,1.9003,1,12.9,8,3022,4.44,0.9782,3101.7,11,1.0,55,4,4,811,0.002418,0.041,43.3071,31,20.1,0.0238,0.01,0,0,0,0,0.05597,0.015625,40,0.7208,1.4925,0.3762,0.003
33,4990,2957,0,0,3,1.8928,1,12.8,4,2954,4.39,0.9579,3088.0,3,1.0,49,0,6,785,0.002159,0.0519,14.8515,32,22.2,0.0294,0.0114,0,0,0,0,0.070755,0.015625,39,0.7792,1.5632,0.3795,0.003
34,4988,3054,0,0,3,1.9197,1,12.9,0,3049,4.46,0.99,3084.7,5,1.0,48,5,6,761,0.002254,0.0737,27.027,33,22.7,0.0328,0.0151,0,0,0,0,0.078947,0.015625,35,0.8021,1.6159,0.3827,0.003
35,4988,3054,0,0,3,1.9561,1,12.9,3,3046,4.4,0.991,3081.8,8,1.0,47,3,4,755,0.002234,0.0448,37.7358,34,24.0,0.0283,0.0098,0,0,0,0,0.085202,0.015625,36,0.8166,1.7011,0.3855,0.003
