window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6145,11,5,0,1.9986,0,14.2,0,0,6.55,1.0,6145.0,628,1.0,386,602,216,2149,0.000911,0.0065,407.1429,0,0.0,0.0055,0.001,2,0,0,0,0.029633,0.015625,64,0.4727,0.0296,0.2078,0.003
2,5000,3660,0,0,1,1.9986,0,13.3,476,3175,5.2,0.8192,4513.0,485,1.0,369,8,25,2150,0.001069,0.0082,401.4901,1,1.0,0.0076,0.0012,0,0,0,0,0.027095,0.015625,64,0.4233,0.0532,0.187,0.003
3,5000,3356,2,5,0,1.9986,0,13.1,287,3070,4.84,0.857,3948.5,286,1.0,312,7,64,2099,0.001048,0.0117,284.8606,2,1.9,0.0081,0.0014,1,0,0,0,0.040657,0.015625,64,0.6157,0.093,0.1929,0.003
4,5000,3044,0,0,3,1.9986,0,13.0,57,3010,4.44,0.8536,3597.5,34,1.0,265,2,49,1816,0.001286,0.0179,54.4,3,2.9,0.0119,0.0024,0,0,0,0,0.032787,0.015625,63,0.5234,0.1168,0.1978,0.003
5,5000,3100,2,3,0,1.9985,0,13.0,4,3092,4.51,0.9034,3431.7,8,1.0,227,6,44,1682,0.00132,0.0146,13.8648,4,3.8,0.0103,0.0026,0,0,0,0,0.042276,0.015625,63,0.6304,0.1428,0.2032,0.003
6,5000,3084,0,0,1,1.9987,1,13.0,4,3080,4.45,0.9255,3332.3,4,1.0,203,0,24,1558,0.001399,0.0166,7.8278,5,4.8,0.0123,0.003,0,0,0,0,0.03321,0.015625,63,0.5295,0.1558,0.2046,0.003
7,5000,2965,0,0,3,1.9987,1,12.9,4,2961,4.38,0.915,3240.5,4,1.0,170,0,33,1396,0.00148,0.014,9.7324,6,5.8,0.0109,0.003,0,0,0,0,0.03972,0.015625,59,0.6066,0.1885,0.2194,0.003
8,5000,3055,0,0,0,1.9981,1,12.9,0,3050,4.46,0.9549,3199.3,5,1.0,146,5,29,1217,0.001644,0.0194,12.6582,7,6.6,0.0138,0.0035,0,0,0,0,0.043689,0.015625,57,0.6424,0.2092,0.229,0.003
9,5000,3049,0,0,3,1.9965,1,12.9,0,3044,4.38,0.9621,3169.2,5,1.0,134,0,12,1147,0.001683,0.0198,14.9254,8,7.6,0.0047,0.0038,0,0,0,0,0.036723,0.015625,56,0.5745,0.2431,0.2382,0.003
10,5000,3080,2,5,0,1.9941,1,12.9,0,3068,4.35,0.9768,3153.0,12,1.0,119,3,18,1070,0.001826,0.0231,35.8209,9,8.4,0.0137,0.0044,1,0,0,0,0.057803,0.015625,55,0.7297,0.2888,0.2503,0.003
