seed,from,to,familiarity
0,59,392,0.5036
0,59,403,0.9172
0,59,362,13.5309
0,59,390,0.8737
0,59,396,0.5358
0,59,408,3.3208
0,59,398,0.7091
0,59,379,19.5482
0,59,358,1.9552
0,59,411,6.5674
0,59,412,30.1476
0,59,413,6.4396
0,59,386,1.2588
0,59,410,3.4253
0,59,420,31.0547
0,59,423,14.898
0,59,419,4.3573
0,59,409,10.2074
0,59,418,1.5878
0,59,432,14.8192
0,59,424,0.8636
0,59,426,11.1882
0,59,427,12.5295
0,59,425,38.3374
0,61,2,1.7084
0,61,26,25.9636
0,61,0,2.6965
0,61,59,35.068
0,61,128,22.3695
0,61,15,23.576
0,61,166,15.0456
0,61,188,12.5109
0,61,197,24.0188
0,61,276,9.4012
0,61,264,28.0024
0,61,297,32.2619
0,61,325,1.9664
0,61,352,40.8681
0,61,336,27.4598
0,61,344,1.4972
0,61,353,27.0466
0,61,354,18.6843
0,61,368,0.8308
0,61,362,0.9813
0,61,381,1.844
0,61,379,5.4935
0,61,367,11.0728
0,61,403,1.0689
0,61,402,1.8289
0,61,358,32.9868
0,61,372,14.2646
0,61,412,11.6864
0,61,411,0.7701
0,61,425,34.3616
0,61,423,2.6935
0,61,427,8.7199
0,128,0,1.348
0,128,61,9.3915
0,128,58,11.8501
0,128,26,1.0086
0,128,197,28.7215
0,128,258,14.66
0,128,264,22.4331
0,128,344,3.9733
0,128,325,30.3449
0,128,59,13.1638
0,128,353,1.0763
0,128,15,12.2362
0,128,2,0.7424
0,128,166,22.4005
0,128,399,0.5117
0,128,367,4.7094
0,128,336,0.921
0,128,375,0.6486
0,128,407,6.094
0,128,412,2.6878
0,128,314,0.8532
0,128,413,7.3806
0,128,409,12.7903
0,128,372,26.4433
0,128,420,28.4271
0,128,188,6.645
0,166,58,6.3057
0,166,61,13.574
0,166,0,24.41
0,166,15,0.7549
0,166,59,1.516
0,166,188,0.5095
0,166,197,8.0473
0,166,258,1.3082
0,166,128,22.401
0,166,325,55.2488
0,166,336,4.1492
0,166,358,22.7626
0,166,352,0.5143
0,166,353,3.5866
0,166,354,4.8446
0,166,407,13.3834
0,166,375,0.7644
0,166,401,0.855
0,166,26,1.4591
0,166,368,5.1313
0,166,412,1.4075
0,166,383,15.7542
0,166,398,10.8712
0,166,432,4.8506
0,166,297,5.3185
0,188,166,4.8276
0,188,0,11.6411
0,188,58,18.9948
0,188,59,42.0017
0,188,15,24.5515
0,188,197,2.7174
0,188,2,2.4941
0,188,61,12.5109
0,188,128,18.646
0,188,26,6.9617
0,188,258,17.9755
0,188,264,45.1066
0,188,276,8.3166
0,188,297,2.0464
0,188,325,3.6873
0,188,336,21.2736
0,188,314,4.0994
0,188,352,0.7691
0,188,362,6.217
0,188,354,8.0159
0,188,368,19.2646
0,188,372,3.3462
0,188,353,23.8632
0,188,401,0.6917
0,188,391,4.2183
0,188,384,1.0889
0,188,412,8.3433
0,188,408,0.8815
0,188,413,5.9235
0,188,420,24.699
0,188,409,4.1369
0,188,383,4.4954
0,188,386,4.0463
0,188,432,20.5776
0,188,379,4.073
0,188,358,6.8962
0,188,424,24.5783
0,188,427,6.4484
0,197,2,14.2119
0,197,188,3.3197
0,197,58,29.3281
0,197,26,15.4685
0,197,166,9.1223
0,197,15,18.0388
0,197,128,29.8425
0,197,59,38.457
0,197,61,33.1729
0,197,0,17.3319
0,197,258,18.6266
0,197,276,20.6917
0,197,264,10.7679
0,197,297,29.8821
0,197,325,31.2532
0,197,336,11.9344
0,197,352,5.856
0,197,354,43.9458
0,197,353,2.5111
0,197,362,1.9825
0,197,367,25.4711
0,197,368,9.2498
0,197,358,3.9793
0,197,314,1.2576
0,197,383,2.7327
0,197,372,32.3451
0,197,381,0.6187
0,197,375,0.6906
0,197,407,8.1724
0,197,396,1.6668
0,197,401,0.5642
0,197,390,1.8339
0,197,408,3.9338
0,197,413,8.433
0,197,386,0.5151
0,197,379,2.9325
0,197,398,2.3224
0,197,411,30.8961
0,197,412,24.3465
0,197,420,0.7273
0,197,409,1.5379
0,197,418,33.5144
0,197,425,33.6272
0,197,431,1.5096
0,197,432,20.1264
0,197,426,10.4632
0,197,384,15.3573
0,258,0,7.3972
0,258,58,17.2584
0,258,2,45.8425
0,258,188,26.198
0,258,197,18.6266
0,258,26,20.925
0,258,166,1.7012
0,258,264,26.6348
0,258,15,3.0548
0,258,59,5.9454
0,258,128,16.3209
0,258,276,49.172
0,258,61,24.5685
0,258,297,16.0889
0,258,314,1.7441
0,258,325,50.6313
0,258,336,39.5317
0,258,344,1.4438
0,258,352,25.6064
0,258,353,9.2377
0,258,354,16.4215
0,258,362,1.976
0,258,368,14.1518
0,258,367,37.9421
0,258,358,2.0831
0,258,372,5.6414
0,258,379,15.9621
0,258,401,0.6836
0,258,403,3.2384
0,258,392,0.7649
0,258,375,17.2808
0,258,407,15.1146
0,258,384,2.571
0,258,411,11.4644
0,258,413,1.5863
0,258,412,19.3523
0,258,409,2.9893
0,258,419,2.7414
0,258,386,6.8874
0,258,423,32.0708
0,258,427,4.6045
0,258,418,0.874
0,258,429,2.4961
0,258,434,2.4961
0,258,425,22.5326
0,258,432,7.6327
0,258,431,17.8326
0,258,424,11.8689
0,258,420,0.9493
0,258,383,15.7622
0,264,58,10.4245
0,264,0,0.9228
0,264,2,5.2347
