seed,from,to,familiarity
3,14,92,7.5609
3,14,100,23.1184
3,14,141,2.4388
3,14,148,9.0594
3,14,25,37.9103
3,14,124,3.5756
3,14,76,5.7978
3,14,147,60.1027
3,14,177,29.4538
3,14,192,14.1791
3,14,218,0.7697
3,14,228,2.0761
3,14,227,10.7897
3,14,229,9.3165
3,14,259,7.5742
3,14,260,22.9661
3,14,306,12.9159
3,14,293,9.9239
3,14,282,4.2368
3,14,341,23.3735
3,14,375,2.278
3,14,31,1.4582
3,14,427,36.2086
3,14,362,2.7713
3,14,437,21.6096
3,14,446,1.5939
3,14,438,24.3608
3,14,443,1.0936
3,14,452,1.1202
3,14,439,3.5324
3,14,440,0.5798
3,14,456,19.5055
3,14,462,4.5577
3,25,148,63.8957
3,25,141,41.0812
3,25,100,10.0733
3,25,124,44.2085
3,25,92,7.8591
3,25,147,55.8125
3,25,76,5.6533
3,25,14,40.8385
3,25,31,10.8443
3,25,177,64.4275
3,25,192,12.7494
3,25,218,26.2025
3,25,227,23.662
3,25,228,12.6702
3,25,229,38.3081
3,25,260,19.8905
3,25,259,14.1763
3,25,282,29.6796
3,25,293,36.5343
3,25,306,42.6753
3,25,305,13.0191
3,25,341,10.388
3,25,342,4.3001
3,25,375,8.5191
3,25,362,1.8902
3,25,427,39.9865
3,25,439,1.4811
3,25,443,0.8469
3,25,438,41.4528
3,25,436,0.5352
3,25,452,0.9622
3,25,451,22.973
3,25,455,0.5255
3,25,437,13.8821
3,25,440,6.4473
3,25,457,3.5298
3,25,458,1.8778
3,31,100,0.8769
3,31,25,9.9112
3,31,76,5.4879
3,31,293,3.0701
3,31,305,0.7526
3,31,227,9.195
3,31,362,0.8246
3,31,375,22.5367
3,31,306,0.5429
3,31,218,1.2507
3,31,427,0.5525
3,31,341,0.5599
3,31,92,0.7019
3,31,440,1.8139
3,31,177,15.8745
3,31,260,20.6772
3,76,124,17.0289
3,76,31,6.7241
3,76,141,21.0268
3,76,14,11.5973
3,76,92,7.5262
3,76,148,25.2252
3,76,147,17.8395
3,76,25,5.6533
3,76,100,3.7665
3,76,177,20.5008
3,76,192,26.4653
3,76,218,40.3167
3,76,228,31.4202
3,76,227,18.7866
3,76,229,10.6627
3,76,260,62.7962
3,76,259,7.6794
3,76,282,18.9481
3,76,293,45.3588
3,76,306,27.2322
3,76,305,21.6548
3,76,342,7.764
3,76,341,16.193
3,76,375,33.0098
3,76,362,0.6106
3,76,427,18.0865
3,76,436,0.6807
3,76,437,49.5734
3,76,440,9.0701
3,76,451,1.5285
3,76,452,1.9595
3,76,455,4.0246
3,76,438,17.7244
3,76,439,4.2224
3,76,433,3.6194
3,76,462,4.0445
3,76,459,3.9322
3,76,456,12.7484
3,92,14,8.496
3,92,147,13.2779
3,92,76,16.8468
3,92,25,8.2682
3,92,141,5.7681
3,92,148,12.988
3,92,100,6.3855
3,92,124,19.8187
3,92,31,1.0711
3,92,177,18.3816
3,92,192,27.7129
3,92,218,51.2514
3,92,228,28.2537
3,92,227,21.9964
3,92,229,7.501
3,92,260,3.1422
3,92,259,19.2241
3,92,282,50.0208
3,92,293,12.4894
3,92,305,12.2026
3,92,306,14.0584
3,92,342,6.1003
3,92,341,18.0094
3,92,375,33.5215
3,92,362,0.7829
3,92,427,5.7732
3,92,436,0.7045
3,92,440,29.4301
3,92,437,31.9821
3,92,438,2.1181
3,92,443,1.2536
3,92,455,0.5854
