seed,win,tri,bnd_links,ent,n_br,persist_br,br_max,gk,div,A_isl,A_drift_bnd,A_drift_near,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_isl,B_drift_bnd,B_drift_near,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_isl,C_drift_bnd,C_drift_near,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
15,1,0,2159,1.5842,7,0,1,0,0,0,1.581462,1.460521,1.53805,4,0.0,2.08,0,1.609581,1.593247,0.597284,3,0.0,1.95,0,1.590059,1.472804,1.649876,3,0.0,2.01
15,2,0,2074,1.581,6,0,1,0,0,0,1.580133,1.535316,1.096691,4,0.0,1.94,0,1.551283,1.620411,1.93387,3,0.0,1.9,0,1.571448,1.677652,1.721725,6,0.0,1.94
15,3,0,2121,1.5783,6,0,1,3,1,0,1.625694,1.527874,1.198792,6,0.1429,1.92,0,1.561507,1.654987,2.11544,4,0.0,1.87,0,1.57792,1.449865,2.197094,4,0.0,1.9
15,4,0,2094,1.5755,4,0,1,3,1,0,1.506603,1.609302,1.845085,3,0.0,1.83,0,1.606643,1.599924,1.124468,3,0.0,1.93,1,1.522056,1.679867,1.119904,3,0.0,1.91
15,5,0,2065,1.5575,3,0,1,3,1,0,1.564628,1.652066,1.006182,4,0.0,1.88,0,1.607656,1.545005,0.86792,3,0.0,1.92,0,1.514134,1.502006,1.640359,3,0.0,1.89
15,6,0,2075,1.5682,6,0,1,1,1,0,1.54372,1.623497,1.517284,3,0.0,1.91,0,1.53701,1.692506,1.652015,4,0.0,1.86,0,1.617841,1.654744,1.631776,4,0.0,1.94
15,7,0,2088,1.5262,3,0,1,1,1,0,1.563764,1.474717,2.098463,3,0.0,1.87,0,1.534707,1.533113,1.253871,3,0.0,1.85,0,1.53298,1.62011,1.82393,5,0.0,1.92
15,8,0,1992,1.5087,3,0,1,0,1,0,1.609296,1.494317,2.100659,3,0.0,1.88,0,1.580641,1.546743,1.133431,3,0.0,1.83,0,1.581606,1.536805,1.98828,3,0.0,1.9
15,9,0,2071,1.4192,6,0,1,0,1,0,1.609185,1.52082,1.049251,3,0.25,1.91,0,1.552022,1.626895,2.052585,3,0.0,1.86,0,1.593823,1.727372,1.479507,5,0.0,1.96
15,10,0,2001,1.565,0,0,0,4,0,0,1.564525,1.653165,0.268525,3,0.0,1.83,0,1.547642,1.49082,2.407305,4,0.0,1.85,0,1.575761,1.555379,1.659493,4,0.0,1.85
15,11,1,2126,1.5845,10,0,1,4,0,0,1.557228,1.495611,2.005139,4,0.0,1.93,0,1.568306,1.514833,1.190704,4,0.0,1.9,0,1.602189,1.627761,1.924781,3,0.0,1.91
15,12,0,2016,1.571,4,0,1,1,1,0,1.568095,1.66938,1.544518,3,0.0,1.84,0,1.508712,1.647559,2.124538,3,0.0,1.88,0,1.523438,1.5047,0.628661,3,0.0,1.9
15,13,0,2007,1.579,3,0,1,1,1,0,1.566866,1.499799,0.50666,3,0.0,1.91,0,1.549007,1.620545,0.42841,3,0.0,1.83,1,1.555705,1.565439,0,2,1.0,1.84
15,14,0,1911,1.5797,8,0,1,4,0,2,1.615445,1.633068,0.760743,3,0.0,1.85,0,1.584829,1.537808,0,2,1.0,1.82,0,1.584216,1.531257,1.39884,4,0.0,1.87
15,15,0,2074,1.5589,5,0,1,3,1,0,1.557884,1.62879,0.926921,3,0.0,1.88,0,1.578175,1.577119,0,2,1.0,1.85,0,1.543933,1.557206,1.48698,3,0.0,1.98
15,16,0,2060,1.5754,6,0,1,4,0,1,1.585655,1.579435,2.558766,3,0.0,1.95,1,1.564642,1.558811,0.473699,3,0.5,1.85,0,1.501449,1.573531,2.016414,3,0.0,1.87
15,17,0,2050,1.5566,2,0,1,4,0,0,1.521055,1.593371,1.190447,3,0.0,1.85,0,1.566789,1.620307,1.653932,3,0.0,1.88,0,1.578384,1.478978,1.939939,3,0.1667,1.9
15,18,0,2105,1.4906,2,0,1,4,0,0,1.611458,1.589815,1.245775,3,0.0,1.95,0,1.620784,1.620452,0.903187,3,0.25,1.91,0,1.601473,1.570007,0.631516,3,0.0,1.9
15,19,0,2114,1.5387,5,0,1,4,0,0,1.572039,1.683118,1.708081,3,0.0,1.89,0,1.504481,1.578143,0,2,1.0,1.87,0,1.611846,1.536665,1.848741,3,0.0,1.86
15,20,0,2077,1.4725,4,0,1,4,0,0,1.605213,1.586759,1.947838,3,0.0,1.85,0,1.54848,1.572751,1.444257,4,0.0,1.82,0,1.595242,1.661676,1.805896,4,0.0,1.93
15,21,0,2033,1.5452,6,0,1,4,0,0,1.545064,1.643004,2.146009,3,0.0,1.96,0,1.562215,1.555247,1.163586,3,0.0,1.82,0,1.570956,1.60015,2.063618,3,0.0,1.88
15,22,0,2095,1.5452,0,0,0,4,0,0,1.585792,1.555845,0,2,1.0,1.83,0,1.630871,1.662085,1.038661,3,0.0,1.88,0,1.560841,1.592745,1.182775,4,0.0,1.83
15,23,0,2019,1.5828,8,0,1,4,0,0,1.53288,1.561752,1.537337,4,0.0,1.86,0,1.570634,1.581268,1.542509,3,0.0,1.85,0,1.554896,1.636982,2.33885,3,0.0,1.87
15,24,0,2022,1.5245,0,0,0,3,1,0,1.589483,1.583206,2.0727,4,0.0,1.85,0,1.606628,1.540857,1.661674,3,0.0,1.94,0,1.616236,1.598162,0.187196,3,0.0,1.84
15,25,0,2083,1.5647,2,0,1,3,1,0,1.533906,1.616599,0.973595,4,0.0,1.86,0,1.549867,1.616325,0.403046,3,0.0,1.9,0,1.573299,1.48794,2.073746,3,0.0,1.87
