seed,win,tri,bnd_links,ent,n_br,persist_br,br_max,gk,div,A_isl,A_drift_bnd,A_drift_near,A_drift_deep,A_erosion_d,A_core_pres,A_bnd_k,B_isl,B_drift_bnd,B_drift_near,B_drift_deep,B_erosion_d,B_core_pres,B_bnd_k,C_isl,C_drift_bnd,C_drift_near,C_drift_deep,C_erosion_d,C_core_pres,C_bnd_k
2,1,1,2129,1.5845,5,0,1,0,0,0,1.581649,1.53334,1.919096,4,0.0,2.0,0,1.545871,1.612884,0.902629,3,0.0,1.99,0,1.592565,1.555615,0,2,1.0,1.94
2,2,0,2042,1.5841,6,0,1,0,1,0,1.646644,1.552423,2.024248,3,0.0,1.87,0,1.624296,1.596489,0.843455,3,0.0,1.89,0,1.563802,1.534469,1.264927,3,0.0,1.86
2,3,0,2012,1.5813,1,0,1,3,1,0,1.564393,1.630889,1.602833,4,0.0,1.83,0,1.586838,1.614342,1.187389,3,0.0,1.94,0,1.608649,1.599864,0.935256,3,0.0,1.88
2,4,0,2117,1.5625,2,0,1,3,1,0,1.627674,1.484382,1.253269,3,0.0,1.94,0,1.569717,1.612486,1.222124,4,0.0,1.91,0,1.482341,1.468726,1.475326,4,0.0,1.93
2,5,0,1927,1.5578,7,0,1,1,1,0,1.563385,1.397406,2.03122,3,0.0,1.86,1,1.561458,1.487751,1.828557,6,0.0,1.84,0,1.574624,1.579122,0.371301,3,0.0,1.79
2,6,0,1929,1.4839,2,0,1,3,1,0,1.557304,1.587385,1.721594,4,0.0,1.86,0,1.565368,1.466745,1.602403,3,0.0,1.86,0,1.553091,1.391531,1.667629,3,0.0,1.79
2,7,0,2078,1.546,0,0,0,4,1,0,1.565764,1.534022,2.249499,4,0.0,1.86,0,1.579539,1.576472,1.607707,3,0.25,1.88,0,1.543421,1.677794,2.083996,4,0.0,1.9
2,8,0,2080,1.5632,0,0,0,4,1,0,1.553402,1.47195,1.107575,3,0.0,1.89,0,1.546101,1.572051,2.201111,3,0.0,1.83,0,1.567601,1.589672,1.057804,3,0.0,1.96
2,9,0,2035,1.5132,5,0,1,4,1,0,1.504048,1.707283,0.190453,3,0.0,1.84,0,1.647892,1.623489,2.441992,3,0.0,1.89,0,1.561518,1.476263,0,2,1.0,1.88
2,10,0,2054,1.4396,7,0,1,4,1,0,1.621764,1.634111,1.747787,3,0.0,1.93,1,1.570016,1.558074,2.212021,3,0.0,1.83,0,1.609526,1.636309,0.859816,4,0.0,1.89
2,11,0,1997,1.5448,10,0,1,4,1,0,1.636056,1.591505,1.409755,3,0.0,1.86,0,1.551292,1.57639,1.60139,3,0.0,1.9,0,1.602413,1.472536,1.302883,4,0.0,1.81
2,12,0,2034,1.5697,0,0,0,4,1,0,1.571752,1.556994,1.441906,5,0.0,1.87,0,1.608443,1.411486,1.366979,3,0.0,1.89,0,1.53271,1.51333,0.963447,3,0.0,1.95
2,13,0,2074,1.5837,2,0,1,4,1,0,1.573375,1.591002,1.352084,4,0.2,1.87,0,1.544916,1.611907,0.756005,3,0.0,1.84,0,1.551212,1.540035,2.499921,3,0.0,1.85
2,14,0,2091,1.5842,0,0,0,3,1,0,1.638726,1.497278,2.266532,3,0.0,1.9,0,1.571108,1.471608,1.909942,3,0.0,1.91,0,1.568555,1.510503,2.160156,4,0.0,1.9
2,15,0,2045,1.5219,3,0,1,4,0,0,1.58034,1.563811,1.67188,3,0.0,1.89,0,1.52357,1.589539,2.779612,3,0.0,1.88,0,1.574372,1.375464,1.586213,3,0.0,1.85
2,16,0,2006,1.4179,0,0,0,3,1,0,1.559742,1.518076,2.306927,4,0.0,1.87,0,1.607186,1.701932,1.967396,3,0.0,1.82,0,1.556081,1.62688,0.469362,3,0.0,1.84
2,17,0,1913,1.5726,2,0,1,1,1,0,1.563655,1.644471,1.240896,4,0.0,1.86,0,1.53372,1.672488,1.16304,4,0.0,1.83,0,1.579523,1.601279,1.812653,3,0.0,1.89
2,18,1,2028,1.5656,9,0,1,4,0,0,1.582731,1.54069,1.430953,3,0.0,1.84,0,1.549017,1.592413,1.768064,4,0.0,1.88,0,1.590692,1.523514,0.741141,3,0.0,1.88
2,19,0,2065,1.5715,2,0,1,4,0,0,1.529766,1.554743,1.222175,4,0.0,1.89,0,1.605759,1.694481,0.805567,3,0.0,1.89,0,1.527348,1.613948,1.560154,3,0.0,1.88
2,20,0,1974,1.5504,7,0,1,4,0,0,1.592771,1.56179,1.694654,3,0.0,1.81,0,1.539093,1.477996,0.622215,3,0.5,1.91,0,1.64986,1.690404,1.071622,3,0.0,1.82
2,21,0,2009,1.5763,4,0,1,4,0,0,1.587086,1.56323,1.369508,3,0.0,1.85,0,1.589952,1.362907,0,2,1.0,1.84,0,1.593032,1.567765,2.01065,3,0.0,1.89
2,22,0,2108,1.5794,2,0,1,4,0,0,1.549895,1.520914,1.250976,3,0.0,1.89,0,1.590254,1.667334,1.657792,3,0.0,1.85,0,1.527155,1.583957,1.26122,3,0.0,1.83
2,23,0,1995,1.5656,2,0,1,4,0,0,1.544648,1.591699,0.9181,4,0.0,1.85,0,1.557763,1.526055,1.452887,3,0.0,1.84,0,1.576741,1.586794,1.059548,3,0.0,1.88
2,24,0,2020,1.4399,2,0,1,4,0,0,1.553666,1.67059,0,2,1.0,1.85,0,1.552429,1.658868,1.640244,3,0.0,1.82,0,1.557522,1.525546,1.550397,4,0.0,1.88
2,25,0,1998,1.5,1,0,1,4,0,0,1.624432,1.479542,1.535271,3,0.0,1.85,0,1.571591,1.520806,0.9929,4,0.0,1.93,0,1.536783,1.61605,1.307392,3,0.0,1.84
