seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
4321,1,411,12.3483,386,11.2473,389,10.7633,400,12.7802,356,10.1095,383,10.4157
4321,2,421,12.4447,387,10.8109,406,11.6472,386,10.6587,396,10.251,336,8.5529
4321,3,397,11.0189,404,11.9684,383,10.4291,380,10.4371,400,10.7248,354,9.3777
4321,4,414,11.2314,417,11.4098,378,10.2125,401,10.6241,334,9.0441,383,10.9833
4321,5,383,10.8643,383,11.3335,374,10.261,364,10.5275,390,10.836,399,10.9195
4321,6,387,10.4686,383,11.4804,390,11.4862,394,9.7997,385,11.0615,355,9.6066
4321,7,374,10.4087,400,11.2475,425,11.9471,371,10.1064,371,10.8513,379,10.176
4321,8,408,12.5145,383,10.48,391,11.0429,383,11.3523,403,12.3624,357,10.1022
4321,9,412,11.0879,369,10.2754,375,10.6345,390,10.8173,386,10.4289,365,9.8386
4321,10,381,10.5491,436,12.319,410,10.821,388,10.94,375,11.2852,347,9.7102
4321,11,389,9.7958,401,10.1861,377,10.7938,398,11.3581,360,9.5765,334,9.2809
4321,12,427,12.0313,405,11.4704,364,9.9784,366,10.2659,388,10.978,342,9.811
4321,13,419,11.309,397,10.9058,348,9.4642,384,9.9111,359,9.9405,384,11.3257
4321,14,359,10.0057,410,10.9741,371,10.3837,381,10.3093,360,8.9017,344,9.5291
4321,15,406,11.69,398,10.6994,396,10.7013,386,9.8262,359,10.5919,373,11.0303
4321,16,384,10.9495,378,10.083,380,9.9918,373,9.8825,352,10.8437,388,9.684
4321,17,401,11.1232,373,10.8008,359,9.3373,389,12.3381,355,9.6122,357,9.7535
4321,18,384,9.9014,427,11.9841,380,10.3987,386,10.4007,337,9.2325,374,10.9887
4321,19,364,9.7387,387,10.4436,363,10.1204,371,9.7233,369,10.15,353,8.8934
4321,20,379,9.8208,394,11.5829,349,9.5555,364,10.1083,295,7.677,381,10.2669
4321,21,396,10.8313,395,11.8801,385,11.1418,344,9.7236,386,10.1917,351,10.7539
4321,22,429,11.5196,375,10.3802,367,10.0814,382,10.1621,367,11.3011,349,9.8477
4321,23,406,11.8415,385,10.1764,355,9.9423,382,10.6182,359,10.0988,372,10.3421
4321,24,414,12.3622,409,11.2365,391,11.484,358,10.0711,342,9.7895,336,9.3376
4321,25,415,11.3591,408,10.9249,347,9.6867,375,10.2057,381,10.5599,327,8.3389
