seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r1_k,r1_n_C,r1_none,r1_valid,r2_k,r2_n_C,r2_none,r2_valid,r3_k,r3_n_C,r3_none,r3_valid
2024,1,500,0,2734,0,688,1.0,True,0,699,0.9986,True,0,683,1.0,True,0,664,1.0,True
2024,2,700,0,793,0,207,0.9952,True,4,198,1.0,True,0,197,0.9949,True,4,191,1.0,True
2024,3,900,1,135,1,41,0.9756,True,4,39,1.0,True,1,28,1.0,True,4,27,1.0,True
2024,4,1100,3,49,3,12,1.0,True,4,12,1.0,True,0,14,1.0,True,4,11,1.0,True
2024,5,1300,3,45,3,9,0.8889,True,4,9,1.0,True,3,13,0.9231,True,4,14,0.8571,True
2024,6,1500,4,40,4,10,1.0,True,4,9,1.0,True,3,13,0.7692,True,4,8,0.625,True
2024,7,1700,4,37,4,7,1.0,True,4,8,1.0,True,3,15,1.0,True,4,7,1.0,True
2024,8,1900,4,43,4,11,1.0,True,4,6,0.8333,True,3,13,0.9231,True,4,13,0.8462,True
2024,9,2100,4,43,4,14,0.8571,True,1,10,0.8,True,3,9,0.8889,True,4,10,0.9,True
2024,10,2300,4,41,4,7,1.0,True,3,13,0.8462,True,3,11,1.0,True,4,10,0.9,True
2024,11,2500,4,30,4,5,1.0,True,3,6,1.0,True,3,11,1.0,True,4,8,1.0,True
2024,12,2700,4,19,4,6,1.0,True,3,3,1.0,False,3,7,1.0,True,4,3,1.0,False
2024,13,2900,4,14,4,3,1.0,False,3,5,1.0,True,3,4,1.0,False,4,2,1.0,False
2024,14,3100,4,18,4,6,0.5,True,3,4,1.0,False,3,3,1.0,False,4,5,0.8,True
2024,15,3300,3,46,4,15,1.0,True,3,6,0.8333,True,3,9,0.8889,True,4,16,1.0,True
2024,16,3500,1,30,4,9,0.7778,True,3,4,0.75,False,3,9,0.8889,True,4,8,1.0,True
2024,17,3700,1,29,4,7,1.0,True,4,10,1.0,True,3,6,1.0,True,4,6,1.0,True
2024,18,3900,4,23,4,5,1.0,True,4,6,1.0,True,3,8,1.0,True,4,4,1.0,False
2024,19,4100,4,48,4,16,0.6875,True,4,14,0.9286,True,3,12,0.8333,True,4,6,1.0,True
2024,20,4300,4,52,4,17,0.9412,True,4,12,0.9167,True,4,12,1.0,True,4,11,1.0,True
2024,21,4500,4,41,4,12,0.8333,True,4,8,0.875,True,4,8,1.0,True,4,13,0.9231,True
2024,22,4700,4,32,4,10,1.0,True,4,7,1.0,True,4,10,1.0,True,4,5,1.0,True
2024,23,4900,4,31,4,12,1.0,True,4,4,1.0,False,4,10,1.0,True,4,5,1.0,True
2024,24,5100,4,35,4,12,1.0,True,4,10,0.8,True,4,6,1.0,True,4,7,1.0,True
2024,25,5300,4,26,4,5,1.0,True,4,10,0.8,True,4,5,0.8,True,4,6,0.8333,True
