seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
777,1,410,12.0712,379,10.802,375,11.1769,403,11.3865,394,11.4622,391,10.6938
777,2,413,10.9802,377,11.0445,372,10.0107,384,10.7788,381,10.6156,359,9.9315
777,3,408,11.4429,392,10.5816,377,10.1679,371,10.1925,359,9.7066,356,9.2666
777,4,397,10.3317,426,12.9024,423,11.2641,414,12.2596,359,9.6956,364,10.0538
777,5,387,10.8876,390,11.4396,380,10.5718,409,11.3036,391,10.506,396,11.371
777,6,421,12.0151,422,11.774,376,10.2972,408,11.2294,378,10.2153,360,9.7873
777,7,409,11.3845,401,12.7787,360,10.0566,401,11.697,353,9.8869,362,10.4134
777,8,389,11.3701,408,12.491,413,12.027,407,12.0163,375,10.8412,333,9.1448
777,9,440,11.4845,419,11.532,385,12.8474,400,11.3603,383,10.8677,390,10.4474
777,10,372,11.7173,370,9.7007,366,10.8049,381,10.7504,398,10.8776,372,9.6632
777,11,395,10.796,428,11.6539,352,9.4505,406,11.3533,387,10.4549,378,11.3122
777,12,379,9.9379,379,10.3999,377,11.3337,378,10.8913,387,10.427,398,11.4159
777,13,413,11.3516,389,10.4434,367,10.5153,381,10.4073,356,9.7733,371,10.4307
777,14,375,10.5183,372,10.8734,395,10.307,395,10.19,372,9.7134,376,10.6707
777,15,409,10.8777,371,10.3398,379,10.4241,403,11.8601,332,8.9727,379,11.5391
777,16,361,10.0793,351,9.6373,355,9.8304,382,10.7267,354,9.5422,392,10.3844
777,17,401,11.1771,399,11.1557,420,11.0829,363,9.343,351,9.3478,367,10.9353
777,18,422,11.4252,422,11.2572,347,8.8029,394,10.6217,391,10.5613,349,9.3177
777,19,409,11.3263,351,9.5082,359,9.2819,396,12.1615,362,10.3184,353,9.3893
777,20,416,11.141,394,11.0663,366,9.6829,373,10.2809,361,9.8651,351,10.2445
777,21,371,10.1422,385,10.9137,312,8.5478,350,9.6816,337,9.2331,364,9.5453
777,22,397,10.5266,377,10.4341,397,10.8689,373,10.5654,377,9.966,345,9.5771
777,23,385,10.2784,334,9.3691,363,10.1504,425,11.9083,344,9.4871,367,12.3372
777,24,398,11.2268,367,9.7945,356,9.3714,373,9.5039,364,9.6959,396,12.1596
777,25,427,12.4286,429,12.1175,344,9.7398,352,9.4309,366,11.0435,399,10.6985
