seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
2024,1,429,11.5139,420,10.9273,357,9.8749,407,11.5933,404,11.5029,390,10.6302
2024,2,400,10.3567,388,10.7103,359,10.2653,383,10.2743,377,10.5953,333,9.2728
2024,3,384,11.6254,423,13.5538,343,10.1364,366,10.3139,351,9.5702,357,10.0675
2024,4,412,10.8233,440,13.5626,405,11.6126,389,11.1048,379,10.0714,389,10.8908
2024,5,420,11.6319,416,10.9983,372,10.2484,397,11.1482,372,9.7198,367,9.9668
2024,6,419,11.0648,360,9.9584,387,10.734,372,11.2813,376,10.485,372,10.5213
2024,7,404,11.9081,413,11.9078,399,12.3617,356,9.4163,380,11.4929,374,10.0518
2024,8,417,11.8649,361,9.8008,374,10.2861,387,11.1992,372,10.8625,361,10.1687
2024,9,399,10.878,414,11.5669,397,11.6352,416,11.2284,374,10.54,383,11.145
2024,10,376,10.4901,429,11.6466,406,11.2866,371,9.8638,367,10.3493,363,9.8002
2024,11,403,9.8857,379,10.9403,393,11.2456,356,9.9794,370,10.4949,339,8.1949
2024,12,396,11.1,376,10.4149,380,10.1958,403,11.9552,392,10.5564,372,10.1427
2024,13,388,10.5596,374,9.9602,394,11.4852,395,10.8784,343,10.7592,377,10.6704
2024,14,414,11.5646,365,10.0557,369,9.7809,384,11.0009,389,11.7614,384,10.0441
2024,15,378,11.0187,419,11.9189,389,11.3688,355,9.2424,355,10.7227,365,9.4171
2024,16,392,10.1095,372,10.2051,352,9.4151,388,10.7069,337,8.9625,356,9.7904
2024,17,404,12.024,387,11.3036,344,10.1433,404,12.7717,334,9.5253,347,9.1726
2024,18,390,10.8754,395,10.7975,359,9.5631,375,9.8928,351,8.9939,357,9.7595
2024,19,373,10.4726,383,10.5172,336,9.239,390,11.9701,374,10.9357,394,11.6332
2024,20,436,11.9596,386,10.8358,330,8.7577,385,10.9316,374,9.9981,362,9.9591
2024,21,395,10.9957,408,10.8685,337,8.7856,382,10.4053,362,10.2198,396,10.3289
2024,22,373,10.3986,403,11.1992,347,9.8869,391,10.8413,360,9.5263,372,10.8854
2024,23,389,10.877,361,10.0723,357,10.2923,380,10.3139,378,10.4543,338,9.5404
2024,24,359,9.7177,408,10.6649,383,10.6477,395,11.5863,381,10.6684,360,11.0069
2024,25,335,9.189,366,9.4545,372,9.9765,359,10.0657,349,9.6914,345,9.9263
